user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,КУПИЬ МЕБЕЛЬ,https://fandok.com,Каталог кроватей из дерева по доступным ценам ✓ Двуспальные и односпальные кровати из массива дерева ✓ Детские кровати из дерева.,google,['magazin@fandok.com'],"['+375225761610', '+375255761610', '+375291734745']",30-08-2025 19:05:07
1,КУПИЬ МЕБЕЛЬ,https://pinskdrev.by,"Ищите качественную мебель по доступной цене? Внимательно просмотрите каталог мебели Пинскдрев. Здесь вы сможете быстро подобрать мебель для гостиной, прихожей, ...",google,['question@pinskdrev.by'],"['+375175516200', '+375296055757', '+375298055757', '+375447507460', '+375447510661']",30-08-2025 19:05:07
1,КУПИЬ МЕБЕЛЬ,https://mystar.by,"Купить мебель легко. иконка. Выбрать товары. Выберите товары в каталоге и добавьте в корзину. иконка. Перейти в корзину. Перейдите в «Корзину», для оформления ...",google,['sales@mystar.by'],"['+375162484593', '+375164535505', '+375164592482', '+375291228282', '+375333448281', '+375336199053', '+375339915229', '+375445883720', '+375447999075', '+375447999658']",30-08-2025 19:05:07
1,КУПИЬ МЕБЕЛЬ,https://orvietto.by,"Мебель из натурального дерева премиум класса · Мебель в современном стиле,. которая стоит своих денег · Более 14 лет мы производим. эксклюзивную мебель. из ...",google,['orvietto.by@gmail.com'],"['+375293840335', '+375298340606']",30-08-2025 19:05:07
1,КУПИЬ МЕБЕЛЬ,https://buymebel.by,Коллекция мебели Анрекс JAGGER (Джаггер). Доставка в день заказа. Рассрочка до 12 мес. Гарантия 24 мес. Подскажем и поможем с выбором. Звоните!,google,['info@buymebel.by'],['+375296506692'],30-08-2025 19:05:07
1,КУПИЬ МЕБЕЛЬ,https://nm-shop.by,Продажа качественной мебель по низким ценам. ⭐ Акции и скидки. ✓ Рассрочка от банков-партнеров и популярным картам рассрочки. ✓ Доставляем по всей Беларуси.,google,['info@nm-shop.by'],"['+375292433871', '+375295898908', '+375296433871']",30-08-2025 19:05:07
1,КУПИЬ МЕБЕЛЬ,https://mebelart.by,"Российская мебельная фабрика ""ВВР"", г. Пенза - один из ведущих производителей мебели. Широкий ассортимент корпусной мебели включает в себя спальни, ...",google,['sale@mebelart.by'],"['+375173601094', '+375173737456', '+375296970606', '+375296980606', '+375336980606']",30-08-2025 19:05:07
1,КУПИЬ МЕБЕЛЬ,https://mebelny.by,"«Королевство Сна» - это мебель достойная вашего дома! Сеть фирменных магазинов предлагает большой выбор мебели для дома – спальни, кровати, матрасы, горки, ...",google,['internet@mebelny.by'],"['+375173480937', '+375293554466']",30-08-2025 19:05:07
1,КУПИЬ МЕБЕЛЬ,https://aksamit.by,1 892.80 руб. Купить. Закрыть.,google,['kc@aksamit.by'],"['+375256723300', '+375291953100', '+375291963500', '+375292213100', '+375293623500', '+375293663100', '+375293743100', '+375296453100', '+375296493100', '+375296723300', '+375296833100', '+375333443100', '+375333653100', '+375336723300']",30-08-2025 19:05:07
1,КУПИЬ МЕБЕЛЬ,https://keramin.by,В интернет-магазине keramin.by Вы сможете выбрать и купить мебель для ванной комнаты в Минске. Широкий ассортимент и доступные цены.,google,"['office@keramin.by', 'serafimovichaiu@keramin.by']","['+375173500800', '+375295888007', '+375445772135', '+375445888777']",30-08-2025 19:05:07
