user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,Этикетка купить,https://supershtrih.ru,"Самоклеящиеся этикетки в рулонах · Термоэтикетка ТОП 76х76 (рядов 1 по 50 шт) в рулоне, втулка 25 мм · Термоэтикетка ЭКО 40х58 (рядов 1 по 150 шт) в рулоне, ...",google,['aztek-info@supershtrih.ru'],"['+74951234501', '+78005002529', '+79801518043']",30-08-2025 09:57:39
1,Этикетка купить,https://ribbons.ru,Производим термотрансферные этикетки - бумажные (полуглянец) и полипропиленовые - в рулонах стандартных размеров и по индивидуальным требованиям заказчиков.,google,"['marketing@colortek.ru', 'zapros@ribbons.ru']","['+78005559703', '+79999999999']",30-08-2025 09:57:39
1,Этикетка купить,https://scanberry.ru,"Термотрансферная этикетка — это самоклеющаяся этикетка применяемая для печати термотрансферным методом. Обязательно применение риббона, красящей ленты.",google,"['manager@highsystem.ru', 'manager@scanberry.ru']","['+74992882709', '+74993221532', '+78006002376', '+79252177381', '+79724046790']",30-08-2025 09:57:39
1,Этикетка купить,https://elves.ru,"Этикетки для термопринтера в роликах ... Самовывоз и доставка по Самаре, Тольятти, РФ, СНГ. Термоэтикетки печати штрих-кода ширина х высота ...",google,"['info@elves.ru', 'webmaster@elves.ru']","['+78469283333', '+78469791111', '+79277502747']",30-08-2025 09:57:39
1,Этикетка купить,https://optpart.ru,Цена:358 руб./шт. 358 руб. Выбрать опцию и купить. Термотрансферные полуглянцевые этикетки 100х100 мм Быстрый просмотр · Термотрансферные полуглянцевые этикетки ...,google,['zakaz@optpart.ru'],"['+74996730239', '+78003021884', '+79778902010']",30-08-2025 09:57:39
1,Этикетка купить,https://unimark.by,Заказывайте этикетки для печати по выгодной цене в Минске✓ Все необходимое есть в компании Unimark ✓ Широкий выбор ✓ Гарантия качества ✓ Бесплатная ...,google,['info@unimark.by'],"['+375172504545', '+375295583030', '+375445583030']",30-08-2025 09:57:39
1,Этикетка купить,https://price-etiketka.ru,"Купить этикетки и расходные материалы для принтеров этикеток! Малые сроки печати этикетки, самоклеящиеся этикетки, изготовление и производство этикетки, ...",google,"['info@price-etiketka.ru', 'msk@price-etiketka.ru']","['+73432279538', '+73842780028', '+74722256916', '+74955874480', '+78126789520', '+78314351388', '+79781261651', '+79999999999']",30-08-2025 09:57:39
1,Этикетка купить,https://us-plast.ru,Компания U.S. PLAST предлагает самоклеящиеся RFID метки этикетки по лучшим ценам с доставкой по всей России. Прием заказов 24 часа. Качество.,google,['info@us-plast.ru'],"['+74951520440', '+79999999999']",30-08-2025 09:57:39
1,Этикетка купить,https://kkm74.ru,"Бумажная самоклеящиеся этикетка различается на ЭКО, ПЛГ и ТОП. Их предназначение – маркировка упаковки, товаров и грузов в различных условиях.",google,['info@kkm74.ru'],"['+73512232036', '+73512610640']",30-08-2025 09:57:39
1,Этикетка купить,https://www.pos.by,"У нас всегда в наличии этикетки самых разных размеров. Самоклеящиеся этикетки подходят для оборудования брендов: TSC, Gainscha, DBS, HPRT, GPrinter, Honeywell, ...",google,['info@pos.by'],"['+375172570303', '+375172579199', '+375173881616', '+375296013020', '+375298350295']",30-08-2025 09:57:39
1,Этикетка купить,https://ligamarket.su,319 руб. Полипропиленовые этикетки 50 х 25 мм 3000 шт. PP. 0. есть в наличии. В корзину. Быстрый просмотр. Этикетки полипропиленовые 30 х 10 мм 2000 шт.,google,['zakaz@ligamarket.com'],['+78122095065'],30-08-2025 09:57:39
1,Этикетка купить,https://umpgroup.ru,Материалы и этикетки оптом и в розницу в интернет-магазине ЮМП . Большой выбор по выгодным ценам в наличии и под заказ от производителя с доставкой по всей ...,google,['order@umpgroup.ru'],"['+74957480907', '+78005056275']",30-08-2025 09:57:39
1,Этикетка купить,https://www.bereg.net,Купить или заказать Самоклеящиеся материалы - Готовые этикетки - Trio Labels. Готовые универсальные самоклеящиеся этикетки различных форм и размеров...,google,"['allmsk@msk.bereg.net', 'marketing@hq.bereg.net']","['+74952322609', '+74952322610', '+74952322611', '+74952323334', '+74959568274']",30-08-2025 09:57:39
1,Этикетка купить,https://www.siltech.ru,Купить бумажные RFID-этикетки в Москве по выгодным ценам в интернет-магазине «Силтэк». ✓ СИЛТЭК - один из ведущих производителей в России ✓.,google,['info@siltech.ru'],"['+74959958230', '+78002509494']",30-08-2025 09:57:39
1,Этикетка купить,https://www.sazi-group.ru,Герметик Сазиласт 25 (серая этикетка). СТО 038-37547621-2016 1 2П М ГОСТ Р 59522-2021. В наличии. Возможна доставка. Цена по запросу.,google,['sazi@sazi-group.ru'],['+74952218760'],30-08-2025 09:57:39
1,Этикетка купить,https://amway-shop.by,"Товары для дома Amway: дозаторы, емкости и этикетки, в интернет-магазине Amway-Shop.by в Беларуси. ✓ Большой ассортимент товаров по низкой цене с ...",google,['info@amway-shop.by'],['+375293371121'],30-08-2025 09:57:39
1,Этикетка купить,https://yudway.by,Самоклеящаяся этикетка с доставкой по Минску и всей Беларуси. ➤➤от компании Юдвэй. Разработка и внедрение систем полной автоматизации ...,google,"['//office@yudway.by', 'office@yudway.by']","['+375173360464', '+375173360465', '+375296666489', '+375336666492', '+375336666497']",30-08-2025 09:57:39
1,Этикетка купить,https://pos-center.ru,PC-80USE – принтер этикеток с высокой скоростью печати (150 мм/с) и оптимальным разрешением 203dpi от производителя POScenter. Диапазон ленты от 24 до 82 ...,google,"['info@poscenter.ru', 'support@poscenter.ru']","['+74955131129', '+74955189441']",30-08-2025 09:57:39
1,Этикетка купить,https://mertech.ru,"Купить термопринтеры и термотрансферные принтеры для печати этикеток в интернет-магазине по цене от 560 ₽. Быстрая доставка по Москве, Московской области и ...",google,['store@mertech.ru'],"['+74951462525', '+78003330014']",30-08-2025 09:57:39
1,Этикетка купить,https://www.dobus.ru,"На сайте https://www.dobus.ru можно найти различные виды самоклеящихся этикеток, которые подойдут для разных типов товаров и упаковок. Они могут быть ...",google,['info@dobus.ru'],"['+74951457240', '+77714378665', '+78005116130', '+78453512200']",30-08-2025 09:57:39
1,Этикетка купить,https://x-press.ru,"Bottle_birka_1. Бирка на бутылку, размер до 60*90 мм, печать с одной стороны, отверстие, подвес. Количество, шт, цена за шт., руб, Сумма, руб. 100, 6-50, 650-00.",google,['info@x-press.ru'],"['+78043338550', '+78124267580', '+79999999999']",30-08-2025 09:57:39
1,Этикетка купить,https://shop.reef.ua,Выбирайте 【Термотрансферные этикетки】 на ⚡shop.REEF.ua⚡ Широкий ассортимент термотрансферных наклеек разных размеров✔️Гарантия качества ✔️Доступная цена ...,google,['info@shop.reef.ua'],"['+380443693738', '+380503151713', '+380934056565', '+380999999999']",30-08-2025 09:57:39
