user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,картон купить,https://mamont.by,"Купить картон укрывочный в Минске в интернет-магазине. Доставка по Минску и Беларуси, рассрочка по картам, низкие цены.",google,"['z@mamont.by', 'zakup@mamont.by']","['+375173881504', '+375257504504', '+375293504504', '+375333504504', '+375445016003']",03-09-2025 10:35:24
1,картон купить,https://www.postroyka.by,"Картон укрывочный, плёнка ... 1,96 руб./шт. ... Плёнка Тепличная 120 мкм ГОСТ. Ширина 3 м (рукав 1,5 м) · Плёнка Тепличная 120 мкм ГОСТ. Ширина 3 м (рукав 1,5 м).",google,['mail@postroyka.by'],"['+375172151465', '+375172151740', '+375172152626', '+375173600118', '+375296115959', '+375296285959', '+375296585959', '+375296595959', '+375296795959', '+375296835959', '+375336115959', '+375336285959', '+375336585959', '+375336595959', '+375336795959', '+375336835959']",03-09-2025 10:35:24
1,картон купить,https://woodfuel.by,"52 руб. шт. - +. Базальтовый картон фольгированный ""Rockwool"" 30мм. Добавить в корзину. В наличии. Вата базальтовая 3кг Вата базальтовая 3кг. 30 руб. мешок. - +.",google,['1757575@tut.by'],[],03-09-2025 10:35:24
1,картон купить,https://leonardohobby.by,"Подборки ... 4.62 р. ""Лео"" ""Учись"" Картон белый, мелованный LNWCB-01 200 г/м2 A4 21 х 29.7 см 8 л. 1 цв. . ... 4.97 р. ""Лео"" ""Учись"" Картон цветной, мелованный ...",google,['shop-rb@leonardohobby.by'],['+375172709053'],03-09-2025 10:35:24
1,картон купить,https://artterritory.by,"Купить бумага и картон по выгодным ценам в интернет-магазине АртТерритория ✨ Более 20 000 товаров для творчества, рисования и рукоделия по выгодным ценам ...",google,['sale@art-t.by'],"['+375162484593', '+375172151740', '+375172152626', '+375336591004', '+375447177037']",03-09-2025 10:35:24
1,картон купить,https://detmir.by,Цветная бумага и картон по цене от 1 руб. до 13 руб. в интернет-магазине Детмир ✔️ В наличии 79 товаров ✔️ Акции и скидки на цветную бумагу и картон ✔️ Быстрая ...,google,['info@detmir.by'],"['+375173181333', '+375173771393', '+375173970001']",03-09-2025 10:35:24
1,картон купить,https://papercom.by,Картон полиграфический по наличному или безналичному расчету от Бумажной компании. Доставка по Минску и Беларуси.,google,['info@papercom.by'],"['+375173882042', '+375297620808', '+375447620808']",03-09-2025 10:35:24
1,картон купить,https://3ceni.by,Картон ... 2.19 руб. 2.47 руб. ... Экономия 0.28 руб. ... 1.99 руб. 2.31 руб. ... Экономия 0.32 руб. ... 2.19 руб. 2.29 руб. ... Экономия 0.10 руб. ... 2.19 руб. 2.61 руб.,google,"['anti-corruption@3ceni.by', 'info@3ceni.by']",['+375291556572'],03-09-2025 10:35:24
1,картон купить,https://www.officeton.by,Купить наборы цветной бумаги и картона оптом в интернет-магазине Офистон. Оплата по безналичному расчёту с доставкой по Минску и Минской области — Солигорск ...,google,['info@officeton.by'],"['+375173885959', '+375333182182', '+375445182182']",03-09-2025 10:35:24
1,картон купить,https://mastac.by,"Плита БВТМ-К-1250х600х10 (картон базальтовый). Цена: 9,67 руб. В наличии. Location: - Выбор города -, Березино - В наличии, Борисов ...",google,['you@example.com'],"['+375175165240', '+375223531149', '+375256951313', '+375256951717', '+375291011076', '+375291130299', '+375291317261', '+375291517711', '+375293403000', '+375293790101', '+375293901011', '+375295533030', '+375295734000', '+375296124975', '+375296199594', '+375296507628', '+375296663480', '+375296663482', '+375296901177', '+375296951313', '+375296951717', '+375297550109', '+375297614000', '+375297957441', '+375298157972', '+375298373700', '+375333449090', '+375333790101', '+375336251020', '+375336951313', '+375336951717', '+375339921177', '+375445496908', '+375445570015', '+375445594338', '+375445734000', '+375445744888', '+375445842027', '+375447184219', '+375447363304', '+375447614000', '+375447707099', '+375447821914', '+375447984498']",03-09-2025 10:35:24
