user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,картон оптом,https://russcarton.ru,В магазине RussCarton можно дешево приобрести в розницу или взять оптом листовой картон любых размеров и характеристик по низкой цене. Представлен большой выбор ...,google,['zakaz@russcarton.ru'],"['+74952589925', '+74957969441', '+78003011177', '+79917880011', '+79917880044']",30-08-2025 11:39:34
1,картон оптом,https://mkrovlya.ru,"Производитель ""Мягкая Кровля"" предлагает купить картон оптом. Широкий ассортимент, выгодные цены, доставка по России и СНГ. Гарантия качества.",google,['sale@mkrovlya.ru'],['+78462121338'],30-08-2025 11:39:34
1,картон оптом,https://bumaga.su,"Картон оптом. Бумага.Су - надежный поставщик материалов для упаковки, утеплений, прокладок и обтира. Клиентами Бумага.Су стали более 50 000 предприятий по ...",google,['ets-tk@mail.ru'],"['+73433793374', '+73433793375']",30-08-2025 11:39:34
1,картон оптом,https://spb.russcarton.ru,Купить в розницу или оптом износостойкий и плотный картон в листах можно в компании RussCarton LLC. Для оформления заявки можно позвонить менеджеру или ...,google,['zakaz@russcarton.ru'],"['+74952589925', '+74957969441', '+78003011177', '+78122919999', '+79917880011', '+79917880044']",30-08-2025 11:39:34
1,картон оптом,https://gofrosklad.ru,Предлагаем упаковочный картон собственного производства со склада в Московской области. Возможны оптовые поставки картона для упаковки и продажа в розницу ...,google,['info@gofrosklad.ru'],['+74952605758'],30-08-2025 11:39:34
1,картон оптом,https://upakovka.fabrikapereezda.ru,"Фабрика Переезда предлагает купить листовой картон оптом и в розницу в Москве. Мы производитель, поэтому делаем самые низкие цены и бесплатную доставку.",google,['tk@fabrikapereezda.ru'],['+74955405962'],30-08-2025 11:39:34
1,картон оптом,https://petrobumaga.ru,Купите картон в ролях или листах оптом напрямую от крупнейшего поставщика | Большой ассортимент | 11 филиалов в России.,google,['info@petrobumaga-msk.ru'],"['+74957772373', '+74957772375']",30-08-2025 11:39:34
1,картон оптом,https://kazan.russcarton.ru,Картон в листах - заказать на сайте компании «РуссКартон». Большой ассортимент. Собственное производство. Доставка по всей России.,google,['zakaz@russcarton.ru'],"['+74952589925', '+74957969441', '+78003011177', '+78435280077', '+79917880011', '+79917880044']",30-08-2025 11:39:34
1,картон оптом,https://koronaspb.ru,"Мы реализуем картон по выгодным ценам: от 7.5 рублей за килограмм, а также предлагаем выгодные условия для партнеров, осуществляем регулярные поставки без сбоев ...",google,['info@koronaspb.ru'],"['+78003331696', '+78124253515']",30-08-2025 11:39:34
1,картон оптом,https://bumaga--karton.ru,Купить переплетный картон оптом по низким ценам с бесплатной доставкой в любой город России и СНГ. Все производители и форматы.,google,['roll@cf1.ru'],['+78005054053'],30-08-2025 11:39:34
1,картон оптом,https://gofro-karton.com,"Марки картона обозначаются буквами (Т — трехслойный, П — пятислойный) и цифрами: первая цифра — класс материала, вторая — уровень качества. Например, картон П- ...",google,['info@gofro-karton.com'],['+74951205053'],30-08-2025 11:39:34
1,картон оптом,https://papirstok.com,"Широкий выбор картона: листы, рулоны, гофрокартон, цветной. Картонная бумага для упаковки по лучшим ценам в Киеве с доставкой по всей Украине.",google,"['magazin@papirstok.com', 'skarga@papirstok.com']","['+380443831388', '+380633831388', '+380663831388', '+380733831388', '+380983831388']",30-08-2025 11:39:34
1,картон оптом,https://masterskie-pinchuka.ru,"Заказать картон, кожкартон, гранитоль по оптовой цене от производителя. В Мастерских Пинчука вы найдёте широкий ассортимент картона и гранитоля, ...",google,['info@mpkey.ru'],"['+74953746060', '+78006006432', '+78007072189']",30-08-2025 11:39:34
1,картон оптом,https://bumhiminvest.ru,"Поставляем облицовочный картон оптом по цене от производителя. Картон строительный марок ОБ, ОБВ для гипсокартона и строительных гипсовых листов с доставкой ...",google,['info@bhi-perm.ru'],['+73422320105'],30-08-2025 11:39:34
1,картон оптом,https://www.proletarii.ru,"Картон для гильз (гильзовый картон) оптом · по тел.+7(495) 797-87-91 (многоканальный); · через сервисы ""Задать вопрос"" или ""Запрос стоимости"" или ""Обратный ...",google,"['info@proletarii.ru', 'info@russcarton.ru']","['+74952589925', '+74957969441', '+74957978791', '+78003011177', '+79999999999']",30-08-2025 11:39:34
1,картон оптом,https://pack.ua,Картон и бумага для гофрирования в ассортименте в рулонах и в листах по низким ценам оптом и в розницу. - Продаем любой метраж рулонного сырья с доставкой.,google,['mail@pack.ua'],"['+380577809000', '+380663300300', '+380663300330', '+380935788837', '+380967197719']",30-08-2025 11:39:34
1,картон оптом,https://poligraftorg.ru,Купить цветной дизайнерский картон по низким ценам в интернет магазине Центр Полиграфии. ✓ Низкие цены на широкий ассортимент цветного картона для дизайна ...,google,['info@poligraftorg.ru'],"['+73012379415', '+73022217522', '+73412271822', '+73422584288', '+73432279468', '+73452568074', '+73472249243', '+73512140083', '+73652669135', '+73812951615', '+73822609397', '+73833049306', '+73842780990', '+73843328072', '+73852556479', '+73912347350', '+73952436974', '+74212358547', '+74232390998', '+74712349503', '+74722257168', '+74732106361', '+74742286982', '+74832770411', '+74872216450', '+74952493302', '+74986819934', '+74986819990', '+74986829238', '+78126799211', '+78314351348', '+78332255675', '+78422214336', '+78435280213', '+78442968821', '+78452694107', '+78462500369', '+78512442650', '+78552253653', '+78619914360', '+78624440623', '+78632850539', '+78652257583', '+79785241235']",30-08-2025 11:39:34
