user_id,query,domain,description,engine,position,emails,phones,dateOfSearch
1,купить фанеру,https://fanera.by,Фанера 4 мм · Сорт: 3/4 · Толщина: 4 мм. · Длина: 2500 мм. · Ширина: 1250 мм. · Марка: ФСФ · Поверхность: шлифованная с двух сторон.,google,999,['sales@fanera.by'],"['+375175046335', '+375295500678', '+375296600678']",09-09-2025 20:33:45
1,купить фанеру,https://mamont.by,Купить листы фанеры в интернет-магазине Мамонт. ⭐️ Толщина фанеры от 4 до 18 мм. ⭐️ Продажа в розницу от 1 листа. Доставка по Беларуси или с самовывозом со ...,google,999,"['z@mamont.by', 'zakup@mamont.by']","['+375173881504', '+375257504504', '+375293504504', '+375333504504', '+375445016003']",09-09-2025 20:33:45
1,купить фанеру,https://keetree.by,"В наличии фанера от производителя следующих форматов: 1525×1525 мм, 2500×1250 мм, 1500×3000 мм. Толщины – от 3 до 40 мм. Подходит для строительства, отделки, ...",google,999,['sales@keetree.by'],"['+375162484593', '+375293940061', '+375293940062', '+375293940420', '+375293940440', '+375293940460']",09-09-2025 20:33:45
1,купить фанеру,https://belcorona.by,"Купить фанеру оптом в Беларуси — цены от производителя! Фанера ФК, ФСФ, ламинированная. Доставка по РБ, гибкие условия для оптовиков. Большой ассортимент.",google,999,['info@belcorona.by'],"['+375296073232', '+375296617132']",09-09-2025 20:33:45
1,купить фанеру,https://bobrujsk-praktik.by,Купить ламинированную фанеру по выгодным ценам — только в интернет-магазине Практик. ⇨У нас Вы можете купить фанеру в Гомеле или Могилеве с доставкой в ...,google,999,['info@bobrujsk-praktik.by'],"['+375225708808', '+375225708908', '+375225726256', '+375291053338', '+375333778809', '+375445778808']",09-09-2025 20:33:45
1,купить фанеру,https://xn--80aao5aqu.xn--90ais,"для опалубки · Ламинированная фанера 12*1220*2440мм, сорт 3/3, F/F · Фанера ФСФ 15*1220*1220мм, сорт 5/5 · Ламинированная фанера 15*1220*2440мм, сорт 2/2, F/W.",google,999,['mail@фанера.бел'],['+375293658571'],09-09-2025 20:33:45
1,купить фанеру,https://alfales.by,Фанера купить в Минске с ценой за лист. Широкий выбор размеров и толщин с бесплатной доставкой по городу. Акции и скидки на фанеру для пола!,google,999,['3110000@tut.by'],"['+375173236666', '+375293110000', '+375293110011']",09-09-2025 20:33:45
1,купить фанеру,https://lida.bild-shop.by,"32,99 руб. В корзину. Фанера ФК 10Х1525Х1525 мм. Фанера ФК 10Х1525Х1525 мм. 41,79 руб. В корзину. Фанера 15х1525х1525 мм, 2.325 м2. Фанера 15х1525х1525 ...",google,999,"['info@bild-shop.by', 'offers@bild-shop.by', 'orders@bild-shop.by']","['+375174237320', '+375174241515', '+375255456969', '+375291041740', '+375291132040', '+375291140061', '+375291190196', '+375291518500', '+375291608482', '+375291961986', '+375293796162', '+375295996969', '+375296788684', '+375445102902', '+375445221315', '+375445254414', '+375445356336', '+375445996969', '+375447121412', '+375447655536']",09-09-2025 20:33:45
1,купить фанеру,https://www.oma.by,"Фанера различных сортов в каталоге интернет-магазина ОМА. Вы можете выбрать и купить фанеру толщиной 4,6,8,9,10,12,16 и 21 мм.",google,999,"['brak@oma.by', 'ooo@oma.by']","['+375172702914', '+375172703375', '+375173301000', '+375173301010', '+375447778203']",09-09-2025 20:33:45
1,купить фанеру,https://pinsk.bild-shop.by,"41,79 руб. В корзину. Фанера клееная рядовая 15х1525х1525 Беларусь. Фанера клееная рядовая 15х1525х1525 Беларусь. 59,9 руб. В корзину. Фанера ФК 12х1525х1525 мм.",google,999,"['info@bild-shop.by', 'offers@bild-shop.by', 'orders@bild-shop.by']","['+375174237320', '+375174241515', '+375255456969', '+375291041740', '+375291132040', '+375291140061', '+375291190196', '+375291518500', '+375291608482', '+375291961986', '+375293796162', '+375295996969', '+375296788684', '+375445102902', '+375445221315', '+375445254414', '+375445356336', '+375445996969', '+375447121412', '+375447655536']",09-09-2025 20:33:45
1,купить фанеру,https://www.21vek.by,"Покупай на 21vek.by фанеру с доставкой ➤➤ цена за лист, быстрая доставка по Минску и всей Беларуси, оптом и в розницу, любая форма оплаты!",google,999,"['21@21vek.by', '8a0bb8860e5cd29c7e1f45158f9c7cc7@sentry.21vek.by']","['+375173021021', '+375173740146', '+375255021021', '+375293021021']",09-09-2025 20:33:45
1,купить фанеру,https://xn----8sbahi2al0adpkggh.xn--90ais,"Ищите где можно дешево купить OSB-3, фанеру в Минске? В нашем интернет-магазине большой выбор OSB-3, фанеры по низким ценам и с доставкой по Минску и ...",google,999,"['3359936@gmail.com', '7554836@tut.by']","['+375172703375', '+375447079933']",09-09-2025 20:33:45
1,купить фанеру,https://lesok.by,"Заказывайте фанеру по приемлемым ценам. Вежливые специалисты всегда помогут с выбором фанеры. Доставка по Минску, Дзержинску и РБ +375 (44) 541-06-06.",google,999,['obr@lesok.by'],"['+375171335278', '+375447877931']",09-09-2025 20:33:45
1,купить фанеру,https://bild-shop.by,"1,59 руб. В корзину. Фанера 6х300х300 мм. Фанера 6х300х300 мм. 3,99 руб. В корзину. Фанера 4х1525х1525 мм, S=2,325 м2. Фанера 4х1525х1525 ...",google,999,"['info@bild-shop.by', 'offers@bild-shop.by', 'orders@bild-shop.by']","['+375174237320', '+375174241515', '+375255456969', '+375291041740', '+375291132040', '+375291140061', '+375291190196', '+375291518500', '+375291608482', '+375291961986', '+375293796162', '+375295996969', '+375296788684', '+375445102902', '+375445221315', '+375445254414', '+375445356336', '+375445996969', '+375447121412', '+375447655536']",09-09-2025 20:33:45
1,купить фанеру,https://borisov-praktik.by,"Приобретайте качественную фанеру в Практике Борисов с удобной доставкой в Минск, Брест, Гродно и другие регионы Беларуси. Широкий выбор и надежное качество!",google,999,['info@borisov-praktik.by'],"['+375177746565', '+375256979494', '+375296979494', '+375336979494']",09-09-2025 20:33:45
1,купить фанеру,https://www.postroyka.by,"Фанера ФК влагостойкая 1525 х 1525 мм. Толщина 18 мм. Сорт 2/4. Фанера ФК влагостойкая 1525 х 1525 мм. Толщина 18 мм. Сорт 2/4. РБ. ... 72,85 руб./шт. 69,75 руб./ ...",google,999,['mail@postroyka.by'],"['+375172151465', '+375172151740', '+375172152626', '+375173600118', '+375296115959', '+375296285959', '+375296585959', '+375296595959', '+375296795959', '+375296835959', '+375336115959', '+375336285959', '+375336585959', '+375336595959', '+375336795959', '+375336835959']",09-09-2025 20:33:45
1,купить фанеру,https://baranovichi.bild-shop.by,"18,99 руб. В корзину. Фанера ФК 8х1525х1525 мм. Фанера ФК 8х1525х1525 мм. 32,99 руб. В корзину. Фанера ФК 10Х1525Х1525 мм. Фанера ФК 10Х1525Х1525 мм.",google,999,"['info@bild-shop.by', 'offers@bild-shop.by', 'orders@bild-shop.by']","['+375174237320', '+375174241515', '+375255456969', '+375291041740', '+375291132040', '+375291140061', '+375291190196', '+375291518500', '+375291608482', '+375291961986', '+375293796162', '+375295996969', '+375296788684', '+375445102902', '+375445221315', '+375445254414', '+375445356336', '+375445996969', '+375447121412', '+375447655536']",09-09-2025 20:33:45
1,купить фанеру,https://pmarket.by,"Заказать Фанеру 15 мм ламинированную 15х1500х3000 мм в Минске. Широкий ассортимент, выгодные цены и доставка от ПРОДЖЕКТМАРКЕТ. Звоните +375 44 855-74-93.",google,999,['info@pmarket.by'],"['+375175148597', '+375175148598', '+375336352851', '+375447757493']",09-09-2025 20:33:45
1,купить фанеру,https://intershpon.by,"Купить фанеру, шпонированную дубом, на intershpon.by. Экологичный материал, простой уход. Защита от внешнего шума и вибраций. Склад в Минске. Доставляем по ...",google,999,['info@intershpon.by'],['+375296015014'],09-09-2025 20:33:45
1,купить фанеру,https://sanditrade.by,Размеры листов и их особенности. Наиболее распространенными являются стандартные листы размерами 1250×2500 мм (4×8 футов). Они универсальные и удобные для ...,google,999,['info@sanditrade.by'],"['+375172506777', '+375296724777', '+375298635777']",09-09-2025 20:33:45
1,купить фанеру,https://rosfan.by,Березовая фанера ФСФ с доставкой по Беларуси. ✓Только качественные материалы! ✓Официальный поставщик! ☎️+375 (33) 333-30-56.,google,999,['info@rosfan.by'],"['+375173904295', '+375333333056', '+375339020360']",09-09-2025 20:33:45
1,купить фанеру,https://veneer-by.com,"Apr 29, 2021 ... Гибкая фанера Сейба ☎️ +375 44 753 70 23 ✓Гарантированное наличие ✓Лучшая цена в Минске. Большой выбор гибкой фанеры Сейбы от компании ...",google,999,"['3455ffeaa51d45e1814ac3e07c1ce079@prom-errors.evo.run', 'info@veneer-by.com', 'support@deal.by']","['+375173889484', '+375294911911', '+375296267747', '+375336257747', '+375447537023']",09-09-2025 20:33:45
1,купить фанеру,https://stroy-dvor.by,"Качественная фанера в Могилеве довольно дефицитный товар, поэтому у нас на складе есть фанера сортов ½, 2/2, 2/4, ¾, шлифованная и нешлифованная.",google,999,['info@stroy-dvor.by'],"['+375296630670', '+375297761569']",09-09-2025 20:33:45
1,купить фанеру,https://xn--j1ano.xn--90ais,Фанера в Минске оптом и в розницу! ✓ Широкий ассортимент ✓ Наличие фанеры на складе в центре Минске ✓ Профессиональная консультация при выборе товаров ...,google,999,['cskby@mail.ru'],"['+375173995306', '+375173995307', '+375293115306', '+375293775376', '+375333575306', '+375339052040', '+375447457409']",09-09-2025 20:33:45
1,купить фанеру,https://vpozitive.by,"Фанера · Толщина, мм: 8 · Сорт: 3/4. Цена: 3180руб/шт. Цена по карте: 3140руб/шт. шт. В корзину.",google,999,['web@vpozitive.by'],"['+375162484593', '+375296465454', '+375296986969', '+375297160202']",09-09-2025 20:33:45
1,купить фанеру,https://mtr.by,"Фанера в Заславле · Страна производства: Беларусь · Цвет: бежевый · Назначение: для кровли, для ламината, для мебели, для мягкой кровли, для опалубки, для ...",google,999,['sales@mtr.by'],"['+375295842027', '+375445842027', '+3758001500', '+3758001700']",09-09-2025 20:33:45
1,купить фанеру,https://mastac.by,"Фанера Ш2 12ммх1525ммх1525мм, сорт 2/4 (лист). Цена: 47,60 руб. В наличии. Location: - Выбор города -, Березино - В наличии ...",google,999,['you@example.com'],"['+375175165240', '+375223531149', '+375256951313', '+375256951717', '+375291011076', '+375291130299', '+375291317261', '+375291517711', '+375293403000', '+375293790101', '+375293901011', '+375295533030', '+375295734000', '+375296124975', '+375296199594', '+375296507628', '+375296663480', '+375296663482', '+375296901177', '+375296951313', '+375296951717', '+375297550109', '+375297614000', '+375297957441', '+375298157972', '+375298373700', '+375333449090', '+375333790101', '+375336251020', '+375336951313', '+375336951717', '+375339921177', '+375445496908', '+375445570015', '+375445594338', '+375445734000', '+375445744888', '+375445842027', '+375447184219', '+375447363304', '+375447614000', '+375447707099', '+375447821914', '+375447984498']",09-09-2025 20:33:45
1,купить фанеру,https://e-lesok.by,Заказывайте фанеру по дешевым ценам ✓ Вежливые специалисты всегда помогут с выбором влагостойких листов фанеры ✓ Доставка по Минске ☎ +375 (44) 541-08-08.,google,999,"['e.lesok.by@gmail.com', 'elesok.by@yandex.ru']","['+375171335278', '+375175410808', '+375255410808', '+375445410808']",09-09-2025 20:33:45
1,купить фанеру,https://igolenka.by,"Фанера купить в интернет-магазине Иголенька в Лиде по лучшей цене. Широкий ассортимент, рассрочка, скидки. Самовывоз, доставка по всей Беларуси.",google,999,"['info@igolenka.by', 'o.isayeva@igolenka.by']","['+375154534017', '+375154646008', '+375163646000', '+375291144084', '+375291728949', '+375291887241', '+375295189190', '+375336862436', '+375336973330', '+375445220485', '+375445221159', '+375445458059']",09-09-2025 20:33:45
1,купить фанеру,https://fanerabel.by,"Sep 6, 2020 ... У нас вы можете купить высококачественную фанеру, двп, дсп, мебельный щит с доставкой по всей Беларуси. ФОФ, ФСФ, ФК.",google,999,['fanera-plus@mail.ru'],"['+375291697927', '+375297513500']",09-09-2025 20:33:45
1,купить фанеру,https://mir-parketa.by,"Mar 17, 2015 ... Ищите где купить фанеру в Минске? Мир паркета предлагает фанеру по выгодным ценам. Фанера хорошего качества в Минске. Звоните и заказывайте.",google,999,"['mirparketabel@gmail.com', 'parquetworld@mail.ru']","['+375173234486', '+375173934996', '+375293720150', '+375296235465', '+375296881242']",09-09-2025 20:33:45
1,купить фанеру,https://soligorsk.bild-shop.by,"41,79 руб. В корзину. Фанера 15х1525х1525 мм, 2.325 м2. Фанера 15х1525х1525 мм, 2.325 м2. 59,9 руб. В корзину. Фанера ФК 12х1525х1525 мм.",google,999,"['info@bild-shop.by', 'offers@bild-shop.by', 'orders@bild-shop.by']","['+375174237320', '+375174241515', '+375255456969', '+375291041740', '+375291132040', '+375291140061', '+375291190196', '+375291518500', '+375291608482', '+375291961986', '+375293796162', '+375295996969', '+375296788684', '+375445102902', '+375445221315', '+375445254414', '+375445356336', '+375445996969', '+375447121412', '+375447655536']",09-09-2025 20:33:45
1,купить фанеру,https://www.fanerka.by,Продажа: фанеры ФК ФСФ ФОФ | OSB | ДВП | ОСП | ДСП | МДФ | ХДФ | гофрокартона и полиэтиленовой пленки - по низким ценам ✓ помощь в выборе ✓ доставка ✓ в ...,google,999,['info@fanerka.by'],['+375293708006'],09-09-2025 20:33:45
1,купить фанеру,https://skladna.by,"Влагостойкая фанера в Гомеле оптом и в розницу по выгодным ценам. Доставка в Гомеле и по РБ. Распил, большой выбор и гарантия качества фанеры. ✓ 8 складов.",google,999,"['minsk@skladna.by', 'novopolotsk@skladna.by']","['+375291116677', '+375291196677']",09-09-2025 20:33:45
1,купить фанеру,https://opalubka.by,"В широком ассортименте высококачественная ламинированная фанера от производителя. Наличие на складе в Минске, доставка, любые размеры и толщина, низкая цена ...",google,999,['monolit@opalubka.by'],"['+375173257777', '+375173527777', '+375291180680', '+375291479174']",09-09-2025 20:33:45
1,купить фанеру,https://fishkaremonta.by,"Листы фанеры купить в Минске по выгодной цене в магазине «Фишка ремонта». ☑️Каталог фанеры толщиной 4, 8, 10, 12 и 15 мм с доставкой.",google,999,['sales@fishkaremonta.by'],"['+375293985509', '+375296378000']",09-09-2025 20:33:45
1,купить фанеру,https://tdk-minsk.by,"Реализуем фанеру ФК оптом и в розницу со склада в Минске по низким ценам. В наличии на складе шлифованная фанера марки фк, не шлифованная.",google,999,['tdccom@yandex.ru'],"['+375173632216', '+375173633217', '+375296583471']",09-09-2025 20:33:45
