user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,майки купить оптом,https://krasavik.by,"Компания «Колорэкспресс» предлагает выбрать майки оптом по привлекательным ценам. Футболки изготавливаются в любых необходимых размерах, из качественных и ...",google,['gifts@colorexpress.by'],"['+375172204873', '+375173991082', '+375291844844', '+375291980869', '+375291997171', '+375293262336', '+375447079996']",02-09-2025 23:12:12
1,майки купить оптом,https://xn----7sbc0bejjeajzidn.xn--p1ai,"После этого специалисты компании свяжутся с заказчиком, чтобы обсудить детали сотрудничества и оформить заказ по телефону +7 499 350 85 23. У нас можно ...",google,"['salefutbolka@gmail.com', 'sellers.msk@futbolka-optom.ru', 'sellers.pnz@futbolka-optom.ru']","['+74993508523', '+78122008563', '+78452318135', '+79273647282', '+79648459137']",02-09-2025 23:12:12
1,майки купить оптом,https://uzcotton.ru,Интернет-магазин «Uzcotton» предлагает купить футболки оптом по выгодной цене от производителя. Широкий ассортимент недорогих футболок.,google,['sale@uzcotton.ru'],['+74993437340'],02-09-2025 23:12:12
1,майки купить оптом,https://natali.ru,Женские футболки оптом купить можно в маркетплейсе «Натали». Яркие и современные изделия порадуют ваших покупателей. Стараемся для вас! 703 товара. Фильтры и ...,google,['zakaz@natali37.ru'],['+74932475050'],02-09-2025 23:12:12
1,майки купить оптом,https://pack24.ru,"Пакеты-майки · Размер 28*50 см. (28-ширина, 50-длина, 16-складка) см. · Материал ПНД, грузоподъемность до 4,5 кг. · Мин. покупка от 100 шт.",google,['sales@pack24.ru'],[],02-09-2025 23:12:12
1,майки купить оптом,https://shop.jamaika.by,"Майки, футболки, поло, безрукавки и лонгсливы с печатью надписи, логотипа, или фото под заказ онлайн. Купить футболки оптом с печатью.",google,['info@jamaika.by'],"['+375296681811', '+375336688811']",02-09-2025 23:12:12
1,майки купить оптом,https://vikowest.by,Купите футболки и майки с логотипом оптом от производителя. Изготовление футболок с лого компании на заказ. Закажите печать логотипа на майках прямо сейчас!,google,"['minsk@vikowest.by', 'zakaz@vikowest.by']","['+375298341212', '+375339135050']",02-09-2025 23:12:12
1,майки купить оптом,https://textile.by,"Футболки (майки) оптом и в розницу купить от 5.00р. в Минске. Доствка в Брест, Гомель, Гродно, Витебск, Могилев и другие города Беларуси.Скидки до 40% оптом ...",google,['6509402@tut.by'],['+375296509402'],02-09-2025 23:12:12
1,майки купить оптом,https://donella.com.ru,"Ищете надежного поставщика детского нижнего белья оптом? Вы нашли его! Именно у нас вы получите профессиональный сервис, большой выбор товаров, быструю сборку и ...",google,['d.donella@mail.ru'],"['+74997077710', '+79774974701']",02-09-2025 23:12:12
1,майки купить оптом,https://texrio.ru,Женские майки оптом и в розницу от производителя в каталоге интернет-магазина текстильного центра РИО с доставкой по Иваново и всей России. Консультация по ...,google,['info@texrio.ru'],[],02-09-2025 23:12:12
