user_id,query,domain,description,engine,position,emails,phones,dateOfSearch
3,мебель купить,https://aksamit.by,"Магазины мебели Аксамит в Минске, Молодечно, Гомеле и Бресте. Мебель в рассрочку с доставкой по Беларуси. Низкие цены. 🛏️ Мебель для гостиной ...",google,999,['kc@aksamit.by'],"['+375256723300', '+375291953100', '+375291963500', '+375292213100', '+375293623500', '+375293663100', '+375293743100', '+375296453100', '+375296493100', '+375296723300', '+375296833100', '+375333443100', '+375333653100', '+375336723300']",11-09-2025 23:07:56
3,мебель купить,https://anrex.by,Диван угловой CARMEN SOFT. Цвет SIMPLE 5. Мягкая мебель; ЛДСП / ДВП / брус деревянный; 248 x 94 x 145 (см) Ш/В/Г. 1 323.90 BYN. Распродажа.,google,999,"['anrex-ekb@mail.ru', 'anrex.orel@mail.ru', 'anrex26@mail.ru', 'anrex@anrex.info', 'anrexsibir@mail.ru', 'brw_samara2009@mail.ru', 'dobromebel-manager@mail.ru', 'galoksdv@mail.ru', 'ideamebel@gmail.com', 'info@anrex.by', 'marketing@anrex.by', 'marketing_dir@eml.kz', 'moscow@anrex.info', 'reclamation@anrex.by', 's.kirillov@anrex.info', 'sales@anrex.by', 'supply@anrex.by']","['+375162301707', '+375162301710', '+375162301712', '+375162301713', '+375292331295', '+375296104433', '+375333512599', '+3758003331976', '+73432718100', '+73433010380', '+73832143784', '+74950094321', '+77051299105', '+77772224566', '+78005553017', '+79090215429', '+79139284156', '+79787427761', '+79787427763', '+79851279220']",11-09-2025 23:07:56
3,мебель купить,https://fandok.com,Каталог кроватей из дерева по доступным ценам ✓ Двуспальные и односпальные кровати из массива дерева ✓ Детские кровати из дерева.,google,999,['magazin@fandok.com'],"['+375255761610', '+375291734745']",11-09-2025 23:07:56
3,мебель купить,https://korsak.by,Диван купить выгодно? Посетите каталог мягкой мебель КОРСАК. При помощи фильтра вы легко подберете себе необходимый диван.,google,999,['korsak-vv@tut.by'],[],11-09-2025 23:07:56
3,мебель купить,https://divandivanych.by,"Фабрика мебели «ЭРА» – шкафы, кровати, кухни, спальни, гостиные: ⭐ доставка по РБ, ⭐ самая низкая цена в городе, ⭐ рассрочка 3 года!",google,999,"['37minsk@mail.ru', 'info@divandivanych.by']","['+375162484593', '+375291919017']",11-09-2025 23:07:56
3,мебель купить,https://mebelblizko.by,В интернет-магазине mebelblizko.by можно купить мебель в Минске недорого. Выгодные цены на мебель. Быстрая доставка по РБ. Рассрочка. Высокое качество.,google,999,['manager@mebelblizko.by'],"['+375336368515', '+375444637050']",11-09-2025 23:07:56
3,мебель купить,https://amihome.by,"В нашем каталоге представлены недорогие распашные шкафы с зеркалами и без, шкафы закрытые и комбинированные, шкафы со стеклянными витринами. Фото моделей ...",google,999,['sales@amihome.by'],['+375163651713'],11-09-2025 23:07:56
3,мебель купить,https://lamamebel.by,Популярная. от 1283 руб. Стандарт. от 1394 руб. Премиум. от 1530 руб. * Информация о стоимости товара носит исключительно информационно-рекламный характер. Цена ...,google,999,['sales@lamamebel.by'],"['+375165323614', '+375172364673', '+375172412761', '+375173956784', '+375174260816', '+375177547177', '+375177650874', '+375177774677', '+375179526836', '+375179554589', '+375213750125', '+375232254254', '+375233420703', '+375233441740', '+375233442558', '+375234049859', '+375236248573', '+375236254784', '+375291019890', '+375291235666', '+375291338899', '+375291798110', '+375291879865', '+375291920822', '+375292114053', '+375292114147', '+375292114372', '+375292114803', '+375292222141', '+375292222164', '+375292226576', '+375292374177', '+375292841848', '+375292926209', '+375293281304', '+375293281305', '+375293292306', '+375293314436', '+375293424549', '+375293431190', '+375293579931', '+375293680701', '+375293740530', '+375293830043', '+375293853588', '+375293918018', '+375295323723', '+375296036028', '+375296070261', '+375296218215', '+375296270140', '+375296944689', '+375297267413', '+375297321135', '+375297328384', '+375297439528', '+375297842717', '+375297932604', '+375298150556', '+375298867713', '+375299687711', '+375299705605', '+375299888486', '+375333106136', '+375333332306', '+375333760677', '+375336270140', '+375336401086', '+375336553628', '+375336814867', '+375445195203', '+375445461086', '+375445607301', '+375445609009', '+375447170319', '+375447343588', '+375447762561', '+375447778032', '+3758033322615']",11-09-2025 23:07:56
3,мебель купить,https://ozerco.com,Мебель и сантехника для дома и офиса в каталоге мебель-центра Озерцо в Минске. Более 20 тысяч моделей по ценам производителей в наличии и под заказ: ...,google,999,['info@ozerco.com'],"['+375162484593', '+375296134343']",11-09-2025 23:07:56
3,мебель купить,https://gomeldrev.by,Тельма от компании Гомельдрев. ✓Большой каталог мебели для дома из дерева по низким ценам. ✓32 магазина по Беларуси. ☎️ +375 (232) 25-74-03.,google,999,['info@gomeldrev.by'],"['+375175516200', '+375232257316', '+375232257321', '+375232257323', '+375232257324', '+375232257362', '+375232257363', '+375232257392', '+375232257393', '+375232257403', '+375232257406', '+375296055757', '+375445504000']",11-09-2025 23:07:56
3,мебель купить,https://buymebel.by,Коллекция мебели Анрекс LIMA (Лима). Доставка в день заказа. Рассрочка до 12 мес. Гарантия 24 мес. Подскажем и поможем с выбором. Звоните!,google,999,['info@buymebel.by'],['+375296506692'],11-09-2025 23:07:56
3,мебель купить,https://meko.by,Купить мебель в рассрочку от банка или по Халве! Большой каталог корпусной и мягкой мебели с фото и описанием в Минске. Низкие цены на мебель с доставкой по ...,google,999,['info@meko.by'],['+375447172733'],11-09-2025 23:07:56
3,мебель купить,https://mystar.by,"Мы рады предложить Вам всю гамму мебели для дома: гостиные, спальни, кухни, мебель для детских комнат, офисов, прихожих и сопутствующие товары. Мебель ...",google,999,"['pit@idrev.by', 'sales@mystar.by']","['+375162484593', '+375164535505', '+375164592482', '+375291228282', '+375333448281', '+375336199053', '+375339915229', '+375445883720', '+375447999075']",11-09-2025 23:07:56
3,мебель купить,https://mebel-kmk.by,Кровать “800”. Артикул: КМК 0302. Размеры (Ш.В.Г): 1990 Х 760 Х 860. Цена ...,google,999,['omis@mebel-kmk.by'],"['+375234524474', '+375291055200', '+375291587512', '+375291770316', '+375291770319', '+375291859060', '+375291919060', '+375292199798', '+375292302263', '+375292521249', '+375292593378', '+375292921519', '+375293128496', '+375293138365', '+375293146118', '+375293148486', '+375293148671', '+375293163345', '+375293386271', '+375293594503', '+375293789060', '+375293872826', '+375293929060', '+375293939060', '+375293979060', '+375295045367', '+375295053567', '+375295109602', '+375295113179', '+375295259060', '+375295661744', '+375295759060', '+375295818741', '+375296619060', '+375296739060', '+375296799060', '+375297011195', '+375297371585', '+375297624152', '+375298119060', '+375298229580', '+375298356977', '+375298389060', '+375298499060', '+375298559060', '+375298919060', '+375333152346', '+375333152385', '+375333153254', '+375333153256', '+375333261706', '+375333449060', '+375333495618', '+375333496472', '+375333549060', '+375333579060', '+375333659060', '+375333959060', '+375336379060', '+375336588229', '+375445521195', '+375445621195', '+375445821195', '+375447669060', '+375447704815', '+375447757990', '+375447821195', '+375447902388', '+375447909215']",11-09-2025 23:07:56
3,мебель купить,https://shop.anrex.by,"Мебель в Интернет-магазине с доставкой · Стеллажи · Стенки-горки · Письменные столы · Кухни. Перейти в каталог. Хиты продаж; Купить дешевле. Vinati, тумба 1D3S ...",google,999,"['camelot@anrex.by', 'info@mebelon.by', 'modechno@anrex.by', 'novopolotsk@anrex.by']","['+375293620075', '+375293621000', '+375293621004', '+375293621037', '+375293621075', '+375333621000']",11-09-2025 23:07:56
3,мебель купить,https://vamrad.by,"Ищете где купить диваны Прогресс (Progress) в Бресте? Ознакомьтесь с каталогом диванов, диван-кроватей и тахт по выгодным ценам от компании ВамРад.",google,999,['info@vamrad.by'],"['+375152735663', '+375162269769', '+375292222141', '+375292222150', '+375292222151', '+375292222741', '+375298867713']",11-09-2025 23:07:56
3,мебель купить,https://molodechnomebel.by,Купить диван из натурального массива дерева. Гибкая система рассрочки и ежемесячные акции. Большой выбор мебели из экологично чистых материалов.,google,999,"['info@molodechnomebel.by', 'sbit@molodechnomebel.by']","['+375176580509', '+375176580588']",11-09-2025 23:07:56
3,мебель купить,https://m.gomel.brw-online.by,Брендовый интернет-магазин мебели Black Red White предлагает широкий ассортимент высокого качества с доставкой по всей Беларуси по выгодным ценам.,google,999,['my.meb@yandex.ru'],"['+375172151465', '+375173957000', '+375293959400', '+375336033400']",11-09-2025 23:07:56
3,мебель купить,https://m.neman-shop.by,Кровати по лучшей цене в интернет-магазине Мебель Неман с фабричной гарантией и доставкой по всей Беларуси.,google,999,['my.meb@yandex.ru'],"['+375172151465', '+375333441030', '+375445202030']",11-09-2025 23:07:56
3,мебель купить,https://sonit-shop.by,Компания представляет спальную мебель разного размера и дизайна. Все товары доступны в каталоге. Здесь представлены двуспальные и односпальные кровати и ...,google,999,['ll@sonit.pro'],"['+375291391969', '+375291630777', '+375292392000', '+375293450305', '+375293460502', '+375293722344', '+375293791090', '+375295414545', '+375445414545', '+375445444958', '+375445997919', '+375447410036']",11-09-2025 23:07:56
3,мебель купить,https://nm-shop.by,Продажа качественной мебель по низким ценам. ⭐ Акции и скидки. ✓ Рассрочка от банков-партнеров и популярным картам рассрочки. ✓ Доставляем по всей Беларуси.,google,999,['info@nm-shop.by'],"['+375292433871', '+375295898908', '+375296433871']",11-09-2025 23:07:56
3,мебель купить,https://dom35.by,"В салоне можно купить наматрасники, топперы, надиванники, ортопедические матрасы и подушки, ортопедические основания, кровати с подъемным механизмом, диваны и ...",google,999,['info@dom35.by'],['+375173685555'],11-09-2025 23:07:56
3,мебель купить,https://m.brest.brw-online.by,Спальни · Гостиные · Молодежные и детские · Мебель для прихожей · Кухни · Мягкая мебель · Матрасы · Все коллекции · БРВ О бренде БРВ Контакты.,google,999,['my.meb@yandex.ru'],"['+375172151465', '+375173957000', '+375293959400', '+375336033400']",11-09-2025 23:07:56
3,мебель купить,https://svmebel.by,"299,00 руб. Ещё 1 вариант. Тумба делится вертикальными перегородками на 3 отделения. По краям отделения размером 508х348х400 мм с глухими распашными створками.",google,999,['zakaz@svmebel.by'],['+375296960606'],11-09-2025 23:07:56
3,мебель купить,https://keramin.by,В интернет-магазине keramin.by Вы сможете выбрать и купить мебель для ванной комнаты в Минске. Широкий ассортимент и доступные цены.,google,999,"['office@keramin.by', 'serafimovichaiu@keramin.by', 'shop.minsk@keramin.by']","['+375173500800', '+375295888007', '+375445772135', '+375445888777']",11-09-2025 23:07:56
