user_id,query,domain,description,engine,position,emails,phones,dateOfSearch
3,окна купить,https://www.okna-pvh.by,"Недорогие окна KBE, Rehau, Salamander по низким ценам в Минске ☎ 8(029) 313-13-44. ➤ Акция - Осень 2025 ➤ Защита от детей в подарок, купи пластиковое окно ...",google,999,['dnev-svet@mail.ru'],['+375293131344'],11-09-2025 23:22:25
3,окна купить,https://ikomfort.by,Окна ПВХ в Минске. Окна ПВХ в Минске. от 80 руб.при оплате в рассрочку. рассрочка 0% от 3 до 12 месяцев и профессиональный монтаж · Акция на окно ПВХ в Минске.,google,999,['btm20@inbox.ru'],"['+375173006092', '+375291443322', '+375296628022', '+375296768767', '+375336168022']",11-09-2025 23:22:25
3,окна купить,https://www.tbmmarket.by,... окна. детские замки на окна купить оконные замки купить оконный блокираторы на окна купить блокираторы на окна от детей. Установка оконного блокиратора.,google,999,"['listratenko.blr@tbm.by', 'market-blr@tbm.by']","['+375175553015', '+375175553023', '+375447775062']",11-09-2025 23:22:25
3,окна купить,https://konstruktor.by,"Пластиковые окна ПВХ в Бресте ⭐ Рассрочка до 24 месяцев ⭐ Доставка, сборка и монтаж ⭐ под ключ ⭐ в интернет-магазине КонструкторБай.",google,999,['info@konstruktor.by'],"['+375297207040', '+375298331040']",11-09-2025 23:22:25
3,окна купить,https://www.grandline.by,"Мансардные окна в Минске - купить на сайте-витрине компании Grand Line по низким ценам. Калькулятор расчета, оперативная доставка по Минску и Беларуси, ...",google,999,['info@grandline.by'],['+375293352533'],11-09-2025 23:22:25
3,окна купить,https://asforos.by,Жалюзи ПВХ Горизонтальные Орех светлый. от 32.75 руб./шт. Купить · Жалюзи алюминиевые «Белый». Хит продаж. Лучшая цена. Жалюзи алюминиевые «Белый».,google,999,"['admin@asforos.by', 'info@asforos.by', 'sales@asforos.by']","['+375173204906', '+375291096600', '+375297658328', '+375445759533']",11-09-2025 23:22:25
3,окна купить,https://magazinokon.by,"Готовые окна для вашего дома, дачи в Интернет-магазине ""Магазин окон"". Все окна уже изготовлены и можно купить на складе или заказать доставку по Минску и ...",google,999,['info@magazinokon.by'],"['+375295555528', '+375296355528', '+79123456789']",11-09-2025 23:22:25
3,окна купить,https://euroholl.by,"Цены на готовые окна в Минске · Окно ПВХ Rehau Grazio, одностворчатое, одна створка глухая. Новая цена. 154 руб. Старая цена. 231 руб. Профиль. Rehau Grazio 70.",google,999,['marketing@euroholl.by'],"['+375293052855', '+375293542060', '+375293859091', '+375333542060', '+375445730238']",11-09-2025 23:22:25
3,окна купить,https://www.orbita.by,ORBITA.BY — оконная компания ✓ где вы можете заказать готовые пластиковые окна с профилем REHAU и стеклопакетами по доступным ценам ⚡️ Мы предлагаем широкий ...,google,999,['info@orbita.by'],"['+375173181717', '+375173381717', '+375293201777', '+375296881717']",11-09-2025 23:22:25
3,окна купить,https://www.oma.by,"от 6,10 р. в мес. Оплата частями. Самовывоз: сегодня Доставка: завтра. Окно ПВХ (Элемент Остекления) (Лт)-П-1000х500 ...",google,999,"['brak@oma.by', 'ooo@oma.by']","['+375172702914', '+375172703375', '+375173301000', '+375173301010', '+375447778203']",11-09-2025 23:22:25
