user_id,query,domain,description,engine,position,emails,phones,dateOfSearch
1,прицепы от производителя купить,https://xn--e1abfb8ace3c.xn--p1ai,"Легковые прицепы. Главная · Каталог. Легковые прицепы. Производитель: Все, Mullerwagen (Россия), Rinal (Россия г. Ижевск), Tavials (Россия г.Таганрог), Викинг ...",google,999,['pricep18@mail.ru'],"['+73412770446', '+79225170446']",04-09-2025 07:19:58
1,прицепы от производителя купить,https://vector-trailer.ru,Широкий выбор надежных прицепов для легковых автомобилей от завода Вектор. Выбирайте качественные прицепы для различных задач. Доставка по России.,google,999,['vector97@mail.ru'],"['+78005505203', '+78124484579', '+78124484580', '+78124484581', '+79117617752', '+79255964080']",04-09-2025 07:19:58
1,прицепы от производителя купить,https://kupi-pricep.ru,"ООО «Московский завод специализированных автомобилей» (ООО «МЗСА») — крупное многопрофильное предприятие и ведущий российский производитель легковых прицепов, ...",google,999,['mail@kupi-pricep.ru'],"['+74994605691', '+79723035587']",04-09-2025 07:19:58
1,прицепы от производителя купить,https://expedition-pricep.ru,"Каталог прицепов для легковых автомобилей от производителя по выгодным ценам : характеристики, комплектации, цены.",google,999,"['a.aitova@krmz.info', 'help@e-pricep.ru', 'info@e-pricep.ru', 'lyapunov@krmz.info', 'zhigalov@krmz.info']",[],04-09-2025 07:19:58
1,прицепы от производителя купить,https://alaskatrailers.ru,Купить Подробнее · ALASKA Шторм выс. борт. 155 000 руб. Купить Подробнее · ALASKA Шторм низ. борт. 150 000 руб. Купить Подробнее · Каталог прицепов. Обратный ...,google,999,['sibpricep24@mail.ru'],"['+73912925252', '+79082125252']",04-09-2025 07:19:58
1,прицепы от производителя купить,https://pricep-kmz.ru,"Прицепы КМЗ - официальный сайт. Прицепы для дачи, строительства, мототехники, лодок, бизнеса.",google,999,"['sale@beri-vezi.ru', 'trailers@irongroup.pro']","['+74959559273', '+78007009621', '+79033588355', '+79613420640']",04-09-2025 07:19:58
1,прицепы от производителя купить,https://pricep45.ru,Производитель купить в Кургане и с доставкой по всей России. Заказать по тел: 8 (800) 350 83 10.,google,999,"['0072@inbox.ru', '36kosinov@mail.ru', '750919@mail.ru', 'a.v.tatarnikov@mail.ru', 'a108-m8@mail.ru', 'ander.alaew@yandex.ru', 'automobiletuva@yandex.ru', 'autopromkomplekt@mail.ru', 'autoturism163@yandex.ru', 'avto-st@mail.ru', 'avtodor56@yandex.ru', 'b.s.a1234@inbox.ru', 'b.s.k1234@inbox.ru', 'b.s1234@inbox.ru', 'com-bi@mail.ru', 'deltoo@mail.ru', 'dmitrenkoap@rambler.ru', 'elizaveta_druzhkova@mail.ru', 'evgenkom2@gmail.com', 'fenix.avy@gmail.com', 'honda668@yandex.ru', 'hoz-stroy@mail.ru', 'ilya@ugservice.kz', 'info@dav-avto.ru', 'info@kurazhsport.ru', 'info@orenprokat.ru', 'info@pricep-tmn.ru', 'megaavto1@yandex.ru', 'mig-vologda@mail.ru', 'morozovam@specautotrade.pro', 'nadya.kalnickaya@mail.ru', 'oleg.nikitin68@mail.ru', 'oralpricep@mail.ru', 'orlov-pricep@mail.ru', 'pr54@ctt-sib.ru', 'prc163@mail.ru', 'pricep-ekb@yandex.ru', 'pricep-kirov@yandex.ru', 'pricep-saratov@mail.ru', 'pricep.38@mail.ru', 'pricep02@mail.ru', 'pricep23@mail.ru', 'pricep@6174161.ru', 'pricepvlg34@gmail.com', 'pritsep_kostanay@mail.ru', 'pritseptsentr@yandex.ru', 'prival_oxotnika@mail.ru', 'raisa.l@inbox.ru', 'regionavto24@yandex.ru', 'reklama10004@mail.ru', 'romanbajmysev@gmail.com', 'safronov@7sky-24.ru', 'shina@shalrinsk.net', 'td-ugvolga@yandex.ru', 'tkpricep@mail.ru', 'uralprisep2006@yandex.ru', 'velikans16@yandex.ru', 'zakaz@skif-avto.ru']","['+73412556363', '+73412624030', '+73422022627', '+73424292595', '+73424954523', '+73433837778', '+73435212015', '+73463462437', '+73472626622', '+73472663111', '+73478527199', '+73512312666', '+73512314666', '+73512352666', '+73522545392', '+73522600306', '+73525361927', '+73532252543', '+73532295909', '+73532979714', '+73812599987', '+73912963613', '+73952710194', '+74132200404', '+74132641900', '+74232750919', '+74912293129', '+74942499989', '+74942501055', '+74951434300', '+77017724070', '+77020111150', '+77051032095', '+77051035375', '+77058135010', '+77076748758', '+77078384403', '+77084321187', '+77102722286', '+77142533535', '+77152535871', '+77162295117', '+77162295118', '+77172541671', '+77252975637', '+77479303222', '+77771091008', '+77772960905', '+77773043080', '+77773266103', '+77776094845', '+78003508310', '+78005555489', '+78122958181', '+78123366223', '+78123366224', '+78123777451', '+78172580888', '+78184565775', '+78184586880', '+78412511851', '+78412778277', '+78442984758', '+79010525093', '+79010570095', '+79012019699', '+79019119333', '+79020407409', '+79024791539', '+79026096677', '+79051211877', '+79053153488', '+79053562455', '+79057932518', '+79061226924', '+79089050062', '+79091802219', '+79123961187', '+79128349677', '+79129380100', '+79147050919', '+79159299989', '+79177630024', '+79178825350', '+79180350808', '+79183777838', '+79192250202', '+79195796557', '+79198596723', '+79219103850', '+79221813173', '+79224523584', '+79226730880', '+79227816312', '+79229447267', '+79230041555', '+79232130167', '+79237083333', '+79248183333', '+79269624221', '+79275102672', '+79283303624', '+79289008787', '+79322490777', '+79325553311', '+79372020303', '+79372030303', '+79373002949', '+79373008770', '+79375363783', '+79495055551', '+79505893237', '+79520850124', '+79524429699', '+79586107575', '+79655333415', '+79681022111', '+79682607049', '+79785953556', '+79825818884', '+79826664607', '+79870049826', '+79872686287', '+79878635124', '+79879447717', '+79887415349', '+79914073877', '+79924253070', '+998900207898']",04-09-2025 07:19:58
1,прицепы от производителя купить,https://www.mzsa.ru,Преимущества МЗСА. Лидеры отрасли. Московский завод специализированных автомобилей является лидером на российском рынке среди производителей прицепной техники и ...,google,999,['zakaz@mzsa.ru'],"['+74991683623', '+74991688728']",04-09-2025 07:19:58
1,прицепы от производителя купить,https://nafarkope.ru,"... Трейлер, Вектор, Курганский прицеп, Крепыш - купить со скидкой и в наличии ... производителей: МЗСА RESPO, МКЗ, ЛАВ, Сталкер и Трейлер. На территории ...",google,999,['maa@autoshinsnab.com'],"['+73433793989', '+79045475302']",04-09-2025 07:19:58
1,прицепы от производителя купить,https://rinal18.ru,"Лодочные прицепы · Лодочный прицеп 4м. Размер платформы 183х430 см. 81,000 ₽ · Лодочный прицеп 5м · Лодочный прицеп 5м. Размер платформы 208х546 см. 88,200 ₽.",google,999,['rinal.manager@mail.ru'],['+79058755755'],04-09-2025 07:19:58
