user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,производим этикетку,https://miretiketki.ru,Термоэтикетки. Компания «Мир этикетки» производит из качественных материалов термоэтикетки для продажи всем желающим в Москве и Подмосковье. Продукция нашей ...,google,['vasb@zvergvxrgxv.eh'],"['+74955894314', '+78005504314']",03-09-2025 19:44:16
1,производим этикетку,https://maxxlabel.ru,"Чтобы избежать этих неприятных моментов,мы рекомендуем заказать в нашей компании маркировку с нарезкой термоножом . Срок производства: от 1 рабочего дня,зависит ...",google,['maxxlabel@mail.ru'],"['+74959783049', '+79999999999']",03-09-2025 19:44:16
1,производим этикетку,https://xn----8sbnbomblssufd3m.xn--p1ai,Производство и печать этикеток бумажных и синтетических. Термотрансферные и термоэтикетки для маркетплейсов и маркировки Честный знак.,google,['zakaz@термо-этикетка.рф'],['+74955325812'],03-09-2025 19:44:16
1,производим этикетку,https://supershtrih.ru,"... Производство. Флексографическая печать · Производство этикеток · Производство риббонов · FAQ. ООО ""ТК Азтек"". Поиск. Сравнение Избранное. Корзина. Корзина",google,['aztek-info@supershtrih.ru'],"['+74951234501', '+78005002529', '+79801518043']",03-09-2025 19:44:16
1,производим этикетку,https://markirovka37.ru,"Производим этикетки для постельных принадлежностей: одеял, подушек, пледов. Комплексные решения для маркировки. Заказать оптом с доставкой по РФ.",google,['sale@markirovka37.ru'],['+74932244610'],03-09-2025 19:44:16
1,производим этикетку,https://ribbons.ru,"29 янв. 2024 г. ... Этикетки могут быть изготовлены на любой основе (термобумага ЭКО и ТОП, бумага полуглянец, полипропилен), для печати на этикетках предлагаются ...",google,"['marketing@colortek.ru', 'zapros@ribbons.ru']","['+78005559703', '+79999999999']",03-09-2025 19:44:16
1,производим этикетку,https://bestlabel.ru,"Тканевые (тканые) этикетки мы советуем заказать в первую очередь производителям швейной, текстильной и обувной продукции. Для их производства используется ...",google,['info@bestlabel.ru'],"['+74955071038', '+78007759296', '+79251231038', '+79295121038']",03-09-2025 19:44:16
1,производим этикетку,https://atapack.ru,"Компания AtaPack производит этикетки, они подходят для фармацевтической продукции и обеспечивают максимальную защиту от подделок. Заказать в 1 клик. Этикетки ...",google,"['kevinclarkfit@training.com', 'mail@atapack.ru', 'sabuhi.mustafayev@atapack.az']","['+78001234567', '+79299303039']",03-09-2025 19:44:16
1,производим этикетку,https://xn----7sbocomb5ac6abd1d1dq.xn--p1ai,"Важно понимать, что мы не производим виниловые наклейки или таблички; наша ... ценников или бирки для одежды. Каждая деталь соответствует требованиям ...",google,['print@glabel.ru'],"['+74954141390', '+79850382841']",03-09-2025 19:44:16
1,производим этикетку,https://www.flexm.ru,"Заказ этикеток, самоклеящихся наклеек Вы можете осуществить, оформив заявку на расчет, позвонив по телефону +7 (495) 928-69-92, или приехав в офис типографии.",google,['mail@flexm.ru'],['+74959286992'],03-09-2025 19:44:16
1,производим этикетку,https://xn----otbgjjfhdj.xn--p1ai,ООО “Стик-Пром”. Этикетки и бирки. Собственное производство в Москве. Доставка по РФ · Любые самоклеящиеся этикетки для вашего бизнеса. Ваш бренд будут узнавать ...,google,"['zakaz@stick-prom.ru', 'zapros@stick-prom.ru']","['+74993220939', '+79013832439']",03-09-2025 19:44:16
1,производим этикетку,https://labelgroup.ru,"Самоклеящаяся этикетка – это самый доступный для потребителя носитель как постоянной (название, производитель), так и переменной (штриховой код, ...",google,['info@labelgroup.ru'],['+78007074069'],03-09-2025 19:44:16
1,производим этикетку,https://www.twinmaster.ru,"Типография ""ТМграфика"" предлагает производство самоклеящихся этикеток и наклеек, печать и изготовление на заказ в Москве. Наши услуги отличаются ...",google,['zakaz@twinmaster.ru'],"['+74952296205', '+79262741222']",03-09-2025 19:44:16
1,производим этикетку,https://www.markirovka37.ru,"Производство этикеток, бирок, ярлыков, лейблов для одежды и текстиля на заказ по ГОСТу. Нашивные, вшивные, навесные, самоклеющиеся ярлыки. Заказывайте.",google,['sale@markirovka37.ru'],['+74932244610'],03-09-2025 19:44:16
1,производим этикетку,https://maxicode.ru,"Этикетки для термотрансферных принтеров TSC, GODEX, CST, ZEBRA, DATAMAX, PROTON и др. ; Синтетические. полипропилен, полиэтилен, полипропилен усиленный клей, PET ...",google,['mail@maxicode.ru'],['+74959883191'],03-09-2025 19:44:16
1,производим этикетку,https://pkprintprof.ru,"Предприятие предлагает полный комплекс услуг, начиная от разработки дизайна, выбора размера, подходящего материала, заканчивая доставкой готовых этикеток в ...",google,['info@pkprintprof.ru'],"['+73432875270', '+74012719501', '+74959849147', '+78126775573']",03-09-2025 19:44:16
1,производим этикетку,https://azimutprint.ru,... ПРОИЗВОДИМ ЭТИКЕТКИ И УПАКОВКУ РАЗРАБАТЫВАЕМ ДИЗАЙН ПОД КЛЮЧ СОЗДАЕМ НОВЫЕ ... ЕЩё. ЯРЛЫКИ. БИРКИ. ПЕЧАТЬ НА ТУБНОМ ЛАМИНАТЕ ТЕРМОТРАНСФЕРНЫЕ ПРИНТЕРЫ.,google,"['info@azimutprint.ru', 'oksana.bulygina@azimutprint.ru']","['+74852280000', '+77606025373', '+79301122222']",03-09-2025 19:44:16
