user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,этикетка купить в москве,https://supershtrih.ru,"Самоклеящиеся этикетки на заказ для принтера в Москве оптом и в розницу по выгодной цене предлагает наш интернет-магазин! Высокое качество наклеек в рулоне, ...",google,['aztek-info@supershtrih.ru'],"['+74951234501', '+78005002529', '+79801518043']",03-09-2025 19:54:58
1,этикетка купить в москве,https://krasniykarandash.ru,"Наклейки, стикеры и стикерпаки - купить в арт-маркете Красный Карандаш по доступной цене с доставкой по России. Скидки и бонусы постоянным покупателям и ...",google,"['hr@krasniykarandash.ru', 'shop@krasniykarandash.ru', 'vopros@krasniykarandash.ru']",['+78003013080'],03-09-2025 19:54:58
1,этикетка купить в москве,https://shop.f-trade.ru,В нашем каталоге представлены рулоны полуглянцевых самоклеящихся термотрансферных этикеток разного размера – от 30 х 20 мм до 100 х 72 мм. В описании каждой ...,google,['market@shopft.ru'],['+78005050291'],03-09-2025 19:54:58
1,этикетка купить в москве,https://scanberry.ru,Промышленные принтеры Zebra ZT400 · Принтеры этикеток АТОЛ - рейтинг 2020 г. Принтеры SATO – лидеры в области этикетирования · Принтеры этикеток Cab – немецкое ...,google,"['manager@highsystem.ru', 'manager@scanberry.ru']","['+74992882709', '+78006002376', '+79252177381', '+79724046790']",03-09-2025 19:54:58
1,этикетка купить в москве,https://www.sazi-group.ru,Герметик Сазиласт 25 (серая этикетка). СТО 038-37547621-2016 1 2П М ГОСТ Р 59522-2021. В наличии. Возможна доставка. Цена по запросу. Точки ...,google,['sazi@sazi-group.ru'],['+74952218760'],03-09-2025 19:54:58
1,этикетка купить в москве,https://www.gala-poly.ru,"У нас вы можете приобрести качественные печатные лейблы на одежду. Для изготовления продукции вам необходимо будет выбрать цвет, дизайн шрифта, а также материал ...",google,['info@gala-poly.ru'],"['+74957770198', '+78005511970']",03-09-2025 19:54:58
1,этикетка купить в москве,https://stickeronline.ru,"В нашем каталоге представлены универсальные самоклеящиеся этикетки для офиса, школы и торгового бизнеса. Это идеальный выбор для маркировки папок, файлов, ...",google,['info@stickeronline.ru'],"['+74951353674', '+74958773354']",03-09-2025 19:54:58
1,этикетка купить в москве,https://mertech.ru,"Купить термопринтеры и термотрансферные принтеры для печати этикеток в интернет-магазине по цене от 560 ₽. Быстрая доставка по Москве, Московской области и ...",google,['store@mertech.ru'],"['+74951462525', '+78003330014']",03-09-2025 19:54:58
1,этикетка купить в москве,https://pos-center.ru,PC-80USE – принтер этикеток с высокой скоростью печати (150 мм/с) и оптимальным разрешением 203dpi от производителя POScenter. Диапазон ленты от 24 до 82 ...,google,"['info@poscenter.ru', 'support@poscenter.ru']","['+74955131129', '+74955189441']",03-09-2025 19:54:58
1,этикетка купить в москве,https://smartcode.ru,"Термопринтеры этикеток с удобным самовывозом и доставкой по Москве. Широкий ассортимент товаров, популярные модели, отзывы.",google,['info@smartcode.ru'],"['+74952347824', '+78007007824']",03-09-2025 19:54:58
1,этикетка купить в москве,https://kolba.ru,"На нашем сайте вы найдете этикетки для самогона, вина и пива. На каждой можно указать дату изготовления напитка, автора, название, объем, крепость и др. Такое ...",google,['info@kolba.ru'],"['+78002228011', '+79804285151', '+79891087155', '+79999999999']",03-09-2025 19:54:58
1,этикетка купить в москве,https://solvipak.ru,"Производство самоклеящихся этикеток в Москве на все виды продукции. Печать этикеток по выгодным ценам под заказ, купить можно любыми тиражами.",google,['sales@solvipak.ru'],"['+74955405304', '+77717107790']",03-09-2025 19:54:58
1,этикетка купить в москве,https://www.flex-print.ru,"CАМОКЛЕЯЩИЕСЯ ЭТИКЕТКИ, НАКЛЕЙКИ, ТЕРМОЭТИКЕТКИ, ТЕРМОЧЕКИ. Моспром Честный ...",google,['info@flex-print.ru'],['+74957814806'],03-09-2025 19:54:58
1,этикетка купить в москве,https://digital-printing.ru,"Заказать изготовление наклеек и стикеров в Москве, срочная печать наклеек на ... Этикетки для бутылок. Фотопечать/ Фотокниги. Большие форматы (А3, А2 и т ...",google,"['mail2@digital-printing.ru', 'mail@digital-printing.ru']","['+74952217843', '+74956096596', '+79999999999']",03-09-2025 19:54:58
1,этикетка купить в москве,https://xn----7sbocomb5ac6abd1d1dq.xn--p1ai,"Мы можем подобрать клей, который позволит стикерам не оторваться при перемещении, но будет легко удаляться потребителем после покупки. Наши технологи учитывают ...",google,['print@glabel.ru'],"['+74954141390', '+79850382841']",03-09-2025 19:54:58
1,этикетка купить в москве,https://scanport.ru,"Купить недорого Модуль Маркировка для DataMobile в Москве по низкой цене с доставкой по России. Полное описание, характеристики, фото.",google,['507@scanport.ru'],['+74959801069'],03-09-2025 19:54:58
