user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,этикетки от производителя,https://etiketki.by,Собственное производство самоклеящихся этикеток. Продажа оборудования для печати и считывания штрих-кодов. Самые низкие цены в Минске у компании Мир ...,google,['mir@etiketki.by'],"['+375173755501', '+375173889484', '+375233259396', '+375291014477', '+375293755501', '+375293755502', '+375294911911']",30-08-2025 17:06:23
1,этикетки от производителя,https://labelbel.by,Заказывайте Самоклеющаяся этикетка и этикетка с препринтом (Производство РБ) у надежного поставщика товаров и оборудования для термопечати.,google,['labelbelbb@mail.ru'],"['+375172820311', '+375173889484', '+375293117776', '+375293807776', '+375294911911']",30-08-2025 17:06:23
1,этикетки от производителя,https://www.uniflex.by,Изменения в экономике и информационных технологиях заставляют компании концентрироваться на потребителе – сегодня в условиях серьезной конкуренции выиграет ...,google,['info@uniflex.by'],['+375175003900'],30-08-2025 17:06:23
1,этикетки от производителя,https://fidea.by,О компании · Продукция · Самоклеящиеся этикетки в рулонах · Самоклеящиеся этикетки производства ООО «Фидэя» · Самоклеящиеся этикетки — термоэтикетки ...,google,"['fidea.marketing@gmail.com', 'mail@airis.spb.ru']","['+375172456611', '+375172456988', '+375172995960', '+375296842312', '+78123359535']",30-08-2025 17:06:23
1,этикетки от производителя,https://nakleiki.by,"Печать наклеек, стикеров, самоклеящиеся этикетки любой сложности | Производство этикетки | Флексопечать и рулонная упаковка в Минске, Москве, ...",google,['info@nakleiki.by'],['+375447990980'],30-08-2025 17:06:23
1,этикетки от производителя,https://garantiachistoty.by,"от 24,38 руб. Купить. Этикетки самоклеящиеся Выбор есть 210х297мм, белая 1шт/л А4 белая 100л/уп, · Этикетки самоклеящиеся Выбор есть 210х297мм ...",google,['garantochist@gmail.com'],"['+375173889484', '+375175031030', '+375175031033', '+375291495959', '+375294911911', '+375447429883', '+375447907663']",30-08-2025 17:06:23
1,этикетки от производителя,https://belkassa.by,Звоните и заказывайте в компании Belkassa расходные материалы для печати этикеток и другую продукцию. ... Могу ли я использовать этикетки для принтера этикеток ...,google,['belkassa@tut.by'],"['+375173956555', '+375212616555', '+375293536555', '+375296376555', '+375297156555', '+375333435355']",30-08-2025 17:06:23
1,этикетки от производителя,https://artery.by,"Этикетки самоклеящиеся А4, 70*37 (24 фрагм), 100л. OfficeSpace, РФ, белые, 70г/м2. Код товара: 030721. Артикул: 16209. Производитель. OfficeSpace.",google,['office@artery.by'],"['+375152603317', '+375293663317', '+375333663317']",30-08-2025 17:06:23
1,этикетки от производителя,https://artdruk.by,"Купить Этикетки самоклеящиеся в Минске - цены, товары и услуги компании ""Арт-Друк"": +375 (44) 726-26-25.",google,['asdruk.by@gmail.com'],"['+375173889484', '+375294911911', '+375297537112', '+375447262625']",30-08-2025 17:06:23
1,этикетки от производителя,https://upakovki.by,"Самоклеящиеся этикетки используют производители, компании, поставщики, маркетплейсы для описания товаров. Стикеры с клеевой основой наносят на продукцию ...",google,['lebras@tut.by'],"['+375296426963', '+375296977375']",30-08-2025 17:06:23
1,этикетки от производителя,https://belsticker.by,"Производство этикеток, стикеров, товарных ярлыков производится только из качественных, безопасных и сертифицированных материалов. Наша продукция легко клеится и ...",google,['info@belsticker.by'],"['+375296389616', '+375296952954', '+375445420485']",30-08-2025 17:06:23
1,этикетки от производителя,https://comint.by,Печать самоклеящихся этикеток в рулонах любой формы и размера на заказ ✓Самоклеящиеся жёлтые этикетки производство ✓Разработка макета ☎+375(29)392-90-04.,google,['zakaz@comint.by'],"['+375173740024', '+375173740026', '+375293929004', '+375297007767']",30-08-2025 17:06:23
