user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,арматура купить ,https://bobrujsk-praktik.by,"Купить арматуру от Практик Бобруйск с доставкой в Гомель, Могилев и другие регионы Беларуси. Широкий выбор стеклопластиковой арматуры для армирования ...",google,['info@bobrujsk-praktik.by'],"['+375225708808', '+375225708908', '+375225726256', '+375291053338', '+375333778809', '+375445778808']",30-08-2025 14:23:24
1,арматура купить ,https://igolenka.by,"Арматура купить в интернет-магазине Иголенька в Лиде по лучшей цене. Широкий ассортимент, рассрочка, скидки. Самовывоз, доставка по всей Беларуси.",google,['info@igolenka.by'],"['+24742475', '+375154534017', '+375154644631', '+375154646008', '+375163646000', '+375291144084', '+375291728949', '+375291887241', '+375295189190', '+375336862436', '+375336973330', '+375445220485', '+375445221159', '+375445458059']",30-08-2025 14:23:24
1,арматура купить ,https://aksvil.by,"Купить арматуру А3 Ø 18 мм стальную рифленую строительную в Минске оптом и в розницу, за наличный и безналичный расчет, по низкой цене с нарезкой и ...",google,['sale@aksvil.by'],"['+375172700030', '+375173892646', '+375232792012', '+375291119118', '+375296377077', '+375447515951']",30-08-2025 14:23:24
1,арматура купить ,https://dovatrade.by,Компания Доватрейд занимается продажей стальной арматуры диаметром 10 мм оптом и в розницу ⏩ Купить арматуру 10мм в Гродно с доставкой по доступной цене за ...,google,"['dovatrade@mail.ru', 'dovatradelida@mail.ru']","['+375152670706', '+375152670709', '+375293115775', '+375295225588', '+375297199500', '+375445225588']",30-08-2025 14:23:24
1,арматура купить ,https://www.postroyka.by,Купить арматуру в Минске оптом и в розницу. ✔️Доставка день в день. ✴️ 6 складов-магазинов в Минске. ✔️Всегда в наличии. ✔️Скидочные карты.,google,['mail@postroyka.by'],"['+375172151465', '+375172151740', '+375172152626', '+375173600118', '+375296115959', '+375296285959', '+375296585959', '+375296595959', '+375296795959', '+375296835959', '+375336115959', '+375336285959', '+375336585959', '+375336595959', '+375336795959', '+375336835959']",30-08-2025 14:23:24
1,арматура купить ,https://belmetvitebsk.by,"Купить арматуру А3 Ø 6 мм стальную рифленую строительную в Витебске оптом и в розницу, за наличный и безналичный расчет, по низкой цене с нарезкой и ...",google,"['belmetvitebsk@gmail.com', 'belmetvitebsk@mail.com', 'belmetvitebsk@mail.ru', 'bmvglubokoe@mail.ru', 'bmvnovopolotsk@mail.ru', 'bmvorsha@mail.ru']","['+375212639966', '+375212659900', '+375214509950', '+375215629999', '+375216500099', '+375257709900', '+375257709966', '+375291690099', '+375292529900', '+375292709966', '+375293180099', '+375295320099', '+375298320099', '+375333190099', '+375336900099']",30-08-2025 14:23:24
1,арматура купить ,https://armatura-tut.by,Продажа металлопроката в Минске в розницу и оптом от компании Арматура Тут. ✓ Доступные цены. ✓ Консультация специалистов. ✓ Доставка. Звоните: +375 (29) ...,google,['info@armatura-tut.by'],"['+375296513000', '+375297774788']",30-08-2025 14:23:24
1,арматура купить ,https://bild-shop.by,"Арматура ... Арматура круглая 6 мм., 3 м. Арматура круглая 6 мм., 3 м. 2,29 руб. В корзину. Арматура рифленая А-500с d6 мм., 3 м. Арматура рифленая А-500с d6 мм., ...",google,"['info@bild-shop.by', 'offers@bild-shop.by']","['+375174237320', '+375174241515', '+375255456969', '+375291041740', '+375291132040', '+375291140061', '+375291190196', '+375291518500', '+375291608482', '+375291961986', '+375293796162', '+375295996969', '+375296788684', '+375445102902', '+375445221315', '+375445254414', '+375445356336', '+375445996969', '+375447121412', '+375447655536']",30-08-2025 14:23:24
1,арматура купить ,https://mpstr.by,"Бухты 50 м. 0.73 BYN, Заказать · Арматура композитная АКС 8 мм, Бухты 50 м. 1.09 BYN, Заказать · Арматура композитная АКС 10 мм, Бухты 50 м. 1.63 BYN ...",google,"['%20mps_tr@mail.ru', 'mps_tr@mail.ru']","['+375296271338', '+375297909494', '+375445514255', '+375445555924']",30-08-2025 14:23:24
1,арматура купить ,https://tiz.by,Купите композитную арматуру от производителя в Минске по доступным ценам за метр. Арматура из стекловолокна и пластиковая арматура.,google,['info@tiz.by'],"['+375173365514', '+375173365515', '+375296230855', '+375296737662', '+375447693485']",30-08-2025 14:23:24
