user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,картон купить оптом в Москве,https://russcarton.ru,В магазине RussCarton можно дешево приобрести в розницу или взять оптом листовой картон любых размеров и характеристик по низкой цене. Представлен большой выбор ...,google,['zakaz@russcarton.ru'],"['+74952589925', '+74957969441', '+78003011177']",29-08-2025 21:51:57
1,картон купить оптом в Москве,https://petrobumaga.ru,Купите картон в ролях или листах оптом напрямую от крупнейшего поставщика | Большой ассортимент | 11 филиалов в России.,google,['info@petrobumaga-msk.ru'],"['+74957772373', '+74957772375']",29-08-2025 21:51:57
1,картон купить оптом в Москве,https://masterskie-pinchuka.ru,"Заказать картон, кожкартон, гранитоль по оптовой цене от производителя. В Мастерских Пинчука вы найдёте широкий ассортимент картона и гранитоля, ...",google,['info@mpkey.ru'],"['+74953746060', '+78006006432', '+78007072189']",29-08-2025 21:51:57
1,картон купить оптом в Москве,https://upakovka.fabrikapereezda.ru,"Фабрика Переезда предлагает купить листовой картон оптом и в розницу в Москве. Мы производитель, поэтому делаем самые низкие цены и бесплатную доставку.",google,['tk@fabrikapereezda.ru'],['+74955405962'],29-08-2025 21:51:57
1,картон купить оптом в Москве,https://shop.cargo-avto.ru,"Продажа картонной упаковки: коробки из картона Т21-24, П32, микрогофрокартона любых размеров, гофротара, гофроящики, гофрокороба. Большой выбор, низкие цены ...",google,['shop@cargo-avto.ru'],"['+74955043789', '+78007771693']",29-08-2025 21:51:57
1,картон купить оптом в Москве,https://pack24.ru,Картонные коробки купить в интернет-гипермаркете упаковочных материалов Pack24. Картонная коробка это универсальное средство упаковки любых вещей.,google,['sales@pack24.ru'],"['+74959684157', '+78007005683']",29-08-2025 21:51:57
1,картон купить оптом в Москве,https://www.u-pack.ru,Упаковочный гофрокартон в листах оптом от производителя можно купить в компании «ГофроАльянс». Производство и продажа гофрированного картона на заказ.,google,['info@u-pack.ru'],['+74956516250'],29-08-2025 21:51:57
1,картон купить оптом в Москве,https://www.proletarii.ru,"Картон для гильз (гильзовый картон) оптом · по тел.+7(495) 797-87-91 (многоканальный); · через сервисы ""Задать вопрос"" или ""Запрос стоимости"" или ""Обратный ...",google,"['info@proletarii.ru', 'info@russcarton.ru']","['+74952589925', '+74957969441', '+74957978791', '+78003011177', '+79999999999']",29-08-2025 21:51:57
1,картон купить оптом в Москве,https://gofroprodpak.ru,"В каталоге — широкий выбор коробов из 7-слойного гофрокартона исходя из формы и веса груза. Это, в том числе: 4-клапанные короба, крышками ...",google,['gofroprodpak@list.ru'],"['+74957805456', '+79168305515', '+79168308659', '+79999999999']",29-08-2025 21:51:57
1,картон купить оптом в Москве,https://spb.russcarton.ru,Москва · Нижний Новгород · Казань · Личный кабинет · +7 ... Купить в розницу или оптом износостойкий и плотный картон в листах можно в компании RussCarton LLC.,google,['zakaz@russcarton.ru'],"['+74952589925', '+74957969441', '+78003011177', '+78122919999']",29-08-2025 21:51:57
