user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,поддоны от производителя купить,https://albaspa.by,Где купить? Подробные варианты о том где купить продукцию компании ALBA SPA. Подробнее ...,google,['alba-spa@mail.ru'],"['+375293877777', '+375296335005']",04-09-2025 06:30:18
1,поддоны от производителя купить,https://dobor.by,Мы предлагаем своим клиентам оцинкованные поддоны в Минске от производителя. Оцинкованные поддоны изготавливаются из высококачественных материалов.,google,['k15645@mail.ru'],"['+375293842827', '+375333574355']",04-09-2025 06:30:18
1,поддоны от производителя купить,https://realpack.by,Поддоны усиленные - заказать в Минске в компании «Реалпак» ⏩ Официальный представитель производителя в РБ ☎ +375 (29) 611-25-69.,google,"['mail@realpack.by', 'pavel@realpack.by', 'trade@realpack.by']","['+375173562569', '+375173662569', '+375293702569', '+375296112569', '+375297087080']",04-09-2025 06:30:18
1,поддоны от производителя купить,https://peresvet.by,Теги: Поддон для пастилы · Комплект поддонов сетчатых к электросушилке D29 на peresvet.by · Комплект поддонов сетчатых к электросушилке D32 на peresvet.by ...,google,['va@peresvet.by'],"['+375173959955', '+375259959955', '+375293933333', '+375333339955']",04-09-2025 06:30:18
1,поддоны от производителя купить,https://sanit.by,"Честная, демократичная цена делает изделия компании Smavit доступными для самой широкой аудитории. Каждый покупатель, независимо от его достатка, может ...",google,['sanitby@mail.ru'],"['+375172727384', '+375296020110', '+375445350110']",04-09-2025 06:30:18
1,поддоны от производителя купить,https://r-b.by,Купить пластиковые поддоны в Минске с доставкой по всей Беларуси по оптовой цене в интернет-магазине компании МаниПак. ✓Большой ассортимент пластмассовых ...,google,['info@r-b.by'],"['+375173360413', '+375333613903', '+375445171515']",04-09-2025 06:30:18
1,поддоны от производителя купить,https://fly-man.by,"Поддоны душевые стальные эмалированные - товары и услуги компании ""ООО «ФЛАЙ-МЭН»"": +375 (17) 368-83-91 тел. . Лучшие цены на Поддоны душевые стальные ...",google,['info.fly.man@gmail.com'],"['+375173688391', '+375173959740', '+375292399740', '+375296659740']",04-09-2025 06:30:18
1,поддоны от производителя купить,https://bimaplast.by,Поддоны из пластика купить напрямую от производителя БИМАпласт. ⭐ Собственное производство в Беларуси. ⭐ Продажа оптом пластиковых европоддонов и паллет.,google,['info@bimaplast.by'],"['+375172753428', '+375173701702', '+375177478837', '+375296830677', '+375296888838', '+375447548403']",04-09-2025 06:30:18
1,поддоны от производителя купить,https://www.keramzit.by,Керамзит-блоки от завода г. Новолукомль. 【Выгодная цена】за штуку и поддон.【Доставка по РБ.】✓ Полнотелые и блоки для вент-каналов: ☎ +375 (33) 910-05-06.,google,"['info@keramzit.by', 'sbyt@keramzit.by']","['+375213334571', '+375213334608', '+375291234567', '+375297612726', '+375336517658', '+375337612726']",04-09-2025 06:30:18
1,поддоны от производителя купить,https://aist-srub.by,Купить деревянные поддоны 1200 800 на заказ от производителя. ⚡ Изготовление паллет новых деревянных в Минске. ⚡ Высокое качество.,google,['info@aist-srub.by'],"['+375293163230', '+375336323232']",04-09-2025 06:30:18
1,поддоны от производителя купить,https://palletby.by,"Оптовая продажа лома поддонов от производителя. ✓ Наличие на складе, ✓ Конкурентная стоимость. Доставка ✓Лом из поддонов оптом в широком ассортименте ...",google,['zakaz@palletby.by'],"['+375173995574', '+375293077700']",04-09-2025 06:30:18
1,поддоны от производителя купить,https://europoddon.by,Какие паллеты вы можете приобрести у нас · поддоны бывшие в употреблении стоят от 6 рублей; · новые поддоны размером 800*1200 мм – от 7 рублей; · новые поддоны ...,google,['palettyuk@mail.ru'],"['+375165641106', '+375296788786', '+375445003330']",04-09-2025 06:30:18
1,поддоны от производителя купить,https://ste.by,"УП ""Стальная Энергия"" реализует поддоны новые и б/у с доставкой по Беларуси по самым демократичным ценам в стране. Так же специализируемся на экспорте ...",google,['info@ste.by'],"['+375172437777', '+375291592222', '+375293021546', '+375293021562']",04-09-2025 06:30:18
1,поддоны от производителя купить,https://ceglar.by,"Размер:510Х100Х219 (коэфф 5.728) 1 поддон=72/80 шт.нат (0,412/0,458 усл.тыс.шт) Масса поддона с кирпичом: 899/995 кг. Размер поддона-1030х1030мм",google,"['info@ceglar.by', 'sbut@ceglar.by']","['+375176741430', '+375256898080', '+375296898080', '+375336898080']",04-09-2025 06:30:18
