user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,упаковка для камамбер купить,https://yarus-market.ru,"Чтобы купить коробки для упаковки сыра бри, камамбер и других сортов оптом, сообщите менеджеру вид, размеры и количество товара. Ваше Ф.И.О *. Ваш E-mail ...",google,['msk@yarus-market.ru'],"['+74952492406', '+79151627440']",30-08-2025 10:29:37
1,упаковка для камамбер купить,https://edlw.ru,"Упаковка с удалением воздуха для предотвращения окисления. Продлевает срок хранения, сохраняет свежесть. Для всех типов сыра, включая моцареллу и камамбер.",google,['info@edlw.ru'],"['+375299999999', '+74955035288', '+78127403065']",30-08-2025 10:29:37
1,упаковка для камамбер купить,https://www.calculate.ru,"Закажите изготовление бумажной упаковки для сыра в Москве и Санкт-Петербурге, цена на коробки для сыра оптом от производителя картонной упаковки ...",google,['support@calculate.ru'],"['+74956209708', '+78005557000', '+78126330110']",30-08-2025 10:29:37
1,упаковка для камамбер купить,https://upakovkatorg.ru,"Предлагаем оптовые поставки специальной однослойной силиконезированной бумаги для сыра Камамбер, для выдержки и хранения сыров, подходит для сырных головок ...",google,['info@upakovkatorg.ru'],"['+73012379812', '+73022217827', '+73412271648', '+73422584460', '+73432279686', '+73452568574', '+73472249701', '+73512143690', '+73532387642', '+73812790472', '+73822609067', '+73833499281', '+73842780691', '+73843328882', '+73852556489', '+73912347044', '+73952436271', '+74112318812', '+74212358783', '+74232390689', '+74712349419', '+74722232685', '+74732602067', '+74742286796', '+74822452437', '+74832729897', '+74852208478', '+74872338249', '+74912202133', '+74956692241', '+74986815813', '+74986815850', '+74986815960', '+74986829150', '+77172696791', '+78126789764', '+78314351809', '+78332255609', '+78412458107', '+78422214188', '+78435280767', '+78442968845', '+78452694237', '+78462500329', '+78482379388', '+78512442899', '+78552253087', '+78619914716', '+78624440425', '+78632850835', '+78652257713', '+79787094775', '+79999999999']",30-08-2025 10:29:37
1,упаковка для камамбер купить,https://cheasy.ru,"Специальная двухслойная бумага для хранения и дозревания сыров с белой плесенью (Бри, Камамбер, Реблошон, Сен-Мор, Валансе) 20 листов, 21х21 см Специальная ...",google,['info@cheasy.ru'],['+74951087955'],30-08-2025 10:29:37
1,упаковка для камамбер купить,https://pro-syr.ru,125 руб. · Материал. Коробочка производится вручную из аккуратно снятого шпона натурального дерева – ольхи или дуба (нужный цвет вы можете выбрать около кнопки ...,google,['info@pro-syr.ru'],"['+78003029350', '+79109700500']",30-08-2025 10:29:37
1,упаковка для камамбер купить,https://syromaniya.ru,"Смесь закваски и плесени для камамбера CAMEMBERTI 3U - купить по низкой цене ... Penicillium Candidum. Дозировка: 1U / 100-170 л молока. Размер упаковки: 3U, ...",google,['info@syromaniya.ru'],['+78005503323'],30-08-2025 10:29:37
1,упаковка для камамбер купить,https://gurman-llc.ru,"Купить Сыр Камамбер ТМ ""Great Kitchen"" (125 гр) по цене 165 ₽ с доставкой по ... В упаковке: 8 шт за 1 уп. 1 320 ₽. шт. В корзину. Купить в 1 клик. Нет в ...",google,['office@gurman-llc.ru'],"['+74951330060', '+74956402494', '+77133252442', '+79666529524']",30-08-2025 10:29:37
1,упаковка для камамбер купить,https://enterflex.ru,Бумага для сыра камамбер двухслойная перфорированная - купить с доставкой по РФ для упаковки и вызревания мягких сыров с белой плесенью.,google,['enterflex@mail.ru'],"['+74967637240', '+79776043598', '+79777213706', '+79779500509']",30-08-2025 10:29:37
1,упаковка для камамбер купить,https://artdugout.ru,Запеченный камамбер ... цена за 1 шт. 2 050 ₽. В корзину. 1 шт. 2 050 ₽ · Масло оливковое Extra Virgin ...,google,"['info@artdugout.ru', 'l.kors@artdugout.ru']","['+78129336500', '+78207382732', '+79213881004', '+79219336500', '+79310003272']",30-08-2025 10:29:37
