user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,этикетка оптом купить,https://upakovkatorg.ru,Изготовление и продажа этикеток для товаров. Печатаем дизайн на этикетках. Собственное производство этикеток. Доставка в Москве и по России.,google,['info@upakovkatorg.ru'],"['+73012379812', '+73022217827', '+73412271648', '+73422584460', '+73432279686', '+73452568574', '+73472249701', '+73512143690', '+73532387642', '+73812790472', '+73822609067', '+73833499281', '+73842780691', '+73843328882', '+73852556489', '+73912347044', '+73952436271', '+74112318812', '+74212358783', '+74232390689', '+74712349419', '+74722232685', '+74732602067', '+74742286796', '+74822452437', '+74832729897', '+74852208478', '+74872338249', '+74912202133', '+74956692241', '+74986815813', '+74986815850', '+74986815960', '+74986829150', '+77172696791', '+78126789764', '+78314351809', '+78332255609', '+78412458107', '+78422214188', '+78435280767', '+78442968845', '+78452694237', '+78462500329', '+78482379388', '+78512442899', '+78552253087', '+78619914716', '+78624440425', '+78632850835', '+78652257713', '+79787094775', '+79999999999']",03-09-2025 19:43:43
1,этикетка оптом купить,https://galileonovaroll.ru,"Этикетка для газированной воды от производителя GALILEO NOVAROLL. Изготавливаем металлизированные этикетки для газированной воды, используем POS-материалы ...",google,['info@galileonovaroll.ru'],['+74957835207'],03-09-2025 19:43:43
1,этикетка оптом купить,https://ribbons.ru,Производим термотрансферные этикетки - бумажные (полуглянец) и полипропиленовые - в рулонах стандартных размеров и по индивидуальным требованиям заказчиков.,google,"['marketing@colortek.ru', 'zapros@ribbons.ru']","['+78005559703', '+79999999999']",03-09-2025 19:43:43
1,этикетка оптом купить,https://optpart.ru,Компания OptPart предлагает купить самоклеящиеся этикетки для принтера по ценам производителя. Оперативная доставка этикеток для термопринтера по Москве и ...,google,['zakaz@optpart.ru'],"['+74996730239', '+78003021884', '+79778902010']",03-09-2025 19:43:43
1,этикетка оптом купить,https://xn----8sbnbomblssufd3m.xn--p1ai,"Компания «Лейбл АйДи» реализует навесные бирки готовые и на заказ по выгодным ценам от производителя! Бирки — это небольшие ярлыки с напечатанной информацией, ...",google,['zakaz@термо-этикетка.рф'],['+74955325812'],03-09-2025 19:43:43
1,этикетка оптом купить,https://interid.ru,"Самоклеящиеся этикетки от производителя в рулонах купить оптом. Более 160 моделей по цене от 56 рублей, в наличии и под заказ.",google,['info@interid.ru'],"['+74956737023', '+74992262306', '+78001002120', '+79260957464']",03-09-2025 19:43:43
1,этикетка оптом купить,https://stickeronline.ru,"Наша компания специализируется на оптовой продаже наклеек с лазерной ламинацией. Мы предлагаем различные размеры, включая прямоугольные формы, такие как A3, A4, ...",google,['info@stickeronline.ru'],"['+74951353674', '+74958773354']",03-09-2025 19:43:43
1,этикетка оптом купить,https://www.gala-poly.ru,"ГалаПолиграф - Самоклеющиеся этикетки ОПТОМ! РАССЧИТАТЬ ONLINE! Звоните по телефонам в Москве: + 7 (495) 777 01 98, 8 (800) 551 19 70!",google,['info@gala-poly.ru'],"['+74957770198', '+78005511970']",03-09-2025 19:43:43
1,этикетка оптом купить,https://xn--l1adceb.xn--p1ai,Круглые самоклеящиеся этикетки от компании «ПроРМ» ⚡ Выгодная цена Доставка по Москве и в регионы. Наш номер телефона ☎ 8 (495) 789-11-80.,google,['prormmail@list.ru'],['+79999999999'],03-09-2025 19:43:43
1,этикетка оптом купить,https://europapier.ru,В наличии бумага Самоклеящиеся этикетки SMARTLINE. Купить оптом с доставкой. В Европапир можно заказать образец Самоклеящиеся этикетки SMARTLINE.,google,['rating@mail.ru'],['+74957870150'],03-09-2025 19:43:43
