user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,этикетки купить,https://labelbel.by,"Кроме того, сегодня также можно купить этикет-ленты в Минске, которые имеют стираемый слой, либо защиту от фальсификации. Показать всё. Этикет-ленты.",google,['labelbelbb@mail.ru'],"['+375172820311', '+375173889484', '+375293117776', '+375293807776', '+375294911911']",30-08-2025 17:06:20
1,этикетки купить,https://www.pos.by,"У нас всегда в наличии этикетки самых разных размеров. Самоклеящиеся этикетки подходят для оборудования брендов: TSC, Gainscha, DBS, HPRT, GPrinter, Honeywell, ...",google,['info@pos.by'],"['+375172570303', '+375172579199', '+375173881616', '+375296013020', '+375298350295']",30-08-2025 17:06:20
1,этикетки купить,https://shop-belblank.by,"В каталоге широкий выбор самоклеящейся бумаги, этикеток и ценников. ✓ для принтеров и копировальных аппаратов ✓ для этикет-пистолетов ✓ для маркировки ...",google,['buy@belblanc.by'],"['+375172151465', '+375173006722', '+375445550568']",30-08-2025 17:06:20
1,этикетки купить,https://unimark.by,Заказывайте этикетки для печати по выгодной цене в Минске✓ Все необходимое есть в компании Unimark ✓ Широкий выбор ✓ Гарантия качества ✓ Бесплатная ...,google,['info@unimark.by'],"['+375172504545', '+375295583030', '+375445583030']",30-08-2025 17:06:20
1,этикетки купить,https://yudway.by,Самоклеящаяся этикетка с доставкой по Минску и всей Беларуси. ➤➤от компании Юдвэй. Разработка и внедрение систем полной автоматизации ...,google,"['//office@yudway.by', 'office@yudway.by']","['+375173360464', '+375173360465', '+375296666489', '+375336666492', '+375336666497']",30-08-2025 17:06:20
1,этикетки купить,https://xn--b1aaeeabb0hpc6ae.xn--90ais,Весы с печатью этикеток. Многое в наличии. Удобный сайт ▶︎ Скидки юридическим лицам до 20%. Отгружаем в день заказа. Доставка по всей Беларуси. Эксперты в ...,google,['sales@1vesovoy.by'],"['+375173880717', '+74997556597']",30-08-2025 17:06:20
1,этикетки купить,https://etiketki.by,Собственное производство самоклеящихся этикеток. Продажа оборудования для печати и считывания штрих-кодов. Самые низкие цены в Минске у компании Мир ...,google,['mir@etiketki.by'],"['+375173755501', '+375173889484', '+375291014477', '+375293755501', '+375293755502', '+375294911911']",30-08-2025 17:06:20
1,этикетки купить,https://amway-shop.by,"Товары для дома Amway: дозаторы, емкости и этикетки, в интернет-магазине Amway-Shop.by в Беларуси. ✓ Большой ассортимент товаров по низкой цене с ...",google,['info@amway-shop.by'],['+375293371121'],30-08-2025 17:06:20
1,этикетки купить,https://www.officeton.by,"Купить Термоэтикетки оптом в интернет-магазине Офистон. Оплата по безналичному расчёту с доставкой по Минску и Минской области — Солигорск, Жодино, Борисов, ...",google,['info@officeton.by'],"['+375173885959', '+375333182182', '+375445182182']",30-08-2025 17:06:20
1,этикетки купить,https://antarion.by,"Этикетки для крышки ведра (набор из 6 цветов) ... Цена за шт. 9.83 руб. шт. В корзинуВ корзине. Характеристики. ID, 91000167. Артикул, ETI RESINA6. Количество ...",google,['blum@antarion.by'],"['+375173200100', '+375293940100', '+375333640100']",30-08-2025 17:06:20
