user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,поддоны купить,149,https://poddon.by,"Используя бывшие в употреблении поддоны, Вы экономите до 40% по сравнению с покупкой новых паллетов, и, таким образом, уменьшаете накладные расходы своей компании.",yandex,['info@poddon.by'],"['+375173160040', '+375173160041', '+375293530033', '+375296363302', '+375296516363']",24-09-2025 23:55:30
3,поддоны купить,149,https://europoddon.by,"Продажа деревянных поддонов в Беларуси. Предприятие «ПалеттЮлаКом» находится в Беларуси и продает новые поддоны собственного производства, а также б/у паллеты, как оптом, так и в розницу по выгодной цене. Доступен безналичный и наличный расчет. В зависимости от объема, наши сотрудники подберут для вас наилучшее ценовое предложение. Для постоянных клиентов есть возможность купить продукцию с отсрочкой платежа.",yandex,['palettyuk@mail.ru'],"['+375296788786', '+375445003330']",24-09-2025 23:55:30
3,поддоны купить,149,https://pallet.by,"Кроме деревянных паллетов, базовый ассортимент включает пластиковые и металлические, а также наша компания занимается продажей поддонов/европоддонов.",yandex,['info@pallet.by'],"['+375293124555', '+375296877317']",24-09-2025 23:55:30
3,поддоны купить,149,https://palletgrad.by,"Покупаем поддоны по высоким ценам. Мы не хотим вас обмануть, платим честно за изделия, в зависимости от их состояния.",yandex,['pallet_grad@mail.ru'],"['+375293776667', '+375296467218', '+375296567738', '+375445655214']",24-09-2025 23:55:30
3,поддоны купить,149,https://palletby.by,"Мы занимаемся производством высококачественных деревянных поддонов и предлагаем купить паллеты по наиболее выгодным ценам!Мы находимся рядом с МКАД, неподалеку от удобного выезда на трассу М6, по адресу Минск, пр-т Партизанский 168, корпус 2. Наша компания занимает площадь более 3000 м2, что дает нам возможность хранить поддоны как в крытом складе, так и на открытой площадке.",yandex,['zakaz@palletby.by'],"['+375173995574', '+375293033326', '+375293077700']",24-09-2025 23:55:30
3,поддоны купить,149,https://paltorg.by,В чем плюсы продажи деревянных паллеты и поддонов,yandex,['3999393@gmail.com'],['+375293999393'],24-09-2025 23:55:30
3,поддоны купить,149,https://abraziv.by,"Приобрести б.у. поддоны 1200x800 мм, которые были использованы единожды, можно на нашем сайте.",yandex,"['alevtina@abraziv.by', 'anohin@abraziv.by', 'auto@abraziv.by', 'borelo@abraziv.by', 'buh@abraziv.by', 'color@abraziv.by', 'colorls@abraziv.by', 'hr@abraziv.by', 'liv@abraziv.by', 'logist@abraziv.by', 'lolita@abraziv.by', 'maksura@abraziv.by', 'mironchik@abraziv.by', 'pa@abraziv.by', 'parmon@abraziv.by', 'plutinskaya@abraziv.by', 'pravo@abraziv.by', 'retail1@abraziv.by', 'retail@abraziv.by', 'rubanenko@abraziv.by', 'selivonuk@abraziv.by', 'site@abraziv.by', 'sk@abraziv.by', 'sklad@abraziv.by', 'sn@abraziv.by', 'sobol@abraziv.by', 'zakaz@abraziv.by', 'zakupka1@abraziv.by', 'zakupka2@abraziv.by', 'zakupka@abraziv.by']","['+375172413333', '+375172716666', '+375172726666', '+375173384444', '+375173386666', '+375291091285', '+375291122013', '+375291122031', '+375291123013', '+375291202013', '+375291221311', '+375291492002', '+375291985408', '+375293572002', '+375293853365', '+375296222932', '+375296323625', '+375296362336', '+375296852165', '+375296853313', '+375296886550', '+375441122013', '+375445112191', '+375447183984', '+375447412799']",24-09-2025 23:55:30
3,поддоны купить,149,https://aist-srub.by,"Компания «Аист-сруб» предлагает купить деревянные поддоны и паллеты любых размеров и видов. Данные изделия будут актуальны для разных отраслей: сельское хозяйство, пищевая промышленность, производство, логистика.",yandex,['info@aist-srub.by'],['+375293163230'],24-09-2025 23:55:30
3,поддоны купить,149,https://bimaplast.by,,yandex,['info@bimaplast.by'],"['+375172753428', '+375173701702', '+375177478837', '+375296830677', '+375296888838', '+375447548403']",24-09-2025 23:55:30
3,поддоны купить,149,https://r-b.by,Купить пластиковые поддоны в Минске по цене производителя – это получить оптимальное сочетание стоимости и надежности.,yandex,['info@r-b.by'],"['+375173360413', '+375293668183', '+375333613903', '+375445035524', '+375445171515']",24-09-2025 23:55:30
3,поддоны купить,149,https://monteinvest.by,Компания «МонтеИнвест» предлагает своим клиентам в Беларуси и Минске деревянные новые и б/у поддоны оптом и в розницу на выгодных условиях.,yandex,['monteinvest@mail.ru'],"['+375173992838', '+375296181093', '+375445181090']",24-09-2025 23:55:30
3,поддоны купить,149,https://neftehim.by,"Ищете, где купить пластиковый поддон с доставкой по Беларуси? Компания «ЭдвансНефтеХим» предлагает прочные и практичные модели на любой случай: от лёгких вкладываемых до усиленных для паллетных стеллажей.",yandex,['neftesorb@xmail.ru'],"['+375173999797', '+375293777736', '+375293999797', '+73810537391', '+73810598180']",24-09-2025 23:55:30
