user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,перчатки -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by,by,https://elema.by,"Эти модели женских перчаток созданы с использованием высококачественных материалов: руки никогда не замерзнут благодаря комфортной теплой подкладке, а любимый ...",google,"['commercial@elema.by', 'elema@elema.by', 'hr@elema.by', 'marketing@elema.by', 'shop@elema.by']","['+375173490215', '+375173490226', '+375173490233', '+375173490234', '+375173490250', '+375173490257', '+375173490258', '+375173490299', '+375293764937', '+78007001671']",30-09-2025 21:52:12
3,перчатки -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by,by,https://specovka.by,"Перчатка может иметь усиленную защиту от кислоты, щелочи, масла и бензина благодаря однослойному или двухслойному нитриловому покрытию. Изделия выпускаются с ...",google,"['brest@specovka.by', 'gomel@specovka.by', 'grodno@specovka.by', 'info@specovka.by', 'mogilev@specovka.by', 'vitebsk@specovka.by']","['+375173204140', '+375291261201', '+375295662436', '+375296323501', '+375296630303', '+375296937001', '+375297859914', '+375447242959', '+375447362959']",30-09-2025 21:52:12
3,перчатки -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by,by,https://mlw.by,Преимущества перчаток Milwaukee: - Высокий уровень защиты: защита от механических повреждений и порезов. - Комфортное использование: мягкие материалы и ...,google,['sales@mlw.by'],"['+375296388519', '+375296388824', '+375297556700']",30-09-2025 21:52:12
3,перчатки -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by,by,https://motoplanet.by,"Rebelhorn - купить Перчатки и заказать можно на сайте motoplanet.by ➜ Звоните ☎ 8(033)3-906-906. Доступная цена, только оригинальные товары, ...",google,['simakinv@tut.by'],"['+375333906906', '+79100848278']",30-09-2025 21:52:12
3,перчатки -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by,by,https://kronex-build.by,"Перчатки с латексным покрытием. Защищают от порезов, проколов и истирания. Подходят для бетонных, монтажных и садовых работ. • Перчатки с нитриловым покрытием.",google,['build@kronex-company.by'],"['+375173628004', '+375296564040']",30-09-2025 21:52:12
3,перчатки -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by,by,https://7745.by,"Рабочие перчатки – средство индивидуальной защиты рук. Защитят от механических повреждений, грязи, воды, агрессивных химикатов, и прочих опасностей.",google,"['beznal@7745.by', 'info@7745.by', 'offer@7745.by', 'reklamacii@7745.by']","['+375172151465', '+375172151740', '+375172152626', '+375175127745', '+375259647745', '+375296607745', '+375296647745', '+375296657745', '+375297647745']",30-09-2025 21:52:12
3,перчатки -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by,by,https://www.sohim.by,Перчатки одноразовые универсальные производятся из натурального латекса или бутадиен-акрилонитрильного полимера (нитрила) неопудренными.,google,['sohim@sohim.by'],"['+375234224926', '+375234248260']",30-09-2025 21:52:12
3,перчатки -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by,by,https://chptup-totalstargrupp.deal.by,ПЕРЧАТКИ И РУКАВИЦЫ · Перчатки х/б 4х нитка 10кл с ПВХ белые/серые · Перчатки х/б 4х нитка 10кл без ПВХ белые · Перчатки х/б 5ти нитка 10кл с ПВХ черные/белые.,google,['tsg6444477@mail.ru'],"['+375293240075', '+375296444477', '+78770984053']",30-09-2025 21:52:12
3,перчатки -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by,by,https://fm-moto.by,«В черной коже и металлических аксессуарах байкер ощущает свою силу и непоколебимость». Главная. » Перчатки. Filters. Sort. Sort: by default.,google,['ifaab@mail.ru'],"['+375293563565', '+375296024323']",30-09-2025 21:52:12
3,перчатки -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by,by,https://avs.by,"Заказать защитные очки, перчатки, наушники в Минске ⚡ Большой выбор средств индивидуальной защиты СИЗ на сайте интернет-магазина Европровод ✓ Гарантия ...",google,['info@avs.by'],"['+375173483906', '+375173665182', '+375173884999']",30-09-2025 21:52:12
