user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,дистрибьютор электрический погрузчик,149,https://ronex.by,"Продажа электрических вилочных погрузчиков в компании специализированного оборудования Мераник. Сервисный центр, доставка, консультации при покупке. В наличии и под заказ.",yandex,"['info@ronex.by', 'zakaz@ronex.by']","['+375173970773', '+375293187526', '+375293887575', '+74951234567']",01-10-2025 00:42:37
3,дистрибьютор электрический погрузчик,149,https://jacpro.by,Вилочный электромобильный погрузчик JAC CPD 20 SHANN.,yandex,['minsist@mail.ru'],"['+375152605029', '+375291775450', '+375292565204', '+375295177199', '+375296253526']",01-10-2025 00:42:37
3,дистрибьютор электрический погрузчик,149,https://liftmann.by,,yandex,"['arenda@liftmann.by', 'clean@liftmann.by', 'info@liftmann.by', 'sales@liftmann.by', 'service@liftmann.by']","['+375293956910', '+375293956911', '+375293956922', '+375293956998']",01-10-2025 00:42:37
3,дистрибьютор электрический погрузчик,149,https://hangcha.by,,yandex,['info@hangcha.by'],['+375293361122'],01-10-2025 00:42:37
3,дистрибьютор электрический погрузчик,149,https://lonking.by,"Электрический вилочный погрузчик Лонкинг – это незаменимая и необходимая техника для складских помещений, предприятий. Используются она на производственных участках, в промышленности, гипермаркетах, а также в других областях деятельности, где необходима перевозка (подъем/опускание) груза. Главным достоинством техники китайского бренда является ее небольшая стоимость и экономия на сервисном обслуживании.",yandex,['dizeltehnoresurs@tut.by'],"['+375296773043', '+375296774000']",01-10-2025 00:42:37
3,дистрибьютор электрический погрузчик,149,https://ritonbel.com,Вилочные погрузчики европейского производства в Минске по низким ценам на сайте компании ООО «Ритон ИТМ». Высокопроизводительный вилочный погрузчик у официального дилера в РБ.,yandex,['info@ritonbel.com'],"['+375172708110', '+375172838110', '+375173708083', '+375296638762', '+375296793847', '+375296887039']",01-10-2025 00:42:37
3,дистрибьютор электрический погрузчик,149,https://shtabeler.by,,yandex,['info@shtabeler.by'],"['+375173804223', '+375293600041']",01-10-2025 00:42:37
3,дистрибьютор электрический погрузчик,149,https://xn----7sbhggawkrvbnlelce8f.xn--90ais,,yandex,['info.amkodor@gmail.com'],"['+375175122960', '+375175122962', '+375175122967', '+375175122971', '+375175122979', '+375291571699', '+375296487969', '+375296806492', '+375445392714', '+375445392719', '+375445735813', '+375447137730']",01-10-2025 00:42:37
3,дистрибьютор электрический погрузчик,149,https://inolta.by,,yandex,"['gpo@inolta.by', 'kolesa@inolta.by', 'lesa@inolta.by', 'service@inolta.by', 'sklad@inolta.by']","['+375173002005', '+375173003006', '+375296422524', '+375336973861']",01-10-2025 00:42:37
3,дистрибьютор электрический погрузчик,149,https://tehnoviza.by,"Электропогрузчик SMARTFORXX FB20R. Грузоподъемность, кг: 2000. Макс. высота подъема, мм: 6500.",yandex,"['2380110@tehnoviza.by', 'service@tehnoviza.by']","['+375173881109', '+375173881160', '+375291071492', '+375291571533']",01-10-2025 00:42:37
3,дистрибьютор электрический погрузчик,149,https://belaruslift.com,"Складская техника в Беларуси: вилочные погрузчики, электрические и ручные штабелеры, рохли по выгодной цене от официального дилера. Одно из приоритетных направлений деятельности ООО «ТРС» - реализация складской техники.",yandex,['office@belaruslift.com'],"['+375175163333', '+375291696960', '+375445855511', '+79621950055']",01-10-2025 00:42:37
