user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,материнская плата mini-itx дистрибьютор,149,https://t-automation.by,"Главная/Каталог/Встраиваемые системы/Материнские платы/Платы Mini-ITX. Mini-ITX — стандартный форм-фактор, регламентирующий формат компактных материнских плат. В зависимости от предназначения применяются чипсеты AMD и Intel, что позволяет использовать эти решения в самых различных сферах, от терминалов и «тонких» клиентов до мультимедийных и телекоммуникационных приложений.",yandex,['info@t-automation.by'],"['+375173560990', '+375173560995']",30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://aliexpress.ru,"Mini ITX материнская плата 3,5 дюйма.",yandex,['username@domain.ru'],[],30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://ipc2u.by,"Материнские платы Mini-ITX 8(017)270-33-00 - IPC2U.BY. Гарантия сроков поставки, техническая и информационная поддержка.",yandex,['imc@ipc2u.by'],"['+375172703300', '+375293195265']",30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://amd.by,,yandex,['bn@amd.by'],"['+375172703526', '+375257429429', '+375297429429', '+375445535532', '+375447429429']",30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://iei.ru,"Промышленная процессорная плата Mini-ITX, Intel Celeron N3350 2.3GHz, SoC, HDMI/LVDS/VGA, 2 x GbE LAN, USB 3.0, PCIe Mini, M.2, SATA 6Gb/s, COM, Audio.",yandex,['russia@iei.ru'],"['+375172350034', '+73433119007', '+73833300518', '+74959806406', '+77273399717', '+78123264554', '+78123265924']",30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://markit.by,,yandex,['beznal.markit.by@yandex.by'],"['+375173220307', '+375291331111', '+375292539923', '+375445843444']",30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://corson.ru,mini-ITX – компактный форм-фактор 170х170мм для различных устройств и средств автоматизации.,yandex,['info@corson.ru'],"['+74952259816', '+77718973496', '+78003006785']",30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://5sgroup.ru,"MANO300 Процессорная плата Mini-ITX, процессор Intel Celeron N3160 2.24ГГц, 2x204-pin SO-DIMM DDR3L-1333, SDXC slot, 6xCOM, 6xUSB, 2xGbE LAN, 1xSATA III, mSATA, 1xMini PCIe, 1xPCIe x1, DIO, Аудио.",yandex,['sales@5sgroup.ru'],['+74953636587'],30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://kns.ru,"Описание материнских плат mini-ITX. Материнские платы mini-ITX Материнские платы mini-ITX - это компактные и функциональные решения, предназначенные для сборки небольших, но мощных компьютеров. Благодаря своим небольшим размерам (17 x 17 см), такие платы идеально подходят для мини-ПК, HTPC (домашних мультимедийных систем) и компактных игровых сборок, сохраняя при этом широкий функционал и высокую производительность.",yandex,['sales@kns.ru'],['+74956262020'],30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://mini-itx.ru,Профессиональный поставщик компактных решений и продукции Mini-ITX.,yandex,['sales@mini-itx.ru'],[],30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://enkosp.ru,"Материнские платы Mini-ITX или Mini-ITX с низкой заглушкой предлагается в ЭНКО по цене от 10350 руб. до 47970 руб. Замена материнской платы - ответственный момент. Современные материнские платы под INTEL поддерживают только память DDR4 - это важно, если вы собрались сделать апгрейд и использовать старые планки памяти.",yandex,"['enkoserv@ro.ru', 'opt@enkosp.ru', 'sale@enkosp.ru']","['+74952410156', '+74965470701', '+74965470702']",30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://i-on.by,"Купить Материнские платы Mini-ITX в Могилёве с доставкой и официальной гарантией. Низкие цены на Материнские платы Mini-ITX в интернет магазине в Могилёве. Возможность купить Материнские платы Mini-ITX в рассрочку или кредит, а также по безналичному расчёту для организаций. Отзывы от покупателей. Скидки и акции для постоянных клиентов.",yandex,['ion.mogilev@gmail.com'],"['+375222246088', '+375293923920', '+375333923920']",30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://micro-line.ru,"Материнские платы MINI-ITX - продажа по низким ценам в Крыму, Севастополе, Симферополе, Феодосии, Евпатории, Джанкое с доставкой в интернет-магазине Микролайн.",yandex,['e-shop@micro-line.ru'],"['+73652777356', '+78007751356', '+78612051481', '+78633033071', '+79780907786', '+79781000259']",30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://knssibir.ru,"Описание материнских плат mini-ITX. Материнские платы mini-ITX Материнские платы mini-ITX - это компактные и функциональные решения, предназначенные для сборки небольших, но мощных компьютеров. Благодаря своим небольшим размерам (17 x 17 см), такие платы идеально подходят для мини-ПК, HTPC (домашних мультимедийных систем) и компактных игровых сборок, сохраняя при этом широкий функционал и высокую производительность.",yandex,['knsrussia@kns.ru'],['+78005557707'],30-09-2025 22:26:41
3,материнская плата mini-itx дистрибьютор,149,https://kotofoto.ru,"Материнские платы от ведущих брендов — большой выбор, низкие цены, доставка по всей России.",yandex,['info@kotofoto.ru'],"['+78005054375', '+78124269899', '+79999999999']",30-09-2025 22:26:41
