user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить картон оптом,225,https://russcarton.ru,"Картонный лист с белым немелованным слоем, применяется для производства упаковок, потребительской тары под нанесение печатных изображений.",yandex,"['info@russcarton.ru', 'zakaz@russcarton.ru']","['+74952589925', '+74957969441', '+78003011177']",01-10-2025 20:08:58
3,купить картон оптом,225,https://bumaga.su,"Картон оптом. Бумага.Су - надежный поставщик материалов для упаковки, утеплений, прокладок и обтира.",yandex,['ets-tk@mail.ru'],"['+73433793374', '+73433793375', '+78005001096']",01-10-2025 20:08:58
3,купить картон оптом,225,https://axelpack.ru,Продажа гофрированного картона осуществляется в листах и рулонах.,yandex,"['order@axelpack.ru', 'snab@axelpack.ru']","['+74953747968', '+79250877968']",01-10-2025 20:08:58
3,купить картон оптом,225,https://gofro-karton.com,,yandex,['info@gofro-karton.com'],['+74951205053'],01-10-2025 20:08:58
3,купить картон оптом,225,https://pack24.ru,"Если речь идет о трехслойном картоне, то флютинг размещается между двумя топлайнерами.",yandex,"['buh@pack24.ru', 'info@pack24.ru', 'sales@pack24.ru', 'zakup@pack24.ru']","['+78007005683', '+79058716265', '+79630002425', '+79630006643', '+79630009545']",01-10-2025 20:08:58
3,купить картон оптом,225,https://packmarket.ru,"Характеристики листового гофрокартона, который выпускает компания Packmarket, соответствуют требованиям ГОСТ Р 52901-2007 и других нормативных документов. Виды продукции обозначаются большими латинскими буквами и цифрами в соответствии с общепринятой маркировкой. Свойства картонных листов зависят от количества плоских и гофрированных слоев, а также от размера волн и шага между ними.",yandex,['zakaz@packmarket.ru'],"['+74951657579', '+78005502725', '+78435282901']",01-10-2025 20:08:58
3,купить картон оптом,225,https://pack-store.ru,,yandex,"['mail+10015564@pack-store.ru', 'mail@pack-store.ru']","['+74994742793', '+78003500726']",01-10-2025 20:08:58
3,купить картон оптом,225,https://vrnupak.com,"Предлагаем купить гофрированный картон оптом и в розницу по ценам производителей. Стоимость гофрокартона зависит от его толщины, количества слоев, массы. Организуем доставку упаковочного материала в любой регион РФ.",yandex,['sales@plenka.org'],[],01-10-2025 20:08:58
3,купить картон оптом,225,https://gofromir.ru,,yandex,"['info@gofromir.ru', 'kadr@gofromir.ru', 'order@gofromir.ru', 'snab@gofromir.ru', 'sverka@gofromir.ru', 'zabota@gofromir.ru']","['+74951501266', '+74951911486', '+74951911893', '+78122234775', '+78612051266', '+79999999999']",01-10-2025 20:08:58
3,купить картон оптом,225,https://vashkarton.ru,"Для упаковки массивных, крупногабаритных товаров лучше приобрести картон гофрированный листовой трех- или пятислойный. Для упаковки небольших, единичных партий товара удобнее купить гофрокартон листовой. Если поставляется большая партия изделий или поставки осуществляются регулярно, экономически целесообразней приобрести гофрокартон оптом, в виде рулонов 50 или 100 метров.",yandex,['info@vashkarton.ru'],"['+73951543183', '+74951598300', '+79724135312', '+79865550770']",01-10-2025 20:08:58
