user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить пеллеты,149,https://woodfuel.by,При покупке древесных гранул пеллет оптом доставка по Минску бесплатная. Древесный пеллет купить в Минске с доставкой по РБ выгодно у нас.,yandex,"['73030@yandex.by', 'a73030@yandex.by']","['+375291757575', '+375297303030']",29-09-2025 20:24:02
3,купить пеллеты,149,https://domtepla.by,Пеллеты и агро-пеллеты: это полезно знать.,yandex,['domtepla.by@mail.ru'],"['+375163644677', '+375292884884', '+375295155377', '+375333704020', '+375447854854']",29-09-2025 20:24:02
3,купить пеллеты,149,https://ksk.by,"Каталог брикеты, пеллеты топливные в интернет-магазине KSK. Большой ассортимент брикеты, пеллеты топливные с доставкой по Гомелю и регионам Беларуси. Наличный, безналичный расчет. Банковская рассрочка. Возможность самовывоза.",yandex,['info@ksk.by'],"['+375232241985', '+375232242466', '+375232347735', '+375445252694', '+375445252695', '+375445252696', '+375447462222']",29-09-2025 20:24:02
3,купить пеллеты,149,https://lespila.com,топливные пеллеты купить.,yandex,['info@lespila.com'],"['+375172722260', '+375291086565', '+375291397902', '+375333059736', '+375333627304', '+375447930933']",29-09-2025 20:24:02
3,купить пеллеты,149,https://mamont.by,"Пеллеты древесные топливные А1 (гранула светлая) Евролиндэкс, 15 кг.",yandex,"['z@mamont.by', 'zakup@mamont.by']","['+375172727384', '+375173881504', '+375257504504', '+375293504504', '+375333504504', '+375445016003']",29-09-2025 20:24:02
3,купить пеллеты,149,https://e-lesok.by,Покупайте топливные гранулы (пеллеты) по выгодной стоимости!,yandex,['e.lesok.by@gmail.com'],"['+375175410808', '+375255410808', '+375295410606', '+375445410808']",29-09-2025 20:24:02
3,купить пеллеты,149,https://kopyllh.by,Купить Пеллеты - по выгодной цене. Собственное производство. Наличие. Звоните нам по единому номеру телефону: 7828 МТС и А1. Доставка до двери.,yandex,"['%20minskplho@mail.ru', 'mail@kopyllh.by', 'mail@mplho.by']","['+375171626477', '+375171921700', '+375171924345', '+375171925305', '+375171925307', '+375171925309', '+375171925339', '+375171925342', '+375171925344', '+375171925349', '+375171925363', '+375171925372', '+375171927777', '+375171928445', '+375171928468', '+375171939145', '+375171939146', '+375171941826', '+375171950386', '+375173652315', '+375173652317', '+375291081976', '+375291477088', '+375291700108', '+375291895945', '+375295085191', '+375295467035', '+375296867112', '+375333804511', '+375445512998', '+375445538594', '+375447281174', '+375447686148', '+375447864620']",29-09-2025 20:24:02
3,купить пеллеты,149,https://lambermil.by,Также древесные пеллеты используют в малых бытовых пеллетных котлах.,yandex,"['lambermil.by@gmail.com', 'lambermil@inbox.ru']","['+375163644448', '+375296431314', '+375298038285']",29-09-2025 20:24:02
3,купить пеллеты,149,https://promportal.su,Пеллеты в лучших интернет-магазинах в Беларуси. Promportal.su предлагает выбрать и купить по выгодным ценам из 34 предложений.,yandex,['info@promportal.su'],['+74951907420'],29-09-2025 20:24:02
3,купить пеллеты,149,https://100kotlov.by,"Для эффективного использования топливных гранул требуется особый вид котла: пеллетный котел. В офисе нашей компании вы можете узнать цену, сравнить цены, купить пеллеты ( древесные гранулы топливные ), а так же получить полную консультацию по топливу для твердотопливного котла пеллет ( топливные гранулы) абсолютно бесплатно.",yandex,"['info@100kotlov.by', 'opt@blk7.by']","['+375291407080', '+375296080325', '+375296234829', '+375297067080']",29-09-2025 20:24:02
3,купить пеллеты,149,https://lindeksport.by,"Бытовые (светлые) топливные гранулы пеллеты, размер 6 мм и длиной менее 50 мм, расфасованы в мешки 15 кг -диаметр 6 мм -зольность 0,4% -влажность 7,9% -теплота сгорания - 19270 кДж/кг -механическая прочность- 98,5% -состав: сосна 100%.",yandex,"['lindeksport@tut.by', 'mgranules@yandex.by']","['+375293424267', '+375296578655', '+375296655172']",29-09-2025 20:24:02
3,купить пеллеты,149,https://drev.by,Хотите недорого купить топливные древесные пеллеты в Минске? У нас всегда в наличии! Высокое качество! Низкая цена! Оптовая и розничная торговля пеллетами со склада в Минске!,yandex,"['6289829@mail.ru', 'drevby@mail.ru']","['+375172151740', '+375172152626', '+375296289829', '+375447746666']",29-09-2025 20:24:02
3,купить пеллеты,149,https://sdelaysam.by,"Использовать пеллеты гораздо удобнее и выгоднее. После них практически не остается отходов, при хранении они занимают мало места. Если вы хотите купить пеллеты в Минске - обращайтесь в наш интернет-магазин.",yandex,"['1403030@mail.ru', '2249665@mail.ru', '3012184@mail.ru', '3341180@mail.ru', 'landera4@tut.by', 'ponomarenko.tov@tut.by']","['+375172249665', '+375172249773', '+375173026053', '+375173220420', '+375173220450', '+375173471200', '+375173523508', '+375173541180', '+375175660030', '+375291201749', '+375291201756', '+375291403030', '+375291403080', '+375291413030', '+375291463030', '+375291901372', '+375291905468', '+375293408277', '+375293502914', '+375296065722', '+375298433080', '+375447440315']",29-09-2025 20:24:02
3,купить пеллеты,149,https://domkotlov.by,"Пеллеты - это запрессованные древесные опилки, в виде цилиндрических гранул диаметром 6-8 мм. Это экологически чистое топливо и самое эффективное, позволяющее полностью автоматизировать процесс отопления.",yandex,['domkotlov@tut.by'],"['+375172273601', '+375259880307', '+375291835918', '+375291970074', '+375291973832', '+375292073832', '+375293502224', '+375293703832', '+375296073832']",29-09-2025 20:24:02
3,купить пеллеты,149,https://lesok.by,"Наши цены на пеллеты ниже рыночной, и варьируются в зависимости от объема пакета. Если вы хотите приобрести пеллеты в Минске в розницу или оптовой партией, то наша компания – это то, что вам нужно! Вся продукция в наличии. Пеллеты в минске от компании “Лесок”.",yandex,['info@lesok.by'],"['+375255410808', '+375295410606', '+375295446262', '+375296529900', '+375297210606', '+375445410606']",29-09-2025 20:24:02
3,купить пеллеты,149,https://pmc.by,Предприятие с 2008 г. производит топливные гранулы (пеллеты) из опилок хвойных пород древесины. Качество наших гранул подтверждено действующим сертификатом Enplus A1. Также имеем сертификаты соответствия. Характеристики,yandex,['info@pmc.by'],"['+375172365802', '+375215523583', '+375215526846', '+375215527251', '+375215527364', '+375215527438', '+375292824473', '+375295668421']",29-09-2025 20:24:02
3,купить пеллеты,149,https://doz-zabudova.by,"Топливные гранулы, или пеллеты, – экологически безопасное топливо для отопления помещений любого типа.",yandex,['doz@zabudova.by'],"['+375176724624', '+375176724630', '+375176724646', '+375176724677', '+375176724679', '+375176724815', '+375176724880', '+375293294189', '+375296399377', '+375299999999']",29-09-2025 20:24:02
3,купить пеллеты,149,https://minskogneupor.by,"Характеристика и классификация пеллет. Пеллеты – это топливные гранулы, изготавливаемые из экологически чистых отходов древесины. Чаще всего для производства пеллет используются опилки из хвойных пород древесины без примесей и посторонних добавок.",yandex,['info@bicar-it.by'],"['+375172400352', '+375172400357', '+375296347430', '+375296639585', '+375297585452']",29-09-2025 20:24:02
3,купить пеллеты,149,https://e-drova.by,"Купить пеллеты, топливные гранулы - это отличное решение для тех, кто хочет сэкономить на отоплении своего дома или квартиры. Пеллеты - это гранулы из древесных отходов, которые используются в качестве топлива для печей и котлов.",yandex,['info@e-drova.by'],"['+375336826820', '+79999999999']",29-09-2025 20:24:02
3,купить пеллеты,149,https://grodnoles.by,"Топливные гранулы (пеллеты), упаковка пакеты по 15кг.,группа качества 1 Быстрый просмотр.",yandex,['grodnoles@list.ru'],"['+375293344331', '+375333344331']",29-09-2025 20:24:02
3,купить пеллеты,149,https://brizant.by,Наши пеллеты сертифицированы по EnPlus и соответствуют стандарту A1.,yandex,['info@brizant.by'],"['+375213857407', '+375291599229', '+375333583755']",29-09-2025 20:24:02
3,купить пеллеты,149,https://beltimbergroup.by,"Что такое пеллеты. Пеллета представляет собой сильно спрессованный, в виде цилиндра, материал. Как правило, чаще это древесные опилки. Диаметр каждого такого цилиндра не превышает 1 см, а длина варьируется от 1 до 3 см. Для того, чтобы формировать пеллеты, необходимо оборудование, способное обеспечивать давление в 300 атмосфер. Как купить пеллеты.",yandex,['beltimber2106@mail.ru'],['+375336799109'],29-09-2025 20:24:02
3,купить пеллеты,149,https://pellety-vitebsk.by,Купить топливные пеллеты (топливные гранулы) оптом или в розницу напрямую от завода изготовителя в Витебске!,yandex,['pellety-vitebsk@mail.ru'],['+375292708472'],29-09-2025 20:24:02
3,купить пеллеты,149,https://solidwood.by,,yandex,"['sales.pilpromles@yandex.by', 'tg.pallet@gmail.com', 'вашапочта@gmail.com']","['+375296082121', '+375336767060']",29-09-2025 20:24:02
3,купить пеллеты,149,https://pellety.by,Купите топливные пеллеты оптом или в розницу из высококачественного сырья!,yandex,['zakaz@pellety.by'],"['+375293172020', '+375293712020']",29-09-2025 20:24:02
3,купить пеллеты,149,https://pechkin-toplivo.ru,"Купить древесные пеллеты оптом от производителя стоит для твердотопливного котельного оборудования, имеющего специальную пеллетную горелку.",yandex,['sales@pechkin-toplivo.ru'],['+79916094886'],29-09-2025 20:24:02
3,купить пеллеты,149,https://mile.by,"Древесные светлые пеллеты (бытовые гранулы) изготавливаются из сухих опилок, стружки.",yandex,"['astomshop@mail.ru', 'brest@mile.by', 'cc@mile.by', 'dk@mile.by', 'dpo@mile.by', 'ex_spravka@mile.by', 'ex_ttn@mile.by', 'gg@mile-diy.by', 'gt_ttn@mile.by', 'info@mile.by', 'kg@mile.by', 'md@mile.by', 'mm@mile.by', 'ot@mile.by', 'ot_resp@mile.by', 'receptionmile@mail.ru', 'ur@mile.by', 'zh@mile.by']","['+375152555522', '+375162507501', '+375172706556', '+375173011601', '+375173110958', '+375173181333', '+375173475050', '+375173608211', '+375173771393', '+375173880008', '+375173880298', '+375173881055', '+375173881117', '+375173882600', '+375173882608', '+375176556666', '+375256615050', '+375295595050', '+375296337722', '+375447795050']",29-09-2025 20:24:02
3,купить пеллеты,149,https://alfales.by,Количество товара Пеллеты для отопления 15 кг. (6 мм.),yandex,['3110000@tut.by'],"['+375173236666', '+375293110000', '+375293110011']",29-09-2025 20:24:02
3,купить пеллеты,149,https://stroyminsk.shop.by,"Древесные пеллеты являются экологически чистым топливом, так как при их сгорании выделяют ровно столько СО2, сколько было впитано деревом при его росте (закрытый углеродный обмен), в отличие от угля и др.",yandex,['3121375@tut.by'],"['+375296162931', '+375296162991', '+375297730683']",29-09-2025 20:24:02
3,купить пеллеты,149,https://grodnoobltoplivo.by,"Где купить. Пеллеты из льнокостры. Пеллеты (топливные гранулы) из льнокостры используются в качестве топлива и представляют собой гранулы следующих параметров: диаметр 8 мм; длина 10-50 мм; плотность 1,1-1,2 кг/дм ³; сыпучий вес 650-700 кг/м ³; влажность менее 10-12%; теплота сгорания 15,5-19,5 МДж/кг.",yandex,['priemnaya@grodnoobltoplivo.by'],"['+375152625103', '+375152625107', '+375152625108']",29-09-2025 20:24:02
3,купить пеллеты,149,https://derevo.by,«Карта покупок» от Белгазпромбанка — 2 месяца рассрочки,yandex,"['6289829@mail.ru', 'info@derevo.by']","['+375172151740', '+375172152626', '+375293180376', '+375293183263', '+375296289829', '+375298124465', '+375447386175']",29-09-2025 20:24:02
