user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,картонные коробки производим Гродненская область,163,https://aqp.by,Мы производим трехслойный и пятислойный листовой гофрокартон с белым и бурым покрывным слоем.,yandex,['info@aqp.by'],"['+375173360404', '+375291360404']",16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://globeco.by,"Мы производим упаковку из гофрокартона для организаций Гродно, а также Гродненской области с 2004 года. Четырехклапанные гофроящики.",yandex,['jsc.glob.eco@gmail.com'],[],16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://pakplast.by,Коробки для подарков из картона.,yandex,['info@pakplast.by'],"['+375152605093', '+375152605094', '+375293856566', '+375295851416']",16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://dvkpack.by,"На собственном производстве изготавливаем широкий ассортимент гофроупаковки (гофротары) от четырехклапанных ящиков до изделий сложной высечки (гофролотки, гофрокороба, решетки, прокладки, обечайки и др.). А также, выполняем заказы по индивидуальным проектам. Работаем только с качественным сырьем от надежных поставщиков.",yandex,['dvkpack@tut.by'],['+375292890450'],16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://korobkikartonnyekupit.by,Произведено в Беларуси.,yandex,['optopack.by@yandex.by'],['+375333725301'],16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://albertin.by,"- производство товаров санитарно-гигиенического назначения. Мы предлагаем более 90 видов товаров: картон - коробочный; для изготовления гильз; водостойкий; для наружных слоев гофрокартона; бумагу - упаковочную; для внутренних слоев гофрокартона; парафинированную; изделия - группу товаров санитарно-гигиенического назначения; канцтовары; различные виды коробочного кроя; гильзы картонно-бумажные; уголки картонные защитные; гофрокартон, гофроящики и лотки.",yandex,['albertin@mail.grodno.by'],['+375156245104'],16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://grodnoinvest.by,"231793, Гродненская область, г. Слоним, ул. Фабричная, 1.",yandex,['info@grodnoinvest.by'],['+375152430175'],16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://oboi.by,"Наша специализация – производство многослойного картона: картона для жестких обложек книг, для изготовления отдельных деталей мебели, коробочного картона. Кроме основного производства, мы производим упаковочные материалы и картонные детали. В настоящее время предприятие является единственным производителем картона для жестких переплетов в Беларуси.",yandex,['holding_bo@oboi.by'],['+375173424767'],16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://edon92.by,Производство. Продукция. Самосборные коробки.,yandex,['edon92@mail.ru'],"['+375172493927', '+375172585786', '+375173543926', '+375293117006', '+375293117021', '+375296299818', '+375296879880', '+375447336692']",16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://polivestbox.by,"Каталог упаковочной тары из гофрированного картона, производимой ООО ""Поливестстрой"" для организаций Беларуси по размерам заказчика.",yandex,['polivestbox@mail.ru'],"['+375232230047', '+375232730257', '+375291560151', '+375297344576', '+375445503635']",16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://oopt.by,Регион. Винницкая область Волынская область Днепропетровская область Донецкая область Житомирская область Закарпатская область Запорожская область Ивано-Франковская область Киевская область Кировоградская область Луганская область Львовская область Николаевская область Одесская область Полтавская область Ровненская область Сумская область Тернопольская область Харьковская область Херсонская область Хмельницкая область Черкасская область Черниговская область Черновицкая область.,yandex,['info@oopt.by'],"['+375296880844', '+447401473736']",16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://korobox.by,"Картонные коробки, ящики, гофротара, гофрокартон, стч-пленка, скотч от производителя.",yandex,['zakaz@korobox.by'],"['+375296020698', '+375296021103']",16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://beltara.by,Компания Белпромтара производит и продает оптом коробки из картона.,yandex,"['info@belhim.by', 'mintara@belhim.by']","['+375171675550', '+375173788310', '+375173798305', '+375293084507']",16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://fsu.by,К преимуществу коробок из картона можно отнести,yandex,"['info@fsu.by', 'sales@fsu.by']",[],16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://bfs.by,Картон гофрированный применяется для изготовления ящиков и в качестве вспомогательных упаковочных средств. ОАО «Бумажная фабрика «Спартак» производит трех- и пятислойный гофрокартон.,yandex,"['ideolog@bfs.by', 'info@bfs.by', 'it@bfs.by', 'komdir@bfs.by', 'marketing@bfs.by', 'nachok@bfs.by', 'ok@bfs.by', 'sbytspartak@bfs.by', 'snab@bfs.by']","['+375223970138', '+375223970142', '+375223971303', '+375223971304', '+375223971306', '+375223971342', '+375223976502', '+375223976509', '+375223976523', '+375223976541', '+375223976543', '+375223976557', '+375223976563', '+375223976582', '+375223977268']",16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://alfapak.by,"Картонные коробки из гофрокартона и другая упаковочная тара от производителя – это гарантия надежной защиты груза во время хранения и транспортировки. Гофрокартон, состоящий из нескольких слоёв картона и образующий из них своеобразный «каркас» – самый востребованный и универсальный упаковочный материал. Предлагая своим клиентам коробки из картона собственного производства, наша компания гарантирует их высокое качество.",yandex,['vidalfapak@gmail.com'],"['+375172270240', '+375447974129']",16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://torgmash.grodno.by,"Гродненский завод торгового машиностроения занимается производством промышленной продукции, основными видами которой являются",yandex,['torgmash@mail.grodno.by'],"['+375152625038', '+375152625046', '+375152625085', '+375333005090']",16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://boxver.by,Коробки картонные. Тара картонная. Ящики из картона.,yandex,['boxver2012@gmail.com'],"['+375292787205', '+375296410671']",16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://promagropack2007.by,Современные решения картонной упаковки высокого качества.,yandex,"['promagropack-2007@tut.by', 'promagropack2007@gmail.com']",['+375162231415'],16-10-2025 02:09:15
3,картонные коробки производим Гродненская область,163,https://titovec.by,"Изготавливаем как стандартные коробки, так и изделия со сложно высечкой.",yandex,['iptitovecsv@mail.ru'],['+375296680906'],16-10-2025 02:09:15
