user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить пакеты от производителя,149,https://epp.by,Белорусский производитель полимерной упаковки и клейкой ленты «скотч».,yandex,['office@epp.by'],"['+375177623123', '+375177660971', '+375177666097', '+375293688084', '+375296958751', '+375445423123', '+375445463818']",14-10-2025 22:35:31
3,купить пакеты от производителя,149,https://deodeks.by,"ЧТУП “Деодекс” занимается производством полимерной упаковки уже более 8 лет, обеспечивая высокое качество продукции и выгодные цены от производителя. Вся продукция прошла соответствующую проверку, сертифицирована и одобрена Минздравом РБ, что гарантирует безопасное ее использование и защиту потребителей от подделок.",yandex,"['deodeks@tut.by', 'deodeksgrodno@tut.by', 'deodekstorg@tut.by']","['+375293222121', '+375299405959', '+375445998181']",14-10-2025 22:35:31
3,купить пакеты от производителя,149,https://toriya.by,,yandex,['info@toriya.by'],"['+375172717779', '+375291117911', '+375291117971']",14-10-2025 22:35:31
3,купить пакеты от производителя,149,https://politerus.by,"Компания Политэрус – ведущий производитель полиэтиленовой упаковки, который с 2000 года предоставляет своим клиентам высококачественные решения для упаковки продукции. Политэрус обслуживает как малый и средний бизнес, так и крупные предприятия, предлагая широкий ассортимент упаковочной продукции: от стандартных полиэтиленовых пакетов и плёнок до индивидуальных решений, разработанных специально для нужд клиента.",yandex,"['296594703kh@gmail.com', 'irinapoliterus78@yandex.by', 'politerus1@gmail.com', 'politerusby@mail.ru', 'rumin5@tut.by']","['+375291174936', '+375291442014', '+375296554909', '+375296594703']",14-10-2025 22:35:31
3,купить пакеты от производителя,149,https://getpack.by,Производство полиэтиленовых пакетов и плёнки. В наличии и под заказ.,yandex,['viorsale@gmail.com'],"['+375291146155', '+375296301715']",14-10-2025 22:35:31
3,купить пакеты от производителя,149,https://bvp.by,,yandex,['bvp@bvp.by'],"['+375173370383', '+375173371010', '+375291131743']",14-10-2025 22:35:31
3,купить пакеты от производителя,149,https://partnerpack.by,,yandex,"['hr@partnerpack.by', 'info@partnerpack.by', 'logist@partnerpack.by', 'marketing@partnerpack.by', 'snab@partnerpack.by']","['+375175016516', '+375291470783', '+375291483813', '+375293470783', '+375296470784', '+375333470783', '+375447035616', '+375447518081']",14-10-2025 22:35:31
3,купить пакеты от производителя,149,https://ebisuplast.by,Пленка ПВД. Производство и продажа. Отдел продаж.,yandex,['ebisuplast@mail.ru'],"['+375233423332', '+375293036333']",14-10-2025 22:35:31
3,купить пакеты от производителя,149,https://flexoservice.by,,yandex,['info@flexoservice.by'],"['+375177022235', '+375296845289', '+79995403293']",14-10-2025 22:35:31
3,купить пакеты от производителя,149,https://paketybrest.by,"Производство пакетов полиэтиленовых в Бресте, цена производителя ВТ ПолиМир Плюс.",yandex,['vtpolimirplus@mail.ru'],"['+375162355976', '+375162510442', '+375297252083', '+375336535538']",14-10-2025 22:35:31
