user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить  электрический погрузчик,149,https://smart8.by,,yandex,"['frun.torg@minsk.gov.by', 'smart8.by@gmail.com']","['+375173483906', '+375293160066', '+375293260066', '+375295368525', '+375299870883', '+375333160066']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://ronex.by,Продажа электрических вилочных погрузчиков в компании специализированного оборудования Мераник.,yandex,"['info@ronex.by', 'zakaz@ronex.by']","['+375173970773', '+375293187526', '+375293887575', '+74951234567']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://inolta.by,,yandex,"['gpo@inolta.by', 'kolesa@inolta.by', 'lesa@inolta.by', 'service@inolta.by', 'sklad@inolta.by']","['+375173002005', '+375173003006', '+375296422524', '+375336973861']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://shtabeler.by,,yandex,['info@shtabeler.by'],"['+375173804223', '+375293600041']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://liftmann.by,"Погрузчик электрический вилочный в зависимости от модели может быть оборудован кабиной. Развивает скорость до 10 км/ч, имеет большой угол разворота, что важно при маневрировании. Предлагаем электрические погрузчики купить в Минске по выгодной цене первого импортёра. Оставьте заявку или звоните.",yandex,"['arenda@liftmann.by', 'clean@liftmann.by', 'info@liftmann.by', 'sales@liftmann.by', 'service@liftmann.by']","['+375293956910', '+375293956911', '+375293956922', '+375293956998']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://7holmov.by,,yandex,['info@7holmov.com'],"['+375152393090', '+375152393091', '+375162239520', '+375162239536', '+375173770377', '+375173774377', '+375212670686', '+375222777255', '+375225723984', '+375232501198', '+375232501206', '+375232501934', '+375291490920', '+375291490934', '+375291494934', '+375291494963', '+375291665924', '+375293771226', '+375295313394', '+375445620069', '+375445918853']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://tehnoviza.by,Преимущества электрических вилочных погрузчиков. Купить электрический погрузчик с противовесом будет правильным решением,yandex,"['2380110@tehnoviza.by', 'service@tehnoviza.by']","['+375173881109', '+375173881160', '+375291071492', '+375291571533']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://hangcha.by,Главная Каталог техники Вилочные погрузчики Электропогрузчики Погрузчик AE серии CPD15-AEY2 (электрический).,yandex,"['brest@bpi.by', 'gomel@bpi.by', 'grodno@bpi.by', 'info@hangcha.by', 'mogilev@bpi.by', 'vitebsk@bpi.by']","['+375152555544', '+375162434556', '+375173361122', '+375212671256', '+375222729739', '+375232319534', '+375293361122', '+375296175055', '+375296251855', '+375296258955', '+375447176547', '+375447184203']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://jacpro.by,Электромобильные погрузчики SHANN Электромобильные погрузчики SHANN. Электропогрузчики J серии Электропогрузчики J серии.,yandex,['minsist@mail.ru'],"['+375152605029', '+375291775450', '+375292565204', '+375295177199', '+375296253526']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://lonking.by,"Электрический вилочный погрузчик Лонкинг – это незаменимая и необходимая техника для складских помещений, предприятий. Используются она на производственных участках, в промышленности, гипермаркетах, а также в других областях деятельности, где необходима перевозка (подъем/опускание) груза. Главным достоинством техники китайского бренда является ее небольшая стоимость и экономия на сервисном обслуживании.",yandex,['dizeltehnoresurs@tut.by'],"['+375296773043', '+375296774000']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://tm.by,,yandex,['info@tm.by'],"['+375173169699', '+375256689699', '+375259659699', '+375291013109', '+375291019814', '+375291027020', '+375291032318', '+375291063594', '+375291066389', '+375291109614', '+375291273713', '+375291287552', '+375291309918', '+375291342359', '+375291360283', '+375291501269', '+375291501373', '+375291501649', '+375291501682', '+375291569973', '+375291575914', '+375291614912', '+375291614938', '+375291762978', '+375291802590', '+375291802710', '+375291890896', '+375291910120', '+375291923358', '+375291939268', '+375291939273', '+375291994818', '+375293038276', '+375293179899', '+375293334976', '+375293335296', '+375293403108', '+375293659699', '+375293766335', '+375293800766', '+375293802833', '+375293855329', '+375293868251', '+375293943105', '+375293943153', '+375296051837', '+375296258688', '+375296258707', '+375296258767', '+375296258909', '+375296387302', '+375296507894', '+375296572980', '+375296619026', '+375296689699', '+375296772581', '+375296803982', '+375296822753', '+375296871751', '+375296925277', '+375333659699', '+375336689699', '+375445372863', '+375445372865', '+375445560937', '+375445902614', '+375445994958', '+375447001987', '+375447002047', '+375447011202', '+375447506673', '+375447647069', '+375447694386', '+375447830525', '+375447937094']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://amkodor.by,,yandex,"['amkodor-gomel@tut.by', 'amkodor-minsk@mail.ru', 'amkodor-vitebsk@mail.ru', 'amkodor.marketing@gmail.com', 'amkodor.parts@gmail.com', 'amkodor.sale@gmail.com', 'amkodor@list.ru', 'amkodor_brest@tpi.by', 'amkodor_grodno@tpi.by', 'amkodor_protokol@tut.by', 'amkodorlogistika@yandex.ru', 'amkodorpressa@gmail.com', 'auditgp@amkodor.by', 'dkm.amkodor@mail.ru', 'garant@amkodor-dz.by', 'gavruk@amkodor-dz.by', 'kanz@amkodor.by', 'kaskevich@amkodor-dz.by', 'kasper_amk@mail.ru', 'mohilev_amkodor@mail.ru', 'pam196@yandex.ru', 'reklama@amkodor.by', 'sales@amkodor-dz.by', 'semash@amkodor-dz.by', 'solovey@amkodor-dz.by', 'statistic@amkodor.by', 'taparov@amkodor-dz.by', 'tps@amkodor.by', 'woodamkodor@gmail.com']","['+375171676154', '+375171676306', '+375171676883', '+375171694183', '+375172800241', '+375172817883', '+375172817888', '+375173082533', '+375173083212', '+375173083218', '+375173083225', '+375173083234', '+375173083238', '+375173083243', '+375173083254', '+375173083256', '+375173083268', '+375173083269', '+375173083275', '+375173083284', '+375173083286', '+375173083292', '+375173083300', '+375173083301', '+375173083321', '+375173083328', '+375173083330', '+375173083344', '+375173083345', '+375173083346', '+375173083357', '+375173083377', '+375173083384', '+375173083409', '+375173083413', '+375173083414', '+375173083415', '+375173083416', '+375173083425', '+375173083448', '+375173083466', '+375173083468', '+375173083482', '+375173856806', '+375177423489', '+375291014449', '+375291088846', '+375291563259', '+375295056940', '+375295196190', '+375296282512', '+375296333874', '+375296378507', '+375296730833', '+375296875842', '+375296996815', '+375297009541', '+375298150001', '+375333290841', '+375445003668', '+375445003673', '+375445625220', '+375445708170', '+375447043055', '+375447137723']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://b-k-s.by,,yandex,"['bai@b-k-s.by', 'cia@b-k-s.by', 'csm@b-k-s.by', 'dve@b-k-s.by', 'info@b-k-s.by', 'kran@b-k-s.by', 'remont@b-k-s.by', 'sales@b-k-s.by', 'strop@b-k-s.by', 'voda@b-k-s.by']","['+375172305568', '+375172305578', '+375172305739', '+375172305744', '+375172305762', '+375172305776', '+375173305578', '+375291116858', '+375295254637', '+375296023464', '+375296091151', '+375297544201', '+375297688273', '+375445492357', '+375447200066']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://ritonbel.com,,yandex,['info@ritonbel.com'],"['+375172708110', '+375172838110', '+375173708083', '+375296638762', '+375296793847', '+375296887039']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://vmx.by,"Ремонт сцепления погрузчика. Установка видеокамер на погрузчик. Установка захватов, смещения и другого оборудования для погрузчика. Чистка инжекторов погрузчика.",yandex,"['info@vmx.by', 'sale@host0509.vh135.hosterby.com']","['+375293423111', '+375293710111', '+375296435444']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://alfarun.by,"Электрический вилочный погрузчик — это экологичное, тихое и производительное решение для склада, производства или логистического комплекса. Современные модели отличаются высоким КПД, низкими затратами на обслуживание и минимальными выбросами. Популярность Китайских Электропогрузчиков. Особым спросом пользуются китайские вилочные погрузчики.",yandex,['info@alfarun.by'],"['+375173979799', '+375296911266', '+79817941484']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://catmann.by,"Бензиновые погрузчики представляют собой отличный компромисс между мощностью дизельных моделей, экологичностью электрических. Они обладают достаточной производительностью для выполнения большинства задач, при этом более маневренны, просты в обслуживании.",yandex,"['info@catmann.ru', 'sale@catmann.by']","['+375172583082', '+375172639769', '+375173688049', '+375296622144', '+375297013333', '+375447013333', '+79153168482', '+79621901111']",01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://xn--80acma3a5ai1c8a.xn--90ais,,yandex,['shtabelerybel@gmail.com'],['+375173369611'],01-10-2025 00:41:34
3,купить  электрический погрузчик,149,https://ltech.by,"Купить электрический вилочный погрузчик в лизинг. Широкий модельный ряд. Новые, Б/У.",yandex,['sales@ltech.by'],"['+375175180101', '+375291022477', '+375291534591', '+375291904105', '+375296071232']",01-10-2025 00:41:34
