user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,кухня купить,149,https://mebelblizko.by,,yandex,['manager@mebelblizko.by'],"['+375336368515', '+375444637050']",17-10-2025 10:33:44
3,кухня купить,149,https://bestmebelshop.by,,yandex,['sale@bestmebelshop.ru'],['+375257535704'],17-10-2025 10:33:44
3,кухня купить,149,https://mebelart.by,"Кухонный гарнитур NN Мебель ""КГ-9"" (2,0 м) Белый/Цемент темный/Цемент светлый/Черный.",yandex,['sale@mebelart.by'],"['+375173601094', '+375173737456', '+375296970606', '+375296980606', '+375336980606']",17-10-2025 10:33:44
3,кухня купить,149,https://meko.by,Каталог готовых кухонь в Минске в интернет-магазине мебели Meko. Купить готовые кухни недорого с доставкой по Беларуси. Беспроцентная рассрочка. Гарантия на всю мебель действует до 24 месяцев.,yandex,['info@meko.by'],"['+375259486113', '+375333355700', '+375447074176', '+375447172733']",17-10-2025 10:33:44
3,кухня купить,149,https://pinskdrev.by,"Современные кухни под заказ. Лофт, минимализм, хай-тек, сканди – самые популярные современные стили для оформления кухонь. Они создают красивое, уютное пространство с максимальным функционалом, которое вдохновляет на захватывающие кулинарные подвиги.",yandex,"['armada.pinskdrev@yandex.ru', 'belinichi.pinskdrev@mail.ru', 'bobr.pinsk@yandex.ru', 'box@pinskdrev.by', 'deinak_s@pinskdrev.by', 'gorki.pinsk@yandex.ru', 'grodno@pinskdrev.by', 'ignatovets@td.pinskdrev.by', 'kpinskdrev@rambler.ru', 'marchik@td.pinskdrev.by', 'mogilev@pinskdrev.by', 'mstislavl.pinsdrev@mail.ru', 'osipovichipinskdrev@mail.ru', 'pfo@pinskdrev.by', 'pinsk@pinskdrev.by', 'pinskdrev.derzhinskogo@yandex.by', 'pinskdrev.krichev@mail.ru', 'pinskdrevpushkina1@mail.ru', 'pinskm1@mail.ru', 'plywood@pinskdrev.by', 'priem@pinskdrev.by', 'promotion@pinskdrev.by', 'question@pinskdrev.by', 'reklama@pinskdrev.by', 'rigus_93@mail.ru', 'sbytdsp@pinskdrev.by', 'shklov.pinskdrev@mail.ru', 'simonova.pinsk@yandex.ru', 'sovetska2b@mail.ru', 'uptk@pinskdrev.by', 'utk@pinskdrev.by', 'vitebsk@pinskdrev.by']","['+375151220884', '+375151472281', '+375152443032', '+375152443034', '+375152443036', '+375152569796', '+375152606556', '+375152713548', '+375152960598', '+375154533705', '+375154607450', '+375154652670', '+375156250946', '+375159133413', '+375159371281', '+375159745296', '+375162528285', '+375162932070', '+375163607198', '+375163676850', '+375164722730', '+375165301212', '+375165316512', '+375165366131', '+375165562629', '+375165616568', '+375165622058', '+375165637586', '+375165640080', '+375165640641', '+375165647083', '+375165647599', '+375165649961', '+375165651142', '+375165651357', '+375165651640', '+375165651945', '+375165653494', '+375165655270', '+375165656415', '+375165659276', '+375171361252', '+375171361323', '+375171771278', '+375173477242', '+375173621837', '+375173621841', '+375173674530', '+375174235857', '+375175127014', '+375175516200', '+375176746144', '+375177566878', '+375177951503', '+375212220376', '+375212226026', '+375222630532', '+375222640352', '+375222642853', '+375222796039', '+375233946632', '+375234257040', '+375291059660', '+375291151850', '+375291416948', '+375291545860', '+375291559556', '+375291579177', '+375291991095', '+375293178819', '+375293271655', '+375293298814', '+375293513841', '+375293576057', '+375293643122', '+375296022786', '+375296028726', '+375296055757', '+375296069728', '+375296144283', '+375296228407', '+375296574629', '+375296924057', '+375296924089', '+375297575765', '+375297581435', '+375297606139', '+375297609833', '+375297616625', '+375297623184', '+375298055757', '+375333368214', '+375333368982', '+375445342813', '+375445342821', '+375445416407', '+375445416415', '+375445416418', '+375445416423', '+375445525514', '+375445534403', '+375445656116', '+375445656295', '+375445656349', '+375445684952', '+375445688653', '+375445723348', '+375445736429', '+375445788400', '+375445818933', '+375445818935', '+375445851574', '+375445933555', '+375445957211', '+375445959910', '+375447164721', '+375447213056', '+375447367571', '+375447368629', '+375447440237', '+375447440257', '+375447507460', '+375447510661', '+375447514007', '+375447528901', '+375447778389', '+375447878190', '+375447956560', '+375447995190']",17-10-2025 10:33:44
3,кухня купить,149,https://24mebel.by,,yandex,['info@24mebel.by'],['+375296294444'],17-10-2025 10:33:44
3,кухня купить,149,https://superstore.by,Кухонные гарнитуры. Кухонный диван. Угловые диваны на кухню.,yandex,"['consultant@superstore.by', 'superstore.by@gmail.com']","['+375336636074', '+375445370936']",17-10-2025 10:33:44
3,кухня купить,149,https://domodel.by,"Купить готовые кухни в Минске. Двухрядные, угловые, п-образные, островные кухни.",yandex,"['barokmedia@mail.ru', 'minskbarokmedia@gmail.com']",[],17-10-2025 10:33:44
3,кухня купить,149,https://mebel-online.by,Мебель для кухни по выгодным ценам в Минске с доставкой по Беларуси в интернет-магазине Мебель-Online.,yandex,['belmeb-minsk@yandex.by'],"['+375297663656', '+375447665583']",17-10-2025 10:33:44
3,кухня купить,149,https://7mebel.by,Готовые недорогие кухни российского и белорусского производства . Отличный выбор дешевых современных кухонь в интернет-магазине 7mebel.by.,yandex,"['7mebel@inbox.ru', '7mebeladm@gmail.com']","['+375292976602', '+375296240479']",17-10-2025 10:33:44
