user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,поддоны деревянные  купить,149,https://poddon.by,"На нашем сайте вы всегда сможете купить деревянные поддоны в Минске, а также купить деревянные паллеты б/у недорого. При всем при этом, вы сможете заказать мебель из поддонов, которая станет неотъемлемой частью дизайна всех помещений.",yandex,['info@poddon.by'],"['+375173160040', '+375173160041', '+375293530033', '+375296363302', '+375296516363']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://pallet.by,"Кроме деревянных паллетов, базовый ассортимент включает пластиковые и металлические, а также наша компания занимается продажей поддонов/европоддонов.",yandex,['info@pallet.by'],"['+375291161999', '+375291505999', '+375293124555']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://partnerpack.by,"Купить деревянные поддоны можно не только для задач организации, но и для частного использования. Например, их достаточно часто применяют в отделке помещений. Вы легко вспомните несколько ресторанов и кафе, где именно деревянные поддоны в Бресте стилизованы под оригинальные стулья, лавочки и даже столы.",yandex,"['hr@partnerpack.by', 'info@partnerpack.by', 'logist@partnerpack.by', 'marketing@partnerpack.by', 'snab@partnerpack.by']","['+375175016516', '+375291470783', '+375291483813', '+375293470783', '+375296470784', '+375333470783', '+375447035616', '+375447518081']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://palletgrad.by,,yandex,['pallet_grad@mail.ru'],"['+375293776667', '+375296467218', '+375296567738', '+375445655214']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://abraziv.by,"Деревянные евро поддоны 1200х800 мм — это вид тары, предназначенный для транспортировки, перемещения, складирования и хранения груза.",yandex,"['site@abraziv.by', 'sklad@abraziv.by', 'zakaz@abraziv.by']","['+375172716666', '+375173384444', '+375291091285', '+375291122013', '+375291123013', '+375296323625']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://monteinvest.by,Компания «МонтеИнвест» предлагает своим клиентам в Беларуси и Минске деревянные новые и б/у поддоны оптом и в розницу на выгодных условиях.,yandex,['monteinvest@mail.ru'],"['+375173992838', '+375296181093', '+375445181090']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://redpack.by,"Наш поддон деревянный 1200*800 идеально подходит для перевозки и хранения разнообразных товаров, от маленьких коробок до крупных и тяжелых предметов.",yandex,['info@redpack.by'],['+375291072727'],26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://poddony.by,У нас вы можете приобрести новые деревянные поддоны для перевозки различных категорий грузов.,yandex,['monteinvest@mail.ru'],"['+375173990805', '+375293424564']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://poddonpallet.by,"Изготовление, продажа поддонов Изготовление, продажа деревянных контейнеров Изготовление, продажа деревянных лотков Изготовление, продажа мебельных щитов Грузоперевозки по Республике Беларусь.",yandex,['poddonpallet11@gmail.com'],"['+375296421360', '+375298881022']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://hompil.by,"Чтобы купить поддоны, вам нужно просто позвонить по телефонам на сайте (внизу страницы).",yandex,['ip-homich@tut.by'],"['+375163192650', '+375296621734', '+375298244619', '+375333301168']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://poddoni.by,"Покупка поддонов (паллет). Цены на паллеты зависят от их конструкции и степени износа. Мы с одинаковой готовностью покупаем как целые, так и сломанные паллеты всех стандартных видов и размеров (1,2х0,8 м, 1,2х1,0 м, 1,2х1,2 м).",yandex,['9273133@mail.ru'],['+375447573133'],26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://poddonopt.by,"Продать поддоны - скупка поддонов по всей Беларуси. Купить поддоны 1200х800, европоддон ...",yandex,['poddon-optby@ya.ru'],"['+375296572843', '+375296576889']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://rdk-invest.by,"Все представленные к продаже деревянные поддоны соответствуют ГОСТу, прошли необходимую фитосанитарную обработку, проверены на прочность и исправность технического состояния. Компания имеет полный цикл производства - от заготовки древесины в лесу до производства и продажи, что позволяет нам предложить самую лучшую цену на деревянные евро поддоны.",yandex,['5505511@mail.ru'],"['+375293561632', '+375296819000']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://xn----7sbabhi2atb2biu3ak.xn--90ais,Хотите купить поддоны оптом в Минске для транспортировки или хранения?,yandex,['upakovka.gruza@mail.ru'],"['+375336048417', '+375447553322']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://detinez.ru,"Если вам необходимо купить поддоны деревянные, вы найдете широкий выбор таких изделий, которые подходят как для частного использования, так и для промышленных нужд.",yandex,['info@detinez.ru'],"['+74956629999', '+74957832384', '+78001000605', '+78001002423', '+79037235494', '+79099071112', '+79647941802', '+79851110235']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://lemanapro.ru,"Изготавливается тара из пиломатериалов российского производства. У нас можно купить паллеты с маркировкой ГОСТ, предназначенные для хранения на складах и перевозки по территории страны, а также с клеймом ISPM – это тара, которая соответствует стандартам для транспортировки продукции зарубеж.",yandex,['4a75ea83d8d5189b848f426584f7f417@receive-sentry.lmru.tech'],[],26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://balt-pallet.ru,"Поможем купить деревянные поддоны для разных целей. Обращайтесь в ООО «Балт-Паллет», чтобы купить деревянные поддоны различных типоразмеров и конструкций. Изделия от нашей компании отличаются высоким качеством, поэтому они эксплуатируются значительно дольше.",yandex,['info@balt-pallet.ru'],"['+78127151684', '+78129705616', '+79013705616']",26-11-2025 18:52:43
3,поддоны деревянные  купить,149,https://online-tara.ru,"Для нашей компании продажа деревянных поддонов — это один из основных видов деятельности. Мы проанализировали, какие именно типоразмеры в отношении таких конструкций пользуются наибольшим спросом. В итоге готовы предложить самые популярные варианты. Обратите внимание: у нас можно купить поддоны деревянные в Москве как с клеймом, так и без.",yandex,['online-tara.ru@yandex.ru'],"['+74957908549', '+78006008549', '+79715440479']",26-11-2025 18:52:43
