user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,диски отрезные купить,149,https://ksk.by,Купить диски по металлу в интернет-магазине Строймаркет KSK. Большой ассортимент диски по металлу по доступным ценам.,yandex,['info@ksk.by'],"['+375232241985', '+375232242466', '+375232347735', '+375445252694', '+375445252695', '+375445252696', '+375447462222']",25-09-2025 15:46:24
3,диски отрезные купить,149,https://7745.by,"Круги отрезные, с доставкой по Беларуси купить в интернет-магазине 7745.by, кредит без первоначального взноса, самовывоз в Минске, Солигорске, Бресте, Гомеле, Гродно, Витебске, Могилеве.",yandex,"['beznal@7745.by', 'info@7745.by', 'offer@7745.by', 'reklamacii@7745.by']","['+375172151465', '+375172151740', '+375172152626', '+375175127745', '+375259647745', '+375296607745', '+375296647745', '+375296657745', '+375297647745']",25-09-2025 15:46:24
3,диски отрезные купить,149,https://mile.by,Купить алмазные диски мы предлагаем в нашем интернет-магазине. На сайте представлены различные ручные и электроинструменты для строительства и ремонта. Mile – это гарантия качества и разумные цены на товары от ведущих производителей.,yandex,"['astomshop@mail.ru', 'brest@mile.by', 'cc@mile.by', 'dk@mile.by', 'dpo@mile.by', 'ex_spravka@mile.by', 'ex_ttn@mile.by', 'gg@mile-diy.by', 'gt_ttn@mile.by', 'info@mile.by', 'kg@mile.by', 'md@mile.by', 'mm@mile.by', 'ot@mile.by', 'ot_resp@mile.by', 'receptionmile@mail.ru', 'ur@mile.by', 'zh@mile.by']","['+375152555522', '+375162507501', '+375172706556', '+375173011601', '+375173110958', '+375173181333', '+375173475050', '+375173608211', '+375173771393', '+375173880008', '+375173880298', '+375173881055', '+375173881117', '+375173882600', '+375173882608', '+375176556666', '+375256615050', '+375295595050', '+375296337722', '+375447795050']",25-09-2025 15:46:24
3,диски отрезные купить,149,https://abrazives.by,"Алмазные отрезные диски для УШМ (болгарок), бензорезов. Карандаши алмазные для правки кругов.",yandex,"['info@abrasiv.of.by', 'minsk@abrazives.by', 'molo@abrazives.by']",[],25-09-2025 15:46:24
3,диски отрезные купить,149,https://tm.by,"При выборе отрезных кругов надо внимательно отнестись к таким параметрам, как диаметр, толщина и материал, из которого изготовлен диск, только правильно выбранным инструментом можно выполнить работу быстро и качественно. Отрезные круги вы можете купить по доступной цене с доставкой по Минску и Беларуси в магазине TM.by.",yandex,['info@tm.by'],"['+375173169699', '+375256689699', '+375259659699', '+375291013109', '+375291019814', '+375291027020', '+375291032318', '+375291063594', '+375291066389', '+375291109614', '+375291273713', '+375291287552', '+375291309918', '+375291342359', '+375291360283', '+375291501269', '+375291501373', '+375291501649', '+375291501682', '+375291569973', '+375291575914', '+375291614912', '+375291614938', '+375291762978', '+375291802590', '+375291802710', '+375291890896', '+375291910120', '+375291923358', '+375291939268', '+375291939273', '+375291994818', '+375293038276', '+375293179899', '+375293334976', '+375293335296', '+375293403108', '+375293659699', '+375293766335', '+375293800766', '+375293802833', '+375293855329', '+375293868251', '+375293943105', '+375293943153', '+375296051837', '+375296258688', '+375296258707', '+375296258767', '+375296258909', '+375296387302', '+375296507894', '+375296572980', '+375296619026', '+375296689699', '+375296772581', '+375296803982', '+375296822753', '+375296871751', '+375296925277', '+375333659699', '+375336689699', '+375445372863', '+375445372865', '+375445560937', '+375445902614', '+375445994958', '+375447001987', '+375447002047', '+375447011202', '+375447506673', '+375447647069', '+375447694386', '+375447830525', '+375447937094']",25-09-2025 15:46:24
3,диски отрезные купить,149,https://stant.by,,yandex,"['info@stant.by', 'kharitonik@stant.by', 'oleg.stant@mail.ru', 'podobed.stant@gmail.com', 'sazonov@stant.by', 'svirid@stant.by']","['+375172700534', '+375172708969', '+375291860535', '+375291943055', '+375293055017', '+375293055022', '+375445067221', '+375445775965']",25-09-2025 15:46:24
3,диски отрезные купить,149,https://bild-shop.by,Круг отрезной 115х1.2x22.2 мм для металла Long Life LUGAABRASIV.,yandex,"['info@bild-shop.by', 'offers@bild-shop.by', 'orders@bild-shop.by']","['+375174237320', '+375174241515', '+375255456969', '+375291041740', '+375291132040', '+375291140061', '+375291190196', '+375291518500', '+375291608482', '+375291961986', '+375293796162', '+375295996969', '+375296788684', '+375445102902', '+375445221315', '+375445254414', '+375445356336', '+375445996969', '+375447121412', '+375447655536']",25-09-2025 15:46:24
3,диски отрезные купить,149,https://voltra.by,,yandex,['info@voltra.by'],"['+375255251221', '+375291691221', '+375291751221', '+375291931221', '+375295751221', '+375296651221', '+375445481221', '+375445571221', '+375445931221']",25-09-2025 15:46:24
3,диски отрезные купить,149,https://sdelaysam.by,"Интернет-магазин «Сделай сам» предлагает купить зачистной диск оптом и в розницу по цене производителя. В нашем каталоге представлен большой выбор отрезных кругов для работы с металлами, деревом, камнем и другими материалами.",yandex,"['1403030@mail.ru', '2249665@mail.ru', '3012184@mail.ru', '3341180@mail.ru', 'landera4@tut.by', 'ponomarenko.tov@tut.by']","['+375172249665', '+375172249773', '+375173026053', '+375173220420', '+375173220450', '+375173471200', '+375173523508', '+375173541180', '+375175660030', '+375291201749', '+375291201756', '+375291403030', '+375291403080', '+375291413030', '+375291463030', '+375291901372', '+375291905468', '+375293408277', '+375293502914', '+375296065722', '+375298433080', '+375447440315']",25-09-2025 15:46:24
3,диски отрезные купить,149,https://prom.by,"Купить отрезной круг с доставкой по Беларуси. Ищете качественные отрезные круги? В каталоге интернет-магазина «Промбай Абразив» вы найдете диски для работы с нержавеющей сталью и другими видами металла, бетоном, камнем, кирпичом. Реализуем продукцию надежных производителей ОАО «Лужский абразивный завод», Klingspor и ЧАО «Запорожский Абразивный Комбинат». Доставляем товар в Минск и другие города Беларуси.",yandex,"['info@prom.by', 'prom@prom.by']","['+375172702914', '+375172703375', '+375173432034', '+375173533907', '+375173792966', '+375296280866', '+375296342034', '+375296622122', '+375333442034']",25-09-2025 15:46:24
