user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,картонные коробки от производителя в ростове,225,https://rost-pak.ru,"Рост-Пак - производитель качественной упаковки из картона и микрогофрокартона с возможностью нанесения высокоточной офсетной печати и флексопечати. Основным направлением деятельности предприятия является изготовление коробок из картона (однослойный), микрогофрокартона (3-х слойный профиль Е) и гофрокартона (3-х слойный профиль С).",yandex,"['mail@rost-pak.ru', 'zakaz@rost-pak.ru']","['+78632630476', '+78632820280', '+79034013042', '+79034017941', '+79287688919']",01-10-2025 18:35:06
3,картонные коробки от производителя в ростове,225,https://cargo-avto.ru,"Продажа картонной упаковки: коробки из картона Т21-24, П32, микрогофрокартона любых размеров, гофротара, гофроящики, гофрокороба.",yandex,['mail@cargo-avto.ru'],"['+74951501500', '+78005002861', '+79999999999']",01-10-2025 18:35:06
3,картонные коробки от производителя в ростове,225,https://ppack.ru,Картонные коробки для переезда - оптом и в розницу в интернет-магазине. Заказать: 8 (800) 600-42-09.,yandex,"['tovar@ppack.ru', 'zakaz@ppack.ru']","['+74951204505', '+77719475648', '+79269675392']",01-10-2025 18:35:06
3,картонные коробки от производителя в ростове,225,https://ronbel.ru,"Собственное производство. Компания «Ронбел» является производителем картонных коробок, ложементов, гофролистов и успешно развивается с 2014-го года.",yandex,"['300@ronbel.ru', '500@ronbel.ru', '555@ronbel.ru', '777@ronbel.ru', '911@ronbel.ru', 'logist@ronbel.ru', 'zakaz@ronbel.ru', 'zakupki@ronbel.ru']","['+74952780209', '+78002224657']",01-10-2025 18:35:06
3,картонные коробки от производителя в ростове,225,https://pack-craft.ru,"Купить коробки из картона в Ростове-на-Дону с доставкой оптом и в розницу. Большой выбор размеров, оптовые цены на картонные коробки в интернет-магазине rostov-na-donu.pack-craft.ru.",yandex,"['info@pack-craft.ru', 'office@pack-craft.ru', 'service-moscow@pack-craft.ru', 'sklad@pack-craft.ru']","['+74954450018', '+78002507665', '+78122234695', '+79916261298']",01-10-2025 18:35:06
3,картонные коробки от производителя в ростове,225,https://glavkorob.ru,Картонные коробки и гофротара от производителя в Ростове-на-Дону.,yandex,['info@glavkorob.ru'],['+78632217030'],01-10-2025 18:35:06
3,картонные коробки от производителя в ростове,225,https://r-upak.ru,"Размерный ряд коробок. Производители предлагают широкий диапазон размеров, что позволяет подобрать упаковку под любой тип продукции: Маленькие коробки (50?50?30 мм): используются для упаковки мелких товаров, сувениров, ювелирных изделий. Средние коробки (200?200?200 мм): универсальные размеры для бытовых товаров и аксессуаров.",yandex,['ros-upak@yandex.ru'],"['+78633035161', '+79094049897']",01-10-2025 18:35:06
3,картонные коробки от производителя в ростове,225,https://rpk-plus.ru,"Картонные коробки применяются для транспортировки, складирования и хранения продовольственных и промышленных товаров. Компания «РПК плюс» предлагает различные варианты изготовления данного упаковочного средства, а также расходные материалы к ним. Наша компания ценит время своих клиентов, поэтому мы предлагаем услуги печати на картонных коробках, разработку макета для печати. Производим продукцию из , микрогофрокартона 3-х слойный профиль Е и гофрокартона...",yandex,['info@rpk-plus.ru'],"['+79094423211', '+79613010024', '+79999999999']",01-10-2025 18:35:06
3,картонные коробки от производителя в ростове,225,https://familykraftmag.ru,Картонные коробки в Ростове-на-Дону – отличное решение для упаковки. Покупайте оптом и в розницу по доступным ценам. Широкий ассортимент размеров и типов коробок.,yandex,['info@familykraftmag.ru'],['+79034888357'],01-10-2025 18:35:06
3,картонные коробки от производителя в ростове,225,https://packy.ru,"Коробки картонные от 1 штуки по оптовой цене в Ростове-на-Дону. Быстрая доставка, 10000 пунктов самовывоза у дома.",yandex,['zakaz@packy.ru'],"['+78007771532', '+78122008795', '+79999999999']",01-10-2025 18:35:06
