user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,гомогенизатор косметика купить,149,https://fermasclad.ru,"Если вы хотите купить гомогенизатор, обратитесь в интернет-магазин «Фермасклад». Наши специалисты помогут выбрать модель с учетом всех ваших потребностей, включая дополнительные возможности для повышения эффективности работы.",yandex,"['buhgalteriafermasklad@ya.ru', 'buhgalteriafermasklad@yandex.ru', 'info@fermasclad.ru', 'partners@fermasclad.ru']","['+74951288027', '+79162340493']",24-09-2025 08:54:37
3,гомогенизатор косметика купить,149,https://aroma-reality.ru,Где купить гомогенизатор? В нашем интернет-магазине доступна возможность приобретения гомогенизатора с услугой бесплатной доставки по всей территории Российской Федерации.,yandex,"['alexeykharitonov@mail.ru', 'manager@ipkharitonov.ru']","['+74956615038', '+78005055068', '+79206173248']",24-09-2025 08:54:37
3,гомогенизатор косметика купить,149,https://labrasmat.by,"Гомогенизаторы широко востребованы в производстве фармацевтической, ветеринарной, клинической, экологической продукции и косметики, помогают контролировать качество всех видов продуктов питания. Технические особенности гомогенизаторов лопаточного типа",yandex,"['labrasmat@mail.ru', 'labrasmat@mail.ruu']","['+375173646247', '+375173646248', '+375173646249']",24-09-2025 08:54:37
3,гомогенизатор косметика купить,149,https://mvtp.by,,yandex,['info@mvtp.by'],"['+24742475', '+375175112464', '+375175112465', '+375175112469', '+375291106646', '+375447402660', '+74953206910']",24-09-2025 08:54:37
3,гомогенизатор косметика купить,149,https://eurasia-group.ru,"Вакуумный миксер гомогенизатор для косметики LM-S-ZRG-A представляет собой систему, полностью соответствующую строгим стандартам GMP, и сформированную из котла предварительной обработки, вакуумного котла для эмульгирования и смешивания, вакуумного насоса, гидравлической подъемной системы, системы сброса, электрической системы управления, рабочей платформы и т.д. Непосредственно мешалка включает...",yandex,['info@eg-mail.ru'],['+78006005918'],24-09-2025 08:54:37
3,гомогенизатор косметика купить,149,https://lizantan.com,Гомогенизаторы лабораторные от интернет-магазина Lizantan в Минске.,yandex,['info@lizantan.com'],"['+74999298160', '+78003022721']",24-09-2025 08:54:37
3,гомогенизатор косметика купить,149,https://promportal.su,,yandex,['info@promportal.su'],['+74951907420'],24-09-2025 08:54:37
3,гомогенизатор косметика купить,149,https://redhon.ru,"Гомогенизаторы - купить недорого в Санкт-Петербурге: широкий ассортимент, выгодные цены, гибкие условия поставок. Доставка по всей России!",yandex,"['sale@pe-lab.ru', 'sale@redhon.ru']","['+78122091211', '+79999999999']",24-09-2025 08:54:37
3,гомогенизатор косметика купить,149,https://fbf.by,Продажа гомогенизаторов и запчастей.,yandex,['fbfservice@gmail.com'],['+375173882526'],24-09-2025 08:54:37
3,гомогенизатор косметика купить,149,https://threelab.ru,Гомогенизаторы купить в Москве в интернет-магазине лабораторного оборудования Биохимпро с доставкой по РФ от 2 дней с собственного склада. У нас весь товар сертифицирован. Мы более 10 лет на рынке.,yandex,['info@threelab.ru'],['+74951206647'],24-09-2025 08:54:37
3,гомогенизатор косметика купить,149,https://helicon.ru,"Гомогенизаторы купить в Компании Хеликон: широкий выбор, доступные цены, доставка по всей России, звоните и заказывайте!",yandex,"['a.grebenshchikova@helicon.ru', 'mail@helicon.ru', 'novosibirsk@helicon.ru', 'propusk@helicon.ru', 'rostov@helicon.ru', 'spb@helicon.ru', 'volga@helicon.ru']","['+73832078485', '+74997044949', '+74997044959', '+74997055050', '+78007707121', '+78122448552', '+78432023337', '+78632098889', '+79035147176']",24-09-2025 08:54:37
3,гомогенизатор косметика купить,149,https://magazinlab.ru,"На нашем сайте вы можете купить гомогенизатор как отечественного, так и импортного производства. Обратившись к менеджерам, вы всегда сможете получить ответ на любой интересующий вас вопрос, быстро и правильно оформить заказ.",yandex,"['buh@magazinlab.ru', 'delivery@magazinlab.ru', 'info@magazinlab.ru', 'p.kiselev@magazinlab.ru', 'poverka@magazinlab.ru', 'sale@magazinlab.ru', 'tender@magazinlab.ru']","['+74953690371', '+78001003057', '+78007005715', '+78129800359', '+79523900359', '+79657958438']",24-09-2025 08:54:37
