user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,производство колбас Москва,213,https://myasokombinaty.ru,Все мясокомбинаты Москвы и области с контактными данными на карте. Отзывы клиентов. Отраслевой портал Мясокомбинаты.ру.,yandex,['thematicportal@yandex.ru'],['+79999999999'],26-10-2025 18:29:30
3,производство колбас Москва,213,https://yp.ru,"Список колбасных цехов Москвы по производству и продаже колбасных изделий: телефоны поставщиков, часы работы, адреса, цены наколбасную продукцию.",yandex,['info@yp.ru'],[],26-10-2025 18:29:30
3,производство колбас Москва,213,https://meatinfo.ru,ООО «МЯСОПРОДУКТ» — российский производитель и поставщик мясных деликатесов и продуктов из мяса. Производство налажено в г. Москва. Изготавливаем: мясные деликатесы из говядины и свинины; колбаса в ассортименте; бастурма; деликатесы из мяса птицы (рулеты мясные с начинками); шпик (сало).,yandex,['sale@inline-ltd.ru'],['+78124253265'],26-10-2025 18:29:30
3,производство колбас Москва,213,https://kuskovomos.ru,"Торговый дом в Москве. 8 (495) 225-42-00. Заказать звонок. Москва, Рязанский проспект, 4А, территория АО «Кузьминское».",yandex,['info@kuskovomos.ru'],"['+74952254200', '+79999999999']",26-10-2025 18:29:30
3,производство колбас Москва,213,https://mikoyan.ru,"Официальный сайт Микояновского мясокомбината, лидера отечественной мясоперерабатывающей промышленности и производства колбас.",yandex,['mmkom@mmkom.ru'],['+74957856567'],26-10-2025 18:29:30
3,производство колбас Москва,213,https://tamp.ru,Производство колбасных изделий. +7 495 786 97 57.,yandex,"['info@tamp.ru', 'zakaz@tamp.ru']","['+74957869737', '+74957869757']",26-10-2025 18:29:30
3,производство колбас Москва,213,https://ompk.ru,Производство. В настоящий момент под торговой маркой «Останкино» выпускается более 100 наименований продукции с объемом производства 500 тонн в сутки... Далее. Компания. АО «Останкинский мясоперерабатывающий комбинат» (АО «ОМПК») - ведущий производитель продуктов мясопереработки и полуфабрикатов в центральной России.,yandex,['info@sosiska.ru'],['+74959805390'],26-10-2025 18:29:30
3,производство колбас Москва,213,https://moskvichmag.ru,"В этом году исполнилось 20 лет компании «Дымов». С самого начала появления на рынке «Дымов» позиционировал свою продукцию как премиальную. Даже запустил рекламную кампанию в Vogue. «Москвич Mag» съездил на производство посмотреть, как и из чего сегодня делают колбасу «Дымов». Начнем с того, что даже на оборонном предприятии не проводят такой строгий инструктаж по требованиям.",yandex,['info@moskvichmag.ru'],[],26-10-2025 18:29:30
3,производство колбас Москва,213,https://kolbasa-opt.ru,"Мясоперерабатывающее предприятие Мортадель специализируется на производстве колбасных изделий, полуфабрикатов, мясных деликатесов, кондитерских и хлебобулочных изделий.",yandex,"['5450732@yandex.ru', 'koskol63@yandex.ru']","['+74957730505', '+79857730505']",26-10-2025 18:29:30
3,производство колбас Москва,213,https://kolbasa.ru,Производство продукции и мясных изделий мясоперерабатывающим заводом «Мясницкий ряд».,yandex,['clientprav@kolbasa.ru'],"['+74959811719', '+79685344925', '+79854113341']",26-10-2025 18:29:30
