user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,камеры купить,149,https://ezviz.by,,yandex,['sales@ezviz.by'],"['+375296503939', '+375296513939']",26-11-2025 19:18:26
3,камеры купить,149,https://joom.ru,Сколько стоит камеры видеонаблюдения уличная — узнайте в каталоге лучших товаров интернет-магазина Joom. Заказать камеры видеонаблюдения уличная по низкой цене. Реальные отзывы с фото. Скорейшая доставка.,yandex,['ipr@jm.tech'],[],26-11-2025 19:18:26
3,камеры купить,149,https://xn--80aknjv0e.xn--90ais,,yandex,['kamery.bel@yandex.by'],['+375295001688'],26-11-2025 19:18:26
3,камеры купить,149,https://1k.by,,yandex,"['admin@1k.by', 'alena@1k.by', 'info@1k.by']","['+375172180082', '+375172979488', '+375173737456', '+375173743973', '+375291466000', '+375297036699']",26-11-2025 19:18:26
3,камеры купить,149,https://arsenalvideo.by,,yandex,"['info@arsenalvideo.by', 'support@arsenalvideo.by']","['+375293032230', '+79999999999']",26-11-2025 19:18:26
3,камеры купить,149,https://avant.by,,yandex,['office@avant.by'],['+375173044040'],26-11-2025 19:18:26
3,камеры купить,149,https://ksk.by,Купить камеры видеонаблюдения в интернет-магазине Строймаркет KSK. Большой ассортимент. Доставка по Беларуси. Наличный и безналичный расчет.,yandex,"['1000@ksk.by', '100@ksk.by', '101@ksk.by', '102@ksk.by', '103@ksk.by', '1056@ksk.by', '19@ksk.by', '33@ksk.by', '55@ksk.by', '801@ksk.by', '99@ksk.by', 'bn@ksk.by', 'info@ksk.by', 'opt@ksk.by']","['+375232241985', '+375232242466', '+375232347735', '+375445252694', '+375445252695', '+375445252696', '+375445252780', '+375445252782', '+375447462222']",26-11-2025 19:18:26
3,камеры купить,149,https://7video.by,"В каталоге представлены камеры видеонаблюдения от ведущих мировых производителей. Вы можете ознакомится с фотографиями, описанием товаров, отзывами покупателей, техническими характеристиками, а также сравнить понравившиеся вам модели и выбрать лучшею стоимость. Для того что бы купить камеру видеонаблюдения в Минске, достаточно оформить заявку на сайте или связаться с нами по телефону +375 (44) 782-47-73.",yandex,"['info@7video.by', 'zakaz@7video.by']","['+375296014532', '+375447398594', '+375447816659']",26-11-2025 19:18:26
3,камеры купить,149,https://bezopasno.by,,yandex,"['info@bezopasno.by', 'zakaz@bezopasno.by']","['+375173367799', '+375293367799']",26-11-2025 19:18:26
3,камеры купить,149,https://fototeh.by,"1. Профессиональные видеокамеры : Идеальное решение для видеографов, работающих в киноиндустрии, телевидении или рекламе. Эти камеры обеспечивают высочайшее качество видео, широкие возможности настройки и возможность использования различных объективов.",yandex,['fototeh.by@yandex.ru'],"['+375173550035', '+375256559077']",26-11-2025 19:18:26
