user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить столешница от производителя,149,https://belplit.by,Купить столешницу в Минске отличного качество под заказ. Столешницы постформинг для кухни по низким ценам.,yandex,['belinterplit@mail.ru'],"['+375172424512', '+375173739513', '+375291361993']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://c-s.by,"Центр столешниц - столешницы и стеновые панели от ведущих производителей. ООО ""Центр столешниц"" является официальным дилером Juan в Беларуси.",yandex,['info@juan.by'],"['+375175093864', '+375256653355', '+375296653355', '+375297452466']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://worktops.by,,yandex,['info@worktops.by'],"['+375256677261', '+375296677061', '+375336677261']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://xn--90acfc8aqo.xn--90ais,"Столешницы и стеновые панели от российского производителя: европейское качество, уникальный дизайн.",yandex,"['3455ffeaa51d45e1814ac3e07c1ce079@prom-errors.evo.run', 'minsk@mebdvor.by', 'support@deal.by']","['+375172571000', '+375173889484', '+375294911911', '+375295939393', '+375447939388']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://hlz.by,,yandex,"['can@hgp.by', 'info@hlz.by', 'info@site.ru', 'poa@hgp.by', 'raspil@hlz.by', 'trum@hlz.by']","['+375173199000', '+375291679323', '+375293099323', '+375293189000', '+375293199900', '+375293200902', '+375293312323', '+375293359323', '+375293639323', '+375293700909', '+375293755092', '+375293800909', '+375293839323', '+375296179323', '+375296309323', '+375296399323', '+375296479323', '+375296608353', '+375296839323', '+375333190090']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://kortex.by,Предлагаем широкий размерный ряд и ассортимент кухонных столешниц.,yandex,['brest@kortex.by'],"['+375162581411', '+375295081411', '+375445081411']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://pan-invest.com,"При выборе столешницы для кухни возникает вопрос: какому материалу отдать предпочтение? Существует множество вариантов: натуральный и искусственный камень, массив, пластик и др. Однако наибольшей популярностью пользуются столешницы из постформинга. В основе столешниц (плиты постформинг) находится древесностружечная плита, имеющая класс гигиены Е-1 и толщину 28 и 38 мм.",yandex,['zakaz@pan-invest.com'],"['+375175490331', '+375175490332', '+375175490335', '+375175490351']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://tibmebel.by,Фабрика столешниц КЕДР производит столешницы на основе высококачественной ДСП в соответствии с современными тенденциями мебельной индустрии. В коллекции пластиков представлены различные вариации: от совершенных имитаций камня и древесины до модных декоративных решений и вечной классики.,yandex,"['elena.v@tibmebel.by', 'info@tibmebel.by']","['+375163678031', '+375297231016', '+375447168831']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://vikart.by,,yandex,['vikartby@gmail.com'],['+375445650373'],03-10-2025 09:57:56
3,купить столешница от производителя,149,https://gsk-stone.by,,yandex,"['office@gsk-stone.by', 'salon@gsk-stone.by']","['+375173644615', '+375291185445', '+375296066488']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://belarus-mebel.by,"60-мм столешницы повышенной влагостойкости в России и Беларуси на сегодняшний день представлены только продукцией компании СКИФ. Презентабельность, качество и повышенная стойкость от механических повреждений, температурного воздействия, стирания, солнечных лучей и бытовой химии ставят продукцию СКИФ в один ряд с ведущими мировыми производителями мебельной фурнитуры.",yandex,['info@belarus-mebel.by'],"['+375293023522', '+375336371623']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://samani.by,,yandex,['mebel@samani.by'],"['+375257687173', '+375291010050', '+375291344931', '+375291540016', '+375291797181', '+375292656512', '+375293322285', '+375293390350', '+375295773259', '+375296010888', '+375296269555', '+375296552121', '+375296626565', '+375296639380', '+375296648484', '+375296669415', '+375296820467', '+375296820477', '+375297293290', '+375297870277', '+375297876942', '+375298233303', '+375299233386', '+375333162285', '+375333668666', '+375333848470', '+375336133333', '+375336853408', '+375336889666', '+375336916442', '+375336943412', '+375444775080', '+375445773259', '+375447267438', '+375447644888']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://detop.by,"Cобственное производство столешниц, подоконников и барных стоек открыто!",yandex,['info@detop.by'],"['+375295637158', '+375447720243', '+74137360692', '+74244982616', '+74271607659']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://vm-style.by,Барная столешница от компании «ВМ-Стиль Бел» будет выполнена из акрилового искусственного камня или кварцевого агломерата.,yandex,"['adm@vm-style.by', 'info@vm-style.by']","['+375291746922', '+375296209904']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://konstruktor.by,,yandex,['info@konstruktor.by'],"['+375162532888', '+375297207040', '+375298331040', '+375333316273']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://mebelny-shchit.by,,yandex,['mebelny-shchit@yandex.by'],"['+375296770860', '+375296770870', '+375296770894', '+375296770899', '+79999999999']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://major-stone.by,,yandex,['info@major-stone.by'],"['+375296367703', '+375296367707']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://hpl.by,"Поэтому чтобы придать кромке иной цвет, производителю необходимо ее прокрасить, отсюда и повышение цены. Кромку можно выкрасить в любой другой цвет, но завод принимает такие заказы только в случае гигантского объема. Зависит это от стоимости самого процесса, или от неоправданных трудозатрат. МЫ осуществляем продажу Компакт-плит частями а так же целыми листами. Все декоры Компакт-плит от производителя доступны в нашем каталоге HPL Компакт — плита Arcobaleno.",yandex,['kompaktbel@mail.ru'],"['+375172248372', '+375291580984', '+375291580985']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://extradrev.by,"С другой стороны, столешница из сращенного дуба напоминает по текстуре паркет, благодаря чему она также обладает особым шармом. Сращивание ламелей позволяет создать оригинальный рисунок, который придаст интерьеру динамичность и индивидуальность. Если вы хотите столешницу из дуба купить, но предпочитаете более современный и интересный дизайн, сращенная столешница станет отличным выбором.",yandex,['exdrev18@mail.ru'],['+375447009898'],03-10-2025 09:57:56
3,купить столешница от производителя,149,https://spk.by,,yandex,"['info@spk.by', 'zakaz@spk.by']","['+375291091581', '+375293938465']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://postform.by,"Что за компакт-плита? Безо всяких сомнений, сегодня это самый ТОПовый материал на рынке столешниц. Тонкий, как коробок спичек и на столько прочный, что на нём можно разделывать топором свиную тушку, а после, как ни в чём не бывало, смахнуть тряпочкой костную пыль и, глядя в свое отражение, поправить макияж. Ультратонкий.",yandex,['postform@list.ru'],"['+375293434536', '+375297102409']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://proraspil.by,,yandex,['proraspil.minsk@mail.ru'],"['+375296336044', '+375333426044']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://lesopt.by,,yandex,['info@lesopt.by'],"['+375291994807', '+375296353888']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://starstone.by,"Производство моек и столешниц из искусственного камня. В нашей компании Вы можете купить готовую мойку для ванной или кухни, а также заказать изготовление столешницы из искусственного камня или мойки по собственному чертежу или воспользоваться услугами дизайнеров компании. Наша компания имеет собственный оборудованный цех.",yandex,"['7001690@mail.ru', 'info@starstone.by', 'olgakazak@starstone.by']","['+375296450877', '+375447301690']",03-10-2025 09:57:56
3,купить столешница от производителя,149,https://anrex.by,Столешница 100 L. Цвет БЕТОН ЧЕРНЫЙ.,yandex,"['anrex-ekb@mail.ru', 'anrex.orel@mail.ru', 'anrex26@mail.ru', 'anrex@anrex.info', 'anrexsibir@mail.ru', 'brw_samara2009@mail.ru', 'dobromebel-manager@mail.ru', 'galoksdv@mail.ru', 'ideamebel@gmail.com', 'info@anrex.by', 'marketing@anrex.by', 'marketing_dir@eml.kz', 'moscow@anrex.info', 'reclamation@anrex.by', 's.kirillov@anrex.info', 'sales@anrex.by', 'supply@anrex.by']","['+375162301707', '+375162301710', '+375162301712', '+375162301713', '+375292331295', '+375296104433', '+375333512599', '+73432718100', '+73433010380', '+73832143784', '+74212476057', '+74950094321', '+77051299105', '+77772224566', '+78003331976', '+78005553017', '+78469723038', '+78652563158', '+78652565066', '+79090215429', '+79139284156', '+79200916619', '+79208106543', '+79379993560', '+79616225289', '+79787427761', '+79787427763', '+79851279220']",03-10-2025 09:57:56
