user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,кабели от производителя в новосибирске,225,https://nkz-nsk.ru,Кабели силовые КОД ОКП 35 0000. Продукция предназначена для транспортировки и распределения электроэнергии в стационарных установках на объектах капитального строительства.,yandex,"['antropov@nkz-nsk.ru', 'brezhnev@nkz-nsk.ru', 'filenko@nkz-nsk.ru', 'hohlov_a@nkz-nsk.ru', 'moshkina@nkz-nsk.ru', 'nikonenko@nkz-nsk.ru', 'rakov@nkz-nsk.ru', 'rybalko@nkz-nsk.ru', 'sale@nkz-nsk.ru', 'sales@nkz-nsk.ru']","['+73832858098', '+73832858099']",01-10-2025 18:28:11
3,кабели от производителя в новосибирске,225,https://xn----8sbdqwjbq1a0j.xn--p1ai,"Кабель КГ расшифровывается как «Кабель Гибкий», и применяется при подключении подвижных устройств к силовым сетям переменного тока до 660 В, частотой 50 Гц, либо постоянного тока до 1000 В. Благодаря комбинации гибких марок резины и многопроволочных составных жил – вынослив к множественным динамическим изгибам на протяжении всего срока службы.",yandex,"['info@мос-кабель.рф', 'zakaz@mscable.ru']","['+73022383417', '+73412209843', '+73422252397', '+73433025813', '+73452519176', '+73472259831', '+73496413493', '+73512258957', '+73522509176', '+73532793662', '+73812994251', '+73822975045', '+73833120613', '+73842233980', '+73852595715', '+73919890352', '+73952199259', '+74012988753', '+74112505865', '+74162229674', '+74212902468', '+74232062814', '+74712442543', '+74722429189', '+74732628764', '+74742547984', '+74752503984', '+74812515869', '+74822223913', '+74832446492', '+74842908136', '+74852606591', '+74862221359', '+74872516310', '+74912575871', '+74932245781', '+74993400239', '+78003025006', '+78126285617', '+78152632460', '+78312354529', '+78332204729', '+78342229875', '+78352329208', '+78412509513', '+78422315765', '+78432073278', '+78442685960', '+78462152453', '+78512992982', '+78612048698', '+78622794148', '+78633093824', '+78652595365', '+78672289689']",01-10-2025 18:28:11
3,кабели от производителя в новосибирске,225,https://cable.ru,,yandex,"['press@cable.ru', 'zakaz+981823@cable.ru', 'zakaz@cable.ru']","['+74991134305', '+78003331148', '+79710008385']",01-10-2025 18:28:11
3,кабели от производителя в новосибирске,225,https://zskab.ru,"Новосибирский завод силовой кабель - производитель кабеля и провода ВВГ, КВВГ ПуВ, ПуГВ, ПВС. Самые низкие цены в Новосибирске и России - доставка в любой город России, Казахстана и республики Беларусь.",yandex,"['info@zskab.ru', 'manager1@zskab.ru', 'manager2@zskab.ru']",['+73833600100'],01-10-2025 18:28:11
3,кабели от производителя в новосибирске,225,https://tpk-parma.ru,,yandex,"['buh@tpk-parma.ru', 'zakaz@tpk-parma.ru']","['+78007758790', '+78352201090', '+79530159761']",01-10-2025 18:28:11
3,кабели от производителя в новосибирске,225,https://xn----mtbicld2a.xn--p1ai,Кабели силовые КОД ОКП 35 0000. Продукция предназначена для транспортировки и распределения электроэнергии в стационарных установках на объектах капитального строительства.,yandex,"['antropov@nkz-nsk.ru', 'brezhnev@nkz-nsk.ru', 'filenko@nkz-nsk.ru', 'hohlov_a@nkz-nsk.ru', 'moshkina@nkz-nsk.ru', 'nikonenko@nkz-nsk.ru', 'rakov@nkz-nsk.ru', 'rybalko@nkz-nsk.ru', 'sale@nkz-nsk.ru', 'sales@nkz-nsk.ru']","['+73832858098', '+73832858099']",01-10-2025 18:28:11
3,кабели от производителя в новосибирске,225,https://akademkab.ru,"Купить их оптом, бухтами или метражом вы можете либо напрямую с нашего собственного склада в Новосибирске (2,5 тыс. м²), либо воспользовавшись интернет-магазином. Всего в ассортименте представлено более 500 наименований кабельно-проводниковой продукции, в наличии и под заказ. Текущий статус товара указан на сайте в разделе «Каталог» под карточкой изделия. Вашему вниманию по выгодным ценам за метр, напрямую от производителя предлагаются высоковольтные электрические кабеля и провода для организации...",yandex,"['1105@akademkab.ru', '1114@akademkab.ru', '1118@akademkab.ru', '1121@akademkab.ru', '1123@akademkab.ru', '1200@akademkab.ru', 'info@akademkab.ru']","['+73833632863', '+73833635700', '+73833635800', '+73833733120', '+79139172601', '+79139172608', '+79835103862', '+79999999999']",01-10-2025 18:28:11
3,кабели от производителя в новосибирске,225,https://rus-kab.ru,Силовые кабели и провода с пластмассовой или резиновой изоляцией и оболочкой.,yandex,"['contact@rus-kab.ru', 'trade@rus-kab.ru']",['+73433102033'],01-10-2025 18:28:11
3,кабели от производителя в новосибирске,225,https://zaokomplekt.ru,Где купить кабель в Новосибирске: надежный выбор для бизнеса и строительства.,yandex,['komplekt-nsk@mail.ru'],"['+73833479738', '+78002007539']",01-10-2025 18:28:11
3,кабели от производителя в новосибирске,225,https://prosvet54.ru,,yandex,"['m1@sibsvet.com', 'm3@sibsvet.com', 'm4@sibsvet.com', 'm6@sibsvet.com', 'm7@sibsvet.com', 'm8@sibsvet.com', 'max@sibsvet.com', 'roman@sibsvet.com']","['+73832092135', '+73832093870', '+73832143359', '+73832257913', '+73832362169', '+73832869111', '+73832991032', '+73833370022', '+73833478515', '+73833478588', '+73833492660', '+73833631219', '+79130079111']",01-10-2025 18:28:11
3,кабели от производителя в новосибирске,225,https://elektrika-ok.ru,"Купить в Новосибирске по оптовой цене силовой кабель. Доставка по России. Кабельно-проводниковая продукция в ассортименте: бронированный, контрольный, СИП, неизолированный провод, сигнальный. декоративная ретро-проводка.",yandex,"['info@elektrika54.site', 'mag@elektrika-ok.ru']","['+73833284232', '+79139021426']",01-10-2025 18:28:11
3,кабели от производителя в новосибирске,225,https://megacable.ru,"Кабельные заводы и производители кабелей, проводов и силовой электроники в России и СНГ.",yandex,"['prom@megacable.ru', 'zakaz@megacable.ru']","['+74956460355', '+78003337279']",01-10-2025 18:28:11
3,кабели от производителя в новосибирске,225,https://rscable.ru,,yandex,['555metrov@rscable.ru'],['+74957108886'],01-10-2025 18:28:11
3,кабели от производителя в новосибирске,225,https://ltsun.ru,"Силовой кабель в новосибирске. Компания «Кабельная База», является лидером по запасам и объёмам реализуемой кабельной продукции. Наши специалисты собрали огромные запасы редких и заказных позиций, которые идут на подключении самого современного и индивидуального оборудования.",yandex,['info@ltsun.ru'],['+78007077702'],01-10-2025 18:28:11
