user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить шкаф,149,https://bestmebelshop.by,,yandex,['sale@bestmebelshop.ru'],['+375257535704'],26-11-2025 19:27:38
3,купить шкаф,149,https://mebio.by,"Распашные шкафы в «Мебио»: от платяных и книжных до пеналов и антресолей. Купить отдельный распашной шкаф, дополнить готовый гарнитур парой модулей или собрать свой комплект — в интернет-магазине mebio.by возможно все.",yandex,['info@mebio.by'],"['+375336575971', '+375445254369', '+375447656501']",26-11-2025 19:27:38
3,купить шкаф,149,https://amihome.by,"У нас вы можете выбрать и купить любые наборы корпусной мебели, начиная от комода или прикроватной тумбочки, заканчивая функциональными комплектами мебели для спальни, кухни, прихожей. Корпусная мебель изготавливается из разных материалов помимо хорошо известных ДСП и МДФ.",yandex,['sales@amihome.by'],['+375163651713'],26-11-2025 19:27:38
3,купить шкаф,149,https://pinskdrev.by,Шкафы для одежды. Каталог Пинскдрев в Беларуси.,yandex,"['armada.pinskdrev@yandex.ru', 'belinichi.pinskdrev@mail.ru', 'bobr.pinsk@yandex.ru', 'box@pinskdrev.by', 'deinak_s@pinskdrev.by', 'gorki.pinsk@yandex.ru', 'grodno@pinskdrev.by', 'ignatovets@td.pinskdrev.by', 'kpinskdrev@rambler.ru', 'marchik@td.pinskdrev.by', 'mogilev@pinskdrev.by', 'mstislavl.pinsdrev@mail.ru', 'osipovichipinskdrev@mail.ru', 'pfo@pinskdrev.by', 'pinsk@pinskdrev.by', 'pinskdrev.derzhinskogo@yandex.by', 'pinskdrev.krichev@mail.ru', 'pinskdrevpushkina1@mail.ru', 'pinskm1@mail.ru', 'plywood@pinskdrev.by', 'priem@pinskdrev.by', 'promotion@pinskdrev.by', 'question@pinskdrev.by', 'reklama@pinskdrev.by', 'rigus_93@mail.ru', 'sbytdsp@pinskdrev.by', 'shklov.pinskdrev@mail.ru', 'simonova.pinsk@yandex.ru', 'sovetska2b@mail.ru', 'uptk@pinskdrev.by', 'utk@pinskdrev.by', 'vitebsk@pinskdrev.by']","['+375151220884', '+375151472281', '+375152443032', '+375152443034', '+375152443036', '+375152569796', '+375152606556', '+375152713548', '+375152960598', '+375154533705', '+375154607450', '+375154652670', '+375156250946', '+375159133413', '+375159371281', '+375159745296', '+375162528285', '+375162932070', '+375163607198', '+375163676850', '+375164722730', '+375165301212', '+375165316512', '+375165366131', '+375165562629', '+375165616568', '+375165622058', '+375165637586', '+375165640080', '+375165640641', '+375165647083', '+375165647599', '+375165649961', '+375165651142', '+375165651357', '+375165651640', '+375165651945', '+375165653494', '+375165655270', '+375165656415', '+375165659276', '+375171361252', '+375171361323', '+375171771278', '+375173477242', '+375173621837', '+375173621841', '+375173674530', '+375174235857', '+375175127014', '+375175516200', '+375176746144', '+375177566878', '+375177951503', '+375212220376', '+375212226026', '+375222630532', '+375222640352', '+375222642853', '+375222796039', '+375233946632', '+375234257040', '+375291059660', '+375291151850', '+375291416948', '+375291545860', '+375291559556', '+375291579177', '+375291991095', '+375293178819', '+375293271655', '+375293298814', '+375293513841', '+375293576057', '+375293643122', '+375296022786', '+375296028726', '+375296055757', '+375296069728', '+375296144283', '+375296228407', '+375296574629', '+375296924057', '+375296924089', '+375297575765', '+375297581435', '+375297606139', '+375297609833', '+375297616625', '+375297623184', '+375298055757', '+375333368214', '+375333368982', '+375445342813', '+375445342821', '+375445416407', '+375445416415', '+375445416418', '+375445416423', '+375445525514', '+375445534403', '+375445656116', '+375445656295', '+375445656349', '+375445684952', '+375445688653', '+375445723348', '+375445736429', '+375445788400', '+375445818933', '+375445818935', '+375445851574', '+375445933555', '+375445957211', '+375445959910', '+375447164721', '+375447213056', '+375447367571', '+375447368629', '+375447440237', '+375447440257', '+375447507460', '+375447510661', '+375447514007', '+375447528901', '+375447778389', '+375447878190', '+375447956560', '+375447995190']",26-11-2025 19:27:38
3,купить шкаф,149,https://mebelblizko.by,В интернет-магазине mebelblizko.by можно купить шкаф в Минске. Выгодные цены на шкафы. Доставка по РБ. Рассрочка. Звоните: +375 (44) 463-70-50.,yandex,['manager@mebelblizko.by'],"['+375336368515', '+375444637050']",26-11-2025 19:27:38
3,купить шкаф,149,https://newton.by,Шкафы Вы можете купить в Минске по доступной цене в нашем интернет-магазине NEWTON.BY.,yandex,['info@newton.by'],"['+375292670666', '+375292744445', '+375293444445', '+375296062003', '+375296149351', '+375296185792', '+375296488030', '+375296692929']",26-11-2025 19:27:38
3,купить шкаф,149,https://mebel-online.by,"Шкафы-купе с доставкой по Беларуси в интернет-магазине Мебель-Online. Широкий ассортимент, выгодные цены, оперативная доставка.",yandex,['belmeb-minsk@yandex.by'],"['+375297663656', '+375447665583']",26-11-2025 19:27:38
3,купить шкаф,149,https://mystar.by,,yandex,"['pit@idrev.by', 'sales@mystar.by']","['+375164535505', '+375164592482', '+375291228282', '+375333448281', '+375336199053', '+375339915229', '+375445883720', '+375447999658']",26-11-2025 19:27:38
3,купить шкаф,149,https://nm-shop.by,Двухдверные шкафы Двухдверные шкафы. Шкаф в детскую с мягкой обивкой.,yandex,['info@nm-shop.by'],"['+375292433871', '+375295898908', '+375296433871']",26-11-2025 19:27:38
3,купить шкаф,149,https://7mebel.by,,yandex,"['7mebel@inbox.ru', '7mebeladm@gmail.com']","['+375292976602', '+375296240479']",26-11-2025 19:27:38
