user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,окна купить,149,https://magazinokon.by,"Готовые окна для вашего дома, дачи в Интернет-магазине ""Магазин окон"". Все окна уже изготовлены и можно купить на складе или заказать доставку по Минску и области. Покупая готовое окно вы экономите время на изготовлении и деньги за счет установки.",yandex,['info@magazinokon.by'],"['+375295555528', '+375296355528', '+79123456789']",17-10-2025 10:39:18
3,окна купить,149,https://euroholl.by,"При покупке окна ПВХ, мы предоставляем гарантию на саму конструкцию и выполненные работы.",yandex,['marketing@euroholl.by'],"['+375293052855', '+375293542060', '+375293859091', '+375333542060', '+375445730238']",17-10-2025 10:39:18
3,окна купить,149,https://pvhokna.by,"Не упустите возможность купить окна ПВХ в Минске без дополнительных наценок и переплат. Обращайтесь в компанию «Минский оконный завод». Изготовим, доставим и установим стеклопакеты любых размеров, форм, конструкций и конфигураций в кратчайшие сроки, недорого, с гарантией.",yandex,"['info@pvhokna.by', 'pvhokna.by@mail.ru']","['+375173605600', '+375296650765', '+375297490465']",17-10-2025 10:39:18
3,окна купить,149,https://oknaplast.by,Почему профессионалы рекомендуют покупать пластиковые окна Rehau? Как изготавливают качественные окна ПВХ.,yandex,['info@oknaplast.by'],"['+375292786958', '+375447386958']",17-10-2025 10:39:18
3,окна купить,149,https://okna-torg.by,"Наличие собственного магазина позволяет приглашать клиентов. Адрес: Минск пр-т Дзержинского,115 к.1. Купить готовые окна со склада - способ получить качественное изделие по низкой стоимости у надежного белорусского производителя!",yandex,['info@okna-torg.by'],"['+375293138042', '+375336768768']",17-10-2025 10:39:18
3,окна купить,149,https://orbita.by,,yandex,['info@orbita.by'],"['+375173181717', '+375173381717', '+375293201777', '+375296881717']",17-10-2025 10:39:18
3,окна купить,149,https://oknalad.by,"В данном разделе сайта Вы можете выбрать и купить готовые окна ПВХ со склада в Минске дешево. Если Вы не нашли ни чего подходящего, можно заказать пластиковое окно под ваши размеры и с нужной комплектацией. Срок изготовления 3 рабочих дня!",yandex,['info@oknalad.by'],"['+375173980068', '+375295732105', '+375447107599']",17-10-2025 10:39:18
3,окна купить,149,https://fortochka.by,Окна ПВХ Балконы и лоджии Окна для дачи Окна для частных домов Межкомнатные двери Входные двери.,yandex,['salon@fortochka.by'],"['+375292150150', '+375297500004', '+375333500450', '+375336501650', '+375336662754']",17-10-2025 10:39:18
3,окна купить,149,https://ikomfort.by,продажа и монтаж окон ПВХ.,yandex,['btm20@inbox.ru'],"['+375173006092', '+375291443322', '+375296628022', '+375296768767', '+375336168022']",17-10-2025 10:39:18
3,окна купить,149,https://okna7.by,Лучшая цена! С окнами покупают,yandex,['okna@okna7.by'],['+375298445344'],17-10-2025 10:39:18
