user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,материнская плата mini-itx купить,149,https://dns-shop.by,"Купить Материнские платы Mini-ITX по самым выгодным ценам в интернет-магазине DNS. Широкий выбор товаров и акций. В каталоге можно ознакомиться с ценами, отзывами, фотографиями и подробными характеристиками товаров, а также подобрать Материнские платы Mini-ITX по параметрам.",yandex,['feedback@dns-shop.by'],"['+375172344265', '+375172411629', '+375172725346']",30-09-2025 22:26:33
3,материнская плата mini-itx купить,149,https://1k.by,Компьютерная техника Материнские платы Материнские платы mini-ITX.,yandex,"['admin@1k.by', 'alena@1k.by', 'info@1k.by']","['+375172180082', '+375172979488', '+375173737456', '+375173743973', '+375291466000', '+375297036699']",30-09-2025 22:26:33
3,материнская плата mini-itx купить,149,https://ipc2u.by,"Материнские платы Mini-ITX 8(017)270-33-00 - IPC2U.BY. Гарантия сроков поставки, техническая и информационная поддержка.",yandex,['imc@ipc2u.by'],"['+375172703300', '+375293195265']",30-09-2025 22:26:33
3,материнская плата mini-itx купить,149,https://t-automation.by,"Главная/Каталог/Встраиваемые системы/Материнские платы/Платы Mini-ITX. Mini-ITX — стандартный форм-фактор, регламентирующий формат компактных материнских плат. В зависимости от предназначения применяются чипсеты AMD и Intel, что позволяет использовать эти решения в самых различных сферах, от терминалов и «тонких» клиентов до мультимедийных и телекоммуникационных приложений.",yandex,['info@t-automation.by'],"['+375173560990', '+375173560995']",30-09-2025 22:26:33
3,материнская плата mini-itx купить,149,https://24shop.by,,yandex,"['info@24shop.by', 'service@24shop.by']","['+375172180175', '+375255245555', '+375295245555', '+375296246666', '+375296685442']",30-09-2025 22:26:33
3,материнская плата mini-itx купить,149,https://markit.by,,yandex,['beznal.markit.by@yandex.by'],"['+375173220307', '+375291331111', '+375292539923', '+375445843444']",30-09-2025 22:26:33
3,материнская плата mini-itx купить,149,https://i-on.by,купить Материнская плата ASRock J5040-ITX.,yandex,['ion.mogilev@gmail.com'],"['+375222246088', '+375293923920', '+375333923920']",30-09-2025 22:26:33
3,материнская плата mini-itx купить,149,https://xcom-shop.ru,,yandex,['rar@xcom.ru'],"['+74957999669', '+78127401110']",30-09-2025 22:26:33
3,материнская плата mini-itx купить,149,https://price.ru,"Чтобы купить Материнские платы mini itx, изучите предложения в каталоге или нажмите на кнопку «Сравнить цены» для перехода к детальной информации о товаре (цены, отзывы, фото, характеристики, оплаты и доставки).",yandex,"['press@s8.capital', 'support@price-team.ru']","['+74959569007', '+78001002348']",30-09-2025 22:26:33
3,материнская плата mini-itx купить,149,https://micro-line.ru,"Материнские платы MINI-ITX - продажа по низким ценам в Крыму, Севастополе, Симферополе, Феодосии, Евпатории, Джанкое с доставкой в интернет-магазине Микролайн.",yandex,['e-shop@micro-line.ru'],"['+73652777356', '+78007751356', '+78612051481', '+78633033071', '+79780907786', '+79781000259']",30-09-2025 22:26:33
3,материнская плата mini-itx купить,149,https://shop.kz,,yandex,"['name@example.ru', 'shop@shop.kz']","['+73022294635', '+73363932766', '+73426587292', '+73436633232', '+73439625586', '+73454028573', '+73462723648', '+73468230944', '+73470097411', '+73471467705', '+73477109650', '+73492839265', '+73516775870', '+73522814883', '+73522982857', '+73527979930', '+73650211263', '+73657430131', '+73827352033', '+73840548683', '+73858247616', '+73859789541', '+73884031609', '+74015921579', '+74018813848', '+74118205837', '+74139367713', '+74150788822', '+74156208266', '+74157094675', '+74212158851', '+74236991747', '+74266345171', '+77212910111', '+77212910808', '+77212911555']",30-09-2025 22:26:33
3,материнская плата mini-itx купить,149,https://r-tech.by,Главная > Каталог > Комплектующие для ПК > Материнские платы > Mini-ITX.,yandex,['info@r-tech.by'],"['+375173070996', '+375296429051', '+375296432714']",30-09-2025 22:26:33
3,материнская плата mini-itx купить,149,https://forcecom.kz,"Почему стоит купить материнскую плату Mini-ITX именно у нас? Широкий выбор и разнообразие: мы предлагаем множество материнских плат форм-фактора Mini-ITX от надёжных производителей, чтобы вы могли подобрать оптимальный вариант для себя; Гарантия качества и надежность предлагаемых моделей",yandex,['info@forcecom.kz'],"['+77273187565', '+77772353030']",30-09-2025 22:26:33
