user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,стулья офисные купить,149,https://ksk.by,"Каталог компьютерных и офисных кресел в интернет-магазине KSK. Низкие цены. Доставка по Гомелю и регионам Беларуси. Наличный, безналичный расчет.",yandex,"['1000@ksk.by', '100@ksk.by', '101@ksk.by', '102@ksk.by', '103@ksk.by', '1056@ksk.by', '19@ksk.by', '33@ksk.by', '55@ksk.by', '801@ksk.by', '99@ksk.by', 'bn@ksk.by', 'info@ksk.by', 'opt@ksk.by']","['+375232241985', '+375232242466', '+375232347735', '+375445252694', '+375445252695', '+375445252696', '+375445252780', '+375445252782', '+375447462222']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://1k.by,,yandex,"['admin@1k.by', 'alena@1k.by', 'info@1k.by']","['+375172180082', '+375172979488', '+375173737456', '+375173743973', '+375291466000', '+375297036699']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://oma.by,"Вы можете приобрести Кресла, стулья в магазинах компании ОМА в Минске, Гомеле, Витебске, Могилёве, Гродно, Бресте с доставкой в ЛЮБОЙ город Беларуси..",yandex,"['brak@oma.by', 'ooo@oma.by']","['+375173301000', '+375173301010', '+375447778203']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://akshome.by,"Если бюджет ограничен, купить стулья для офиса недорого вполне реально. В магазине AksHome в Минске представлен большой ассортимент офисных стульев — от простых и надёжных решений до премиальных кресел, подчеркивающих статус.",yandex,"['opt@akshome.by', 'reclamation@aks.by', 'zakaz@akshome.by']","['+375162210465', '+375162539928', '+375291357511', '+375291530063', '+375291804706', '+375291804712', '+375293707878', '+375295386130', '+375295905956', '+375297627529', '+375297634122', '+375333707878', '+375333774699', '+375445006688', '+375445147211', '+375445147234', '+375445327095', '+375445445080']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://mrd.by,,yandex,"['info@manroad.by', 'store@manroad.by']","['+375173904295', '+375173992810', '+375333192810', '+375445006000']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://ami.by,"Современные технологии позволяют выпускать офисные стулья и кресла с разными регулируемыми настройками и механизмами: можно менять высоту стула или подлокотников, подстраивать под себя положение спинки.",yandex,"['antonovich@laguna.by', 'credit@laguna.by', 'export@laguna.by', 'info@laguna.by', 'vp@laguna.by']","['+375163402907', '+375163424289', '+375163425300', '+375163456181', '+375291995878', '+375293153364', '+375293651567', '+375333334042', '+375333707096', '+375333707288', '+375333707694', '+375333707718', '+375336044376', '+375336602572', '+375336603420', '+375445427323', '+375445535209', '+375445680827', '+375445886714', '+375445997629', '+375447330728']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://divan.by,,yandex,"['e08d010f719d91c655fffa1410a73c2f@sentry.divlab.tech', 'love@divan.by']","['+375296686644', '+375336686644']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://amihome.by,,yandex,['sales@amihome.by'],['+375163651713'],27-11-2025 00:02:22
3,стулья офисные купить,149,https://savish.by,"Кресло простое, и оно удобно в использовании: механизм трансформации позволяет подстраивать его под особенные предпочтения пользователя, эргономичные формы составных элементов этого офисного кресла удерживают физиологически правильное положение тела в любой позиции, высота сидения варьируется в пределах 13 см. Ролики операторского кресла имеют функцию самоторможения...",yandex,['info@savish.by'],"['+375173735885', '+375292815815', '+375296815814']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://tm.by,Офисные кресла и стулья играют приоритетную роль в обеспечении комфортной работы.,yandex,['info@tm.by'],"['+375173169699', '+375256689699', '+375259659699', '+375293659699', '+375296689699', '+375333659699', '+375336689699']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://mirkresel.by,,yandex,['info@mirkresel.by'],"['+375172353511', '+375172353512', '+375296123839', '+375297123839']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://newton.by,Офисные кресла и стулья Вы можете купить в Минске по доступной цене в нашем интернет-магазине NEWTON.BY.,yandex,['info@newton.by'],"['+375292670666', '+375292744445', '+375293444445', '+375296062003', '+375296149351', '+375296185792', '+375296488030', '+375296692929']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://pates.by,"Относится к покупке офисных кресел, да и в целом к офисной мебели - надо с позиции, что это также имидж компании.",yandex,['patessi@yandex.by'],"['+375173968015', '+375291357725', '+375295698315']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://bestmebelshop.by,Недорогие офисные компьютерные кресла с бесплатной доставкой в Минске! Каталог кресел для офиса от известных производителей.,yandex,['sale@bestmebelshop.ru'],"['+375257535704', '+79999999999']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://vamrad.by,"Офисные кресла и стулья от мебельного магазина «ВамРад». В каталоге представлен большой выбор мебели по низким ценам. Магазины расположены в Бресте, Пинске, Кобрине. Мебели в наличии, большие склады!",yandex,['info@vamrad.by'],"['+375292222141', '+375292222150', '+375292222151', '+375292222741', '+375298867713']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://obt.by,"Крайне важно, чтобы офисные стулья или кресла от производителя были качественными и удобными, так как это гарантирует каждому сотруднику комфортные условия для работы, высокую продуктивность.",yandex,['biznestorg@tut.by'],"['+375172946373', '+375293250918']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://officetonmarket.by,"Купить компьютерное кресло в Минске можно в Офистон маркет! Благодаря рекомендациям и советам от Офистон маркет вы сможете подобрать нужный вариант офисного кресла или стула как самостоятельно, так и задав грамотные вопросы консультирующему сотруднику.",yandex,['info@officeton.by'],"['+375173601094', '+375173885959', '+375173885988', '+375293897254', '+375333897262']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://ko-mod.by,"Например, офисные кресла для персонала, для руководителя, стулья для посетителей.",yandex,['info@ko-mod.by'],"['+375232330033', '+375232330044', '+375232347735', '+375445703370']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://prointerier.by,,yandex,['profregion88@mail.ru'],"['+375222600555', '+375222732512', '+375291118639', '+375297456258']",27-11-2025 00:02:22
3,стулья офисные купить,149,https://clerk.by,"У нас вы можете купить офисное кресло в рассрочку до 6 месяцев. Мы знаем, насколько важно людям, чьи профессии связаны с длительным сохранением сидячего положения, поддерживать правильную осанку, поэтому специально подбираем ортопедические позиции, помогающие сохранять здоровье спины, поясницы, мышц шеи и позвоночника. В разделах нашего интернет-магазина вы найдете большое количество комплектующих для кресел и стульев.",yandex,['info@clerk.by'],"['+375172205076', '+375173740454', '+375293514550', '+375297514550']",27-11-2025 00:02:22
