user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,этикетка купить оптом,149,https://beloptovik.by,,yandex,['info@beloptovik.by'],['+375445556018'],27-11-2025 09:20:41
3,этикетка купить оптом,149,https://bm-market.by,"Термоэтикетки и полимерная упаковка в Минске от компании «БЕЛМАЕНТАК»: этикетки в рулоне, пакеты «Майка», пакеты с вырубной ручкой, биоразлагаемые (ЭКО) пакеты, фасовочные пакеты, пакеты под мусор и для упаковки.",yandex,['7535353@bk.ru'],['+375447535353'],27-11-2025 09:20:41
3,этикетка купить оптом,149,https://belalfaplus.by,"Информационная ценность: Самоклеящиеся этикетки позволяют передать важную информацию о продукте, такую как цена, состав, инструкции по использованию и другие детали. Они помогают покупателям принять осознанное решение о покупке и установить доверие к вашей компании. Простота использования: Самоклеящиеся этикетки легко наносятся на упаковку товаров и также легко снимаются без оставления следов.",yandex,['belalfaplus@gmail.com'],"['+375291410074', '+375291450038', '+375291450073']",27-11-2025 09:20:41
3,этикетка купить оптом,149,https://unipress.by,"Как заказать оптом самоклеющиеся этикетки? На нашем сайте unipress.by всегда в наличии этикет-ленты. Предлагаем данный вид продукции оптом для специализированных магазинов торгового оборудования, для реализации в розницу.",yandex,['info.unipress@gmail.com'],"['+375172709030', '+375175127704', '+375291661794', '+375296101929', '+375333942866']",27-11-2025 09:20:41
3,этикетка купить оптом,149,https://labelbel.by,Самоклеящаяся этикетки из материала ПОЛУГЛЯНЕЦ (25мм*17 мм.).,yandex,"['labelbel.info@gmail.com', 'labelbelbb@mail.ru']","['+375172820311', '+375293117776', '+375293807776', '+79145167415']",27-11-2025 09:20:41
3,этикетка купить оптом,149,https://pos.by,Принтер этикеток TSC TE 200.,yandex,['info@pos.by'],"['+375172570303', '+375172579199', '+375173881616', '+375296013020', '+375298350295']",27-11-2025 09:20:41
3,этикетка купить оптом,149,https://yudway.by,,yandex,"['//office@yudway.by', 'office@yudway.by']","['+375173360464', '+375173360465', '+375296666489', '+375336666492', '+375336666497']",27-11-2025 09:20:41
3,этикетка купить оптом,149,https://prodavan.by,"Термотрансферные этикетки – это специальные наклейки, которые печатаются с использованием термотрансферных принтеров.",yandex,['info@prodavan.by'],"['+375255016878', '+375293117292']",27-11-2025 09:20:41
3,этикетка купить оптом,149,https://gala-poly.by,"В работе мы используем полиэстер белого и черного цвета, цветной и белый сатин и нейлон, тафту, более десяти видов хлопка, киперную ленту, а также ленты для сувенирной продукции. Исходя из выбранного материала будет варьироваться стоимость конечного изделия. Вы хотите купить печатные этикетки в количестве от одной штуки в розницу и оптом?",yandex,['info@gala-poly.com'],['+375298285555'],27-11-2025 09:20:41
3,этикетка купить оптом,149,https://unimark.by,"Главные плюсы таких наклеек — функциональность и наглядность. Для того, чтобы вы могли выбрать идеальное решение для вашей задачи по маркировке и идентификации, необходимо выбрать этикетку конкретного материала, цвета, исполнения, адгезива и назначения. На нашем сайте представлен широкий выбор различных этикеток.",yandex,['info@unimark.by'],"['+375172504545', '+375295583030', '+375445583030']",27-11-2025 09:20:41
3,этикетка купить оптом,149,https://iteraplast.by,"1. Оставить заявку на Самоклеящиеся этикетки оптом. 2. Заявка действует бессрочно, поясняем, если вы оставили заявку под своим номером скидка для Вас сохраняется! 3. Менеджер перезвонит в течение часа и скажет цену со скидкой.",yandex,['iteraplast@gmail.com'],"['+375222715151', '+375222746688', '+375222876688', '+375291090998']",27-11-2025 09:20:41
3,этикетка купить оптом,149,https://vial.by,"Самоклеящиеся этикетки - это расходный материал, который используется для маркировки товаров и продуктов. Они имеют клейкую основу, которая позволяет легко наносить их на поверхность товара. Самоклеящиеся этикетки могут быть различных размеров, форм и цветов, что позволяет выбрать наиболее подходящие для конкретного товара.",yandex,"['brest@vial.by', 'ecr@ecr.by', 'gomel@vial.by', 'grodno@vial.by', 'info@vial.by', 'mogilev@vial.by', 'vitebsk@vial.by']","['+31536000000', '+375152603000', '+375162230888', '+375173880134', '+375212609609', '+375222733337', '+375232340000', '+375293810134', '+375295105555', '+375295555439', '+375295755557', '+375298888325', '+375333333016', '+375333333350', '+375333333358']",27-11-2025 09:20:41
