user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://septiki-spb.com,"Продажа и установка дешевых септиков в Санкт-Петербурге и Ленинградской области. Более 1200 моделей. монтаж септиков под ключ за 12ч. бесплатная доставка. бесплатный выезд инженера. оплата по факту. скидки пенсионерам. большой ассортимент септиков астра, топас, волгарь, зорде, евролос и многие другие. звоните !",yandex,['info@septiki-spb.com'],"['+78124678404', '+79317123895']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://septik-family.ru,Септики. На нашем сайте вы можете купить в Санкт-Петербурге подходящий по цене и функционалу септик от надёжных производителей.,yandex,['info@septik-family.ru'],"['+78122090178', '+78122091479']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://septik-servis-neva.ru,"продажа, монтаж, обслуживание и ремонт септиков.",yandex,['3426051@mail.ru'],"['+78003508214', '+78124251414']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://100septik.ru,"В нашем интернет-магазине вы можете купить септики для частного дома по выгодным ценам, с бесплатной доставкой и установкой «под ключ» в СПб и Лен. области. Мы предлагаем широкий выбор биостанций и различных моделей популярных производителей по выгодной цене со скидкой, напрямую от завода-изготовителя. Наша компания осуществляет продажу септиков как с монтажом и пуско-наладкой, так и без них — в зависимости от ваших потребностей. Мы доставляем септик для частных домов в Санкт-Петербурге...",yandex,['info@100septik.ru'],"['+77758777582', '+78129862202', '+79643773309']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://lenkanal.ru,"Компания «Ленканал» предлагает услуги по продаже, доставке и установке септиков в Санкт-Петербурге и Ленинградской области. У нас вы можете купить септик в СПб с установкой по выгодной цене.",yandex,['info@lenkanal.ru'],['+78124099630'],03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://happy-housespb.ru,Предлагаем купить септик под ключ по выгодной цене для дома или дачи в Санкт-Петербурге или Ленинградской области!,yandex,['info@happy-housespb.ru'],"['+79214087677', '+79587763939', '+79587763993']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://septiktopas-spb.ru,,yandex,['info@septiktopas-spb.ru'],['+78125619827'],03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://pvkshop.ru,,yandex,"['pvkshop.info@bk.ru', 'pvkshop@bk.ru']","['+78003008506', '+78127150891', '+78129920355']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://xn--80aabspdhdg5buo.xn--p1ai,Для владельцев загородного частного дома или дачи в Санкт-Петербурге и Ленинградской области эффективное решение проблемы канализации является важным вопросом.,yandex,['baikalseptik-sale@yandex.ru'],"['+78126025945', '+78216025945']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://3agorod.ru,,yandex,"['administrator@3agorod.ru', 'ekat@3agorod.ru', 'info@3agorod.ru', 'lubercy@3agorod.ru', 'moscow@3agorod.ru', 'psk@3agorod.ru']","['+73433579295', '+74951182136', '+74996775673', '+78002221659', '+78112702999', '+78124256469', '+78124267623']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://septiki-spb.shop,"В нашей компании можно купить септик без переплат в Санкт-Петербурге, который поставляется напрямую от производителя.",yandex,['info@septiki-spb.shop'],"['+78125093407', '+79315359080']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://tophouse.ru,"Септики, системы с отстойниками в доступе по выгодным ценам и с доставкой для жителей Санкт-Петербурга и Ленинградской области: Бокситогорск, Бугры, Волосово, Волхов, Всеволожск, Выборг, Высоцк, Гатчина, Ивангород, Каменногорск, Кингисепп, Кириши, Кировск, Колтуши, Коммунар, Кудрово, Лодейное Поле, Луга, Любань, Мурино, Никольское, Новая Ладога, Отрадное, Пикалёво, Подпорожье, Приморск, Приозерск, Светогорск, Сертолово, Сланцы, Сосновый Бор, Сясьстрой, Тельмана, Тихвин, Тосно, Шлиссельбург.",yandex,"['alekseev@tophouse.ru', 'eric@tophouse.ru', 'kaluzhskaya_msk@tophouse.ru', 'korzina@tophouse.ru', 'kozyurova@tophouse.ru', 'matveeva_d@tophouse.ru', 'moscow1@tophouse.ru', 'naumov@tophouse.ru', 'ostapenko@tophouse.ru', 'romanov@tophouse.ru', 'stroy@tophouse.ru', 'stroy_house53@mail.ru', 'suppliers@tophouse.ru', 'vidnoe_msk@tophouse.ru', 'yadovin@tophouse.ru', 'zorina@tophouse.ru']","['+74991130733', '+74991133035', '+74993434847', '+74993500373', '+74994990521', '+78122449501', '+78122449505', '+78122449507', '+78122449508', '+78122449514', '+78122449517', '+78122449522', '+78122449524', '+78122449525', '+78122449527', '+78122449528', '+78122449529', '+78122449530', '+78122449533', '+78122449535', '+78122449537', '+78122449540', '+78122449544', '+78122449546', '+78122449550', '+78162960227', '+79212067873', '+79213100078', '+79215789513', '+79219645154', '+79684083455', '+79934863595', '+79999999999']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://kupitseptik.com,Купить септик Гринлос Аква 3.,yandex,['zakaz@kupitseptik.com'],"['+78125076384', '+79999999999']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://septik-pod-klyuch.pro,"Накопительные септики в Санкт-Петербурге - на официальном сайте компании ""Топ Септик"". Купить с монтажом под ключ.",yandex,['mail@septik-pod-klyuch.pro'],['+73887526000'],03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://septikcity.ru,,yandex,"['info@topas.spb.ru', 'msk@septikcity.ru']","['+74951282567', '+79723165963']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://atseptik.ru,Забудьте заботы о водоотведении в вашем частном доме и купите септический резервуар с установкой под ключ - септик в Санкт-Петербурге.,yandex,['info@atseptik.ru'],['+78122431525'],03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://ekopromgroup.ru,"Купить пластиковый септик в Санкт-Петербурге можно на сайте «Экопром». Компания предлагает высококачественные решения, которые обеспечивают эффективную очистку сточных вод, а также предоставляют консультации и поддержку по выбору подходящего септика, учитывая ваши потребности и особенности участка. Купить пластиковый септик от производителя «Экопром» в Санкт-Петербурге.",yandex,['zakaz@ekopromgroup.ru'],"['+78124072005', '+79999999999']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://septictop.ru,"г. Санкт-Петербург, Петергофское шоссе, 96.",yandex,"['info@septictop.ru', 'info@site.ru']","['+73022383637', '+73432473633', '+73832349535', '+73912169915', '+73952785715', '+74951184016', '+78003508519', '+78112700167', '+78122408989', '+78162339915', '+78612132516', '+78622777404', '+79693072501', '+79693072563', '+79693072573', '+79693072606', '+79693072703', '+79693072708', '+79693072715', '+79693072729', '+79693072762', '+79693072783']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://astraseptik.ru,"Наша компания в Санкт-Петербурге предлагает широкий ассортимент септиков для частных домов, дач и загородных участков.",yandex,['astraseptik@ya.ru'],['+78122090161'],03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://lokadom.ru,"Компания «Локадом» предлагает септики для частных домов. Доставка, установка под ключ и обслуживание.",yandex,['info@lokadom.ru'],"['+78126034083', '+79312280345', '+79999999999']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://septikdom.com,"Компания «Септикдом» осуществляет продажу современных очистных систем — у нас вы можете купить септики от производителя с установкой и обслуживанием. В нашем магазине есть как мощные станции для частного дома, где проживают круглый год, так и автономные канализации для дачи, где отдыхают только летом.",yandex,['info@septikdom.ru'],['+78123857383'],03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://septiktermit.ru,"На наших складах в Москве, Санкт-Петербурге и других городах постоянно поддерживается запас готовой продукции — не менее 100 ёмкостей септиков и локально-очистных сооружений.",yandex,"['bcg@frcgvxgrezvg.eh', 'info@septiktermit.ru', 'vasb@frcgvxgrezvg.eh', 'vasb@p-f-x.eh', 'vasb@retb-obk.eh']","['+73528203967', '+77027850978', '+77078262994', '+78005506403', '+78007003421']",03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://septik-pro-spb.ru,В Санкт-Петербурге и Ленинградской области.,yandex,['info@septik-pro.com'],['+78124071801'],03-10-2025 01:17:07
3,СЕПТИК ДЛЯ ДОМА КУПИТЬ Санкт-Петербург,2,https://biomaster-spb.ru,"Список септиков от BioMaster. Для каждого вида септика указаны подробное описание, цена и количество пользователей.",yandex,['biomasterspb@yandex.ru'],['+78126027594'],03-10-2025 01:17:07
