user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
30,деревянные ящики от производителя,149,https://pallets.by,"Производство деревянной тары и упаковки из дерева, фанеры, МДФ, ДВП, ДСП, OSB.",yandex,['info@pallets.by'],"['+375292520702', '+375299950966']",06-11-2025 13:05:57
30,деревянные ящики от производителя,149,https://sko.by,деревянные ящики разные. модели деревянных ящиков. Ящики из дерева для хранения овощей пользуются наибольшим спросом.,yandex,['info@sko.by'],"['+375291086565', '+375292021311', '+375333407905']",06-11-2025 13:05:57
30,деревянные ящики от производителя,149,https://expertpack.pro,"Каждый фанерный ящик выполнен по самым высоким стандартам. Мы знаем, что Ваши потребности разнообразны, поэтому мы осуществляем индивидуальные заказы на деревянные транспортные ящики. Наше предложение адаптировано к размеру и типу груза, который будет транспортироваться. Предлагаемые транспортные ящики из фанеры идеально подойдут для специализированных перевозок, которые требуют идеальной адаптации к исключительным условиям.",yandex,['expertpack.bel@gmail.com'],['+375447400628'],06-11-2025 13:05:57
30,деревянные ящики от производителя,149,https://drevtara.com,Деревянные ящики.,yandex,['info@transtara.by'],"['+375291477785', '+375297775813']",06-11-2025 13:05:57
30,деревянные ящики от производителя,149,https://palletby.by,"Производство деревянных ящиков. Деревянные ящики часто используются как и в различных областях промышленности, так и частными лицами для личных хозяйственных нужд. Компания ООО «Паллет Стандарт» занимается производством ящиков деревянных в Минске для хранения, перевозки фруктов и овощей, а также других пищевых и непищевых товаров.",yandex,['zakaz@palletby.by'],"['+375173995574', '+375293077700']",06-11-2025 13:05:57
30,деревянные ящики от производителя,149,https://vitaminpack.by,"Наша продукция - это ящики и корзинки, чаши и деревянная упаковка различных размеров. Для производства упаковки мы используем экологически чистую древесину лиственных пород. Приглашаем к сотрудничеству торговые предприятия, фермерские хозяйства, занимающиеся продажей, заготовкой и выращиванием грибов, лесных и садовых ягод, фруктов и овощей.",yandex,['pcvitamin1989@gmail.com'],"['+375177121774', '+375296756791']",06-11-2025 13:05:57
30,деревянные ящики от производителя,149,https://yashikopt37.ru,"Одна только просьба, в связи с высокой загруженностью производства, формировать заказы заранее!!!",yandex,['noreply@insales.ru'],"['+79109997187', '+79158146799']",06-11-2025 13:05:57
30,деревянные ящики от производителя,149,https://poddonpallet.by,"Изготавливаем деревянные ящики с крышкой или без крышки любых размеров, любой сложности по пожеланию заказчика Ящики выполнены из элементов различных пород обрезной доски. Наши ящики пригодны для многоразового использования. Можем изготовить как не разборные ящики, так и разборные. С прорезями для рук и без них.",yandex,['poddonpallet11@gmail.com'],"['+375296421360', '+375298881022']",06-11-2025 13:05:57
30,деревянные ящики от производителя,149,https://hompil.by,"Деревянные ящики — универсальные контейнеры для дома и производства, хранения и транспортировки. Тара из дерева остаётся самой востребованной в хранении и транспортировке. Она безопасна для содержимого, лучше других защищает от повреждений, деформации — у нас вы можете купить деревянные ящики, позволяющие складирование в 6 и более рядов в высоту.",yandex,['ip-homich@tut.by'],"['+375163192650', '+375296621734', '+375298244619', '+375333301168']",06-11-2025 13:05:57
30,деревянные ящики от производителя,149,https://art-wood.by,"Декоративные ящики, ящики для хранения (29)",yandex,['kat-vint@mail.ru'],"['+375291147579', '+375291996622']",06-11-2025 13:05:57
