user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,производим пластиковую посуду Брестская область,150,https://policap.by,Производство одноразовой посуды и упаковки. НОВИНКА. Экопосуда. Биоразлагаемая посуда из сахарного тростника. Термопосуда. Контейнеры и стаканы из вспененного полистирола.,yandex,['mail@policap.by'],"['+375232217484', '+375232219679', '+375291441130']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://cupmilk.by,"О НАС. ООО «КЭПМИЛК» является одним из крупнейших производителей полистироловых и полипропиленовых лент, стаканчиков и лотков в Республике Беларусь. У компании имеется собственная производственная база, а также штат высококвалифицированных специалистов, что позволяет обеспечивать для наших клиентов: • широкий ассортимент • гарантированное качество • оперативное выполнение заказов.",yandex,"['director@cupmilk.by', 'sales@cupmilk.by']",[],16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://riona.by,"Для заказа или уточнения каких-либо характеристик просто свяжитесь с нами. КОНТАКТЫ. 225001, Республика Беларусь, Брестская область, г. Каменец, ул. 8 марта, 34В. тел./факс: +375 1631 76371 отдел снабжения: +375 29 379 06 66 отдел продаж: +375 29 179 68 78 бухгалтерия: +375 1631 76375. e-mail: sales@riona.by.",yandex,['sales@riona.by'],"['+375163176371', '+375163176375', '+375291796878', '+375293790666']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://brest-region.gov.by,"О Брестском районном отделении Брестской области Белорусской партии ""Белая Русь"".",yandex,"['brest@rco.by', 'contact@brest-region.gov.by']",[],16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://introplastika.by,Пластиковая посуда. Стаканы.,yandex,['introplastika@gmail.com'],"['+375173170170', '+375296018076', '+375296018085']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://aviastal.by,"Цена и характеристики товара: цена По запросу, Тип ёмкости пластиковые для воды, Размеры 765х765х1220, Комментарий KР-500,К-500, Ед.изм. шт.",yandex,['minsk@aviastal.by'],['+375445038886'],16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://starofservice.by,"Посмотрите здесь полный список наших лучшие производители из пластика Брест и их окрестности проверен сообщества StarOfService из Брест - Брестская область. Вы хотите знать, кто входит в топ-100?",yandex,['pochta@email.ru'],[],16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://vt-polimir-plus.by,,yandex,"['3455ffeaa51d45e1814ac3e07c1ce079@prom-errors.evo.run', 'support@deal.by', 'vtpolimirplus@mail.ru']","['+375162355976', '+375162950021', '+375173889484', '+375294911911', '+375297252083', '+375336535538']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://abio.by,"Контейнеры, ведра с крышкой, банки от 30 мл, до 32 литров. Производим упаковочные и фасовочные пакеты. Дешевая одноразовая посуда, приборы и стаканы для горячего и холодного применения.",yandex,"['1@abio.by', '3455ffeaa51d45e1814ac3e07c1ce079@prom-errors.evo.run', 'support@deal.by']","['+375173889484', '+375292400351', '+375294911911', '+375299754922']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://xn--24-6kci4amthgkj1f.xn--80asehdb,,yandex,"['krovhaus@mail.ru', 'venonster@mail.ru']","['+380562271333', '+73433618779', '+78314151879']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://paketybrest.by,Полиэтиленовые пакеты от производителя в Беларуси.,yandex,['vtpolimirplus@mail.ru'],['+375336535538'],16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://b4y.by,"Продается производство одноразовой посуды из ЭКО материалов. Наше предприятие занимается оптовыми и розничными продажами одноразовой посуды по всей Республике Беларусь с 2007 года. Выбрав перспективное направление мы одними из первых на белорусском рынке начали предлагать эко-упаковку и бумажную посуду для фаст-фуд и общепита, запустили собственное производство бумажных стаканов. Дополнили товарный ряд посудой из сахарного тростника и кукурузного крахмала.",yandex,"['biz4y@ya.ru', 'evgenyb4y@ya.ru']","['+375296379888', '+375297059860']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://bel-plast.com,,yandex,['info@bel-plast.com'],"['+375154616919', '+375154616956', '+375295507000', '+375296507000']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://rossclass.ru,Продажа пластиковых изделий от производителя оптом.,yandex,['rossclass@inbox.ru'],['+79621231015'],16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://productoria.by,"Компания ООО «Продуктория» работает на рынке одноразовой посуды и упаковочных материалов. За этот период в нашу клиентскую базу вошло более 1000 компаний, среди которых крупнейшие производители пищевой и мясо-молочной промышленности. Мы предлагаем нашим клиентам полный ассортимент пластиковой и бумажной одноразовой посуды, тары, упаковки, бытовой химии и хоз группы высочайшего качества в соответствии с европейскими стандартами от ведущих Российских и Белорусских производителей.",yandex,['productoria@tut.by'],"['+375173443332', '+375173619501', '+375293801464']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://plh.by,"Бесплатная доставка по республике Доставка Ваших заказов Наше производство Производим:коробки для пиццы из микрогофры, скатерти одноразовые, комплектуем наборы посуды.",yandex,['plastichouse@mail.ru'],"['+375175096924', '+375175474838', '+375291079922', '+375336440508', '+375445319062', '+375447824120']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://rassada-tara.by,Производитель пластиковых горшков и кассет для нужд питомников и садоводов - компания Альянсэкопром!,yandex,['alliance.prom@mail.ru'],['+375293295278'],16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://6699.by,Собственное производство: Наша компания производит одноразовую бумажную посуду и картонную эко-упаковку из качественного сырья. Производство осуществляется на корейском оборудовании. Мощность производства составляет до 5.000.000 стаканов в месяц. С нашего склада вы можете приобрести посуду и упаковку с типовым дизайном и без печати.,yandex,"['gecko.cups@gmail.com', 'zakaz.cups@gmail.com']","['+375177262168', '+375296900724', '+375297584001', '+375336884001']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://oaotermoplast.by,"Пластиковые ящики для овощей, фруктов и мяса, лотки, поддоны, бочки. бидоны, канистры, контейнеры крупногабаритные и изотермические.",yandex,"['a_korbut@oaotermoplast.by', 'korbut@oaotermoplast.by', 'marketing@oaotermoplast.by', 'office@oaotermoplast.by', 'omts@oaotermoplast.by', 'y_shishlo@oaotermoplast.by']","['+375173248046', '+375173697881', '+375173710479', '+375173710481', '+375173800121', '+375291030372', '+375296525923', '+375296552761', '+375445008855', '+375445438019', '+375445438054', '+375445438095', '+375445438126', '+375445438138', '+375445532334', '+375447405462', '+375447778284']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://toriya.by,,yandex,['info@toriya.by'],"['+375172717779', '+375291117911', '+375291117971']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://industrialleaders.by,"Посуда изготовлена по самой современной технологии с многоступенчатым контролем качества на всех этапах производства. Для проверки соответствия посуды требованиям нормативных в лаборатории проводятся приемо-сдаточные, периодические и типовые испытания каждой партии посуды.",yandex,['op@delmedia.by'],['+375296837133'],16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://santex.by,полые. нержавеющие. пластиковые. деревянные.,yandex,['santex_by@mail.ru'],"['+375232272296', '+375232272376']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://plastikpro.by,,yandex,"['info@plastikpro.by', 'plastikpro.by@gmail.com']","['+375175170810', '+375175421631', '+375175421651', '+375291031613', '+375297761159']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://poliplastpak.by,Пластиковая посуда Контейнеры и упаковка Товары для приготовления и хранения продуктов Товары для сервировки стола БИО и ЭКО...,yandex,"['info@poliplastpak.by', 'poliplastpak@yandex.ru']","['+375152393370', '+375291111031', '+375296118646']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://probiopack.by,"Компания ""ПроБиоПак"" занимается оптовой торговлей одноразовой посудой, упаковкой, одноразовой одеждой и другими сопутствующими товарамиот ведущих производителей Российской Федерации, Республики Беларусь и Украины.",yandex,['probiopack@gmail.com'],"['+375445514493', '+375445556112']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://touchplast.com,"Многоразовая, небьющаяся пластиковая посуда. Продукция.",yandex,['touchplast@yandex.ru'],"['+79219632333', '+971551995627']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://cupline.by,Оставить заявку. Мы производим качественные пластиковые стаканы. Идеальны для пищевой промышленности.,yandex,['ooo.cupline@yandex.ru'],"['+375173740203', '+375173740302', '+375293224893', '+375296461102']",16-10-2025 08:20:13
3,производим пластиковую посуду Брестская область,150,https://polyefir.by,"Компания «ПОЛИЭФИР» — это лидер в области производства изделий из пластмассы, который предлагает комплексные решения для различных отраслей промышленности. Мы гордимся тем, что предоставляем нашим клиентам полный цикл услуг: от проектирования и разработки до производства готовой продукции. Наш многолетний опыт и современное оборудование позволяют нам успешно реализовывать как серийные, так и индивидуальные проекты любой сложности. Контрактное литье пластмасс.",yandex,['polyefir.office@gmail.com'],"['+375296039627', '+375296767723']",16-10-2025 08:20:13
