user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,пакеты купить,by,https://ligopak.by,"Упаковочные пищевые пакеты для еды на вынос, продуктов, сетей общепита по недорогим ценам с доставкой по всей Беларуси. ⭐Одноразовые пакеты от поставщика ...",google,['sales@ligopak.by'],['+375336309050'],24-09-2025 01:59:47
3,пакеты купить,by,https://pandaprint.by,"Пакеты фасовочные (1) · Пакет п/э 240х320 мм, 200 шт в рулоне · Пленка пищевая стрейч 7 мкм х 30 см х 105 м · Пакет п/э 220/60х400 мм розовый (100 шт) · Пакет п ...",google,['6055969@mail.ru'],"['+375173222207', '+375291207722', '+375291250077', '+375297122267', '+375445972207']",24-09-2025 01:59:47
3,пакеты купить,by,https://vestpak.by,"Бумажные, полиэтиленовые, фасовочные пакеты, пакеты майка в каталоге «Вестпак». Работаем с ЮР лицами, ИП. Резервируем товар, поддерживаем ассортимент на ...",google,['info@vestpak.by'],['+375447992000'],24-09-2025 01:59:47
3,пакеты купить,by,https://bona.by,"Большой выбор бумажных пакетов крафт и белых , всегда в наличии разные размеры. Купить бумажные пакеты в Минске, цены, фото, каталог товаров.",google,['info@bona.by'],"['+375295276863', '+375445876863']",24-09-2025 01:59:47
3,пакеты купить,by,https://kofepovkusu.by,"Дрип-пакеты (фильтры) пустые · Дрип-пакеты (пустые) одноразовые для заваривания кофе, чая, трав · В комплекте Фильтры формата Pachit (Пачит) - 50 шт. / 100 шт.",google,['fresh@kofepovkusu.by'],"['+375256830606', '+375296830606', '+375336830606']",24-09-2025 01:59:47
3,пакеты купить,by,https://redpack.by,Курьерский пакет купить оптом и в розницу по доступным ценам. Различные размеры. Наличие на складе. Оптовая доставка по РБ.,google,"['info.gomel@redpack.by', 'info@redpack.by']","['+375291072727', '+375291076565']",24-09-2025 01:59:47
3,пакеты купить,by,https://ipapera.by,"Бумажные крафт пакеты для упаковки подарков. Разные цвета, размеры. Крафт пакеты оптом и в розницу. Отправляем почтой по Беларуси.",google,['shop@ipapera.by'],['+375293757758'],24-09-2025 01:59:47
3,пакеты купить,by,https://3ceni.by,Пакеты вакуумные ... от 2.80 руб. ... 3.60 руб. ... 3.99 руб. 4.60 руб. ... Экономия 0.61 руб. ... Зарегистрирован Минским горисполкомом на основании решения от 03.01.,google,"['anti-corruption@3ceni.by', 'info@3ceni.by']","['+375291148642', '+375291163466', '+375291167697', '+375291168162', '+375291168439', '+375291188914', '+375291189328', '+375291311792', '+375291556572', '+375291698941', '+375291735982', '+375291917197', '+375293198744', '+375293200893', '+375293373300', '+375293401553', '+375293403163', '+375293633057', '+375293633058', '+375293633064', '+375293633067', '+375293633107', '+375293633137', '+375293645142', '+375445008899', '+375445055798', '+375445117768', '+375445124375', '+375445136953', '+375445179319', '+375445179352', '+375445211784', '+375445217865', '+375445228034', '+375445229708', '+375445250928', '+375445851725', '+375445853234', '+375445991381', '+375447182907', '+375447183137', '+375447326719', '+375447329811', '+375447531928', '+375447649394', '+375447651598', '+375447665668', '+375447669632']",24-09-2025 01:59:47
3,пакеты купить,by,https://smartikon.by,"Пакет майка купить в Минске оптом в СМАРТИКОН можно как в малой фасовке по 100 шт, так и большими мешками по 1000 – 3500 шт. Фасовочные пакеты. Фасовочные ...",google,"['3992020@mail.ru', 'info@smartikon.by', 'smartikon@tut.by']","['+375172151465', '+375173552183', '+375173991020', '+375173992020', '+375173992620', '+375173995220', '+375173995320', '+375291240621', '+375295115734', '+375296555531', '+375296669455', '+375297601090', '+375445115046', '+375447798423']",24-09-2025 01:59:47
3,пакеты купить,by,https://toriya.by,Купить полиэтиленовые пакеты мелким и крупным оптом в Минске. ✓ Цены от производителя. ✓ Доставка по всей Беларуси. ✓ Собственный склад.,google,['info@toriya.by'],"['+375172717779', '+375291117911', '+375291117971']",24-09-2025 01:59:47
3,пакеты купить,by,https://paperki.by,Доступные цены → пакеты подарочные в Бресте с доставкой. Опт и розница. ☏ 8-0162-57-60-60. Звоните и заказывайте! Большой выбор в каталоге нашего ...,google,"['paperki1@paperki.by', 'paperki2@paperki.by', 'paperki4@paperki.by', 'paperki5@paperki.by', 'paperki6@paperki.by', 'paperki7@paperki.by', 'paperki8@paperki.by']","['+375162576060', '+375292026040', '+375292520200', '+375292803369', '+375295611110', '+375297156060', '+375298356974', '+375298411741', '+375298485808', '+375333306428', '+375333518810', '+375336303958', '+375339159909', '+78162576060']",24-09-2025 01:59:47
3,пакеты купить,by,https://vialpak.com,"Пакеты с круглым дном от компании «Виалпак» полностью облегают тушку, круглое дно позволяет избежать складок или торчащих углов, где может собираться вода.",google,"['vialpac@yandex.ru', 'vialpak@yandex.ru']","['+375164236055', '+375164250055', '+375164254906', '+375173239468', '+375173239469', '+375173803156', '+375293634019', '+375293706421', '+375296337242', '+375297837626', '+375447583188']",24-09-2025 01:59:47
