user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://gard.by,Мы создаем уникальные матрицы широкоформатных и средних плит любых цветов и сочетаний оттенков: от серо-черного “Тумана” до красно-желтого “Заката”. Заказать ...,google,['zakaz.vos@gmail.com'],['+375293313090'],25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://zavod-plitki.by,"Купить тротуарную плитку в Минске - цена производителя. Доставка и рассрочка, акции и скидки ☎ Заказать +375296367878.",google,"['info@zavod-plitki.by', 'zavodplitki@mail.ru']","['+375173880505', '+375295755757', '+375296367878']",25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://plitka-tigora.by,"Купить Плитка тротуарная ""Старый город"" (коричневая) от производителя в компании Тигора. Доставка по Республике Беларусь. Широкий ассортимент строительных ...",google,['tigora.ooo@yandex.by'],"['+375296299192', '+375447448048', '+74272942729']",25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://dianit.by,"Она изготавливается из цемента марки М-500 Д-0 (цемент без примесей) с добавлением песка, воды и пластификаторов путем вибропрессования. Данный метод придает ...",google,"['buh@dianit.by', 'opt@dianit.by', 'zakaz@dianit.by']","['+375232933339', '+375232933625', '+375232997799', '+375291714222', '+375291715222', '+375293227799', '+375293766928', '+375296681205', '+375445227799', '+375447048277']",25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://mikabet.by,"Производство бетонной тротуарной плитки ""Кирпич"" высокого качества. Купить тротуарную плитку в ОАО Спецжелезобетон.",google,"['delo@mikabet.by', 'info@mikabet.by']","['+375164743801', '+375164743806', '+375164743810', '+375164743829', '+375164743831', '+375164743844', '+375164743887', '+375445877133', '+74959676518']",25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://www.belbruk.by,"Завод Белбрук предлагает купить тротуарную плитку вибропрессованную в Минске дешево, от производителя - фото, цена, описание на странице.",google,['sale@belbruk.by'],"['+375172700921', '+375291242121']",25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://stroyaz.by,"Товары по категориям ... Фабрика «Готика» была создана в 2005 г. Немецкая компания HESS - лидер европейского рынка, по изготовлению производственных линий, ...",google,"['info@stroyaz.by', 'stroyaz@mail.ru']","['+375292272787', '+375293886633', '+375296242437', '+375297907227', '+375333886633', '+375333886666']",25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://e-stroyka.by,Фасадная плитка Технониколь Хауберк (Hauberk) ✓ Цена завода ✓ Доставка по Минску и ✓ Беларуси в интернет-магазине e-stroyka.by ☎ +375 29 668-07-07.,google,['info@e-stroyka.by'],"['+375173040707', '+375173190707', '+375291150707', '+375291190707', '+375291910707', '+375296267007', '+375296680707', '+375336330707']",25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://petra.by,"Фасадная клинкерная плитка PETRA — стильное и прочное решение для отделки домов. Прямые цены от производителя, широкий выбор, доставка по Беларуси.",google,"['d.zayac@petra.by', 'info@petra.by']","['+375172072374', '+375293197580', '+375296516565']",25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://terracotta.by,Польская керамическая плитка в Минске в Terra Cotta. Широкий выбор продукции европейских производителей! Различные модели! Звоните или приходите в наш ...,google,"['info@terracotta.by', 'market2@winer-group.com']","['+375293517915', '+375293884477']",25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://sagardi.by,"Aparici (Испания). Фабрика Ceramicas Aparici, расположенная в небольшом испанском городке Алькора, производит и реализует плитку из керамики и керамогранита.",google,['info@sagardi.by'],"['+375172706511', '+375293560308', '+375293562444', '+375293563057', '+375447288506']",25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://kamkam.by,Купить тротуарную плитку с доставкой манипулятором в Минск и по Минской области. Производство г. Борисов. Цена тротуарной плитки в каталоге с фото.,google,['info@kamkam.by'],"['+375177762500', '+375177927555', '+375295559111', '+375295591213', '+375445591213']",25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://evax.by,"Собственное производство на современном оборудовании. Высокое качество по доступной цене. Доставка, разгрузка манипулятором. Дизайн. Услуги по укладке и ...",google,['evaxplitka@gmail.com'],['+375298485656'],25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://tsila.by,Тротуарная плитка · Плитка тротуарная «Травница-пазл» · Плитка тротуарная «Травница» · Плитка тротуарная «Старый город» 6 см · Плитка тротуарная «Старый город» ...,google,['info@tsila.by'],"['+375444822822', '+375447309907']",25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://bck.by,"Плитку изготавливают из известных многим натуральных компонентов, в ее составе отсутствуют опасные соединения. Это способствует экологичности и безопасности ...",google,"['a.korzyuk@bck.by', 'a.nikityuk@bck.by', 'a.nowik@bck.by', 'bcc_dir@bk.ru', 'd.gerasimyuk@bck.by', 'd.mihaleva@bck.by', 'e.zaharova@bck.by', 'g.yasenko@bck.by', 'i.azarko@bck.by', 'i.chistopyan@bck.by', 'info@bck.by', 'k.matveenko@bck.by', 'm.elec@bck.by', 'm.nikitenko@bck.by', 'm.pecevich@bck.by', 'm.pochesnok@bck.by', 'n.popko@bck.by', 'o.lukyanovich@bck.by', 'o.pavlova@bck.by', 'o.shkolnikov@bck.by', 's.shumskiy@bck.by', 'sbit@bck.by', 't.bolotnikova@bck.by', 't.murashko@bck.by', 't.piskun@bck.by', 'tdcement2017@gmail.com', 'uved@bck.by', 'v.kvach@bck.by', 'v.mazalevskaya@bck.by', 'y.mosevich@bck.by', 'y.shimchenya@bck.by']","['+375151256360', '+375151263647', '+375151263667', '+375151263671', '+375151263750', '+375151263767', '+375152476705', '+375152476713', '+375152476749', '+375159299751', '+375163671997', '+375163672002', '+375173113145', '+375173113150', '+375173113152', '+375173113154', '+375173113160', '+375173113161', '+375173113171', '+375173113182', '+375173759676', '+375176746012', '+375176746017', '+375179469142', '+375212331363', '+375214379182', '+375216292306', '+375216505155', '+375216519395', '+375216519404', '+375216546640', '+375222602116', '+375224120197', '+375224120922', '+375224120950', '+375224120992', '+375224572741', '+375224572742', '+375224572743', '+375224572770', '+375233970435', '+375291975791', '+375292403011', '+375292755585', '+375295255091', '+375295734953', '+375295806396', '+375295908231', '+375295919468', '+375297001509', '+375297303609', '+375297405604', '+375297493832', '+375297600006', '+375298554747', '+375298744857', '+375333003939', '+375333004747', '+375333063939', '+375333244747', '+375333983939', '+375336803131', '+375336804747', '+375336814289', '+375336821017', '+375336854747', '+48784997691', '+79107826792', '+79114726807', '+79150303067']",25-09-2025 16:15:08
3,плитка купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://remshop.by,"В интернет-магазине «RemShop», в каталоге, можно найти керамогранит Индийского производства на любой вкус и цвет. Оформить заказ и рассчитать стоимость вместе с ...",google,['info@remshop.by'],"['+375291760899', '+375296730011', '+375296731111']",25-09-2025 16:15:08
