user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,этикетка купить от производителя Минская область,166,https://etiketka-minsk.by,"Частное производственно-торговое унитарное предприятие «Этикетка» было основано в 2008 году. Основной профиль нашей работы – изготовление самоклеющихся этикеток с нанесением методом горячего тиснения цветными фольгами логотипов, названия предприятия, магазина, бренда. Тиснение может осуществляться как по бумажными самоклеющимся этикеткам, так и по прозрачной плёнке.",yandex,['etiketka.2008@mail.ru'],['+375296504906'],17-10-2025 09:29:21
3,этикетка купить от производителя Минская область,166,https://nakleiki.by,"Печать наклеек, стикеров, самоклеящиеся этикетки любой сложности | Производство этикетки | Флексопечать и рулонная упаковка в Минске, Москве, Санкт-Петербурге, Смоленске.",yandex,['info@nakleiki.by'],"['+375171690980', '+375447990980']",17-10-2025 09:29:21
3,этикетка купить от производителя Минская область,166,https://gala-poly.by,"В на сайте «ГалаПолиграф» вы сможете заказать самоклеящиеся этикетки в Беларуси по доступной цене. Данное изделие представляет собой этикетку из ткани или бумаги с клеевым слоем. Он крепится к продукту и может содержать основную информацию о составе, сроках хранения и производителе.",yandex,"['dasha@gala-poly.ru', 'diana@gala-poly.com', 'info@gala-poly.com', 'julia@gala-poly.com', 'olga@gala-poly.com', 'yulia@gala-poly.com']",['+375298285555'],17-10-2025 09:29:21
3,этикетка купить от производителя Минская область,166,https://gsmpack.by,,yandex,"['evmenov@gsmpack.by', 'gsm_pack@tut.by', 'mail@gsmpack.by', 'rybak571@mail.ru', 'valera@gsmpack.by', 'vika@gsmpack.by']","['+375172878515', '+375295172598', '+375296111058', '+375296240199', '+375297019069', '+375333884598']",17-10-2025 09:29:21
3,этикетка купить от производителя Минская область,166,https://donarit.com,"Стоимость этикеток зависит от их тиража, размера, материала, а также от дополнительных элементов на этикетках (QR-кода, персонализации и пр.). Предварительный расчёт стоимости этикеток Вы можете сделать с помощью нашего калькулятора. Окончательная стоимость согласовывается с Вами менеджером типографии, а также предлагаются пути для удешевления печати этикеток.",yandex,['donarit@donarit.com'],"['+375173897300', '+375292767929', '+375296867929']",17-10-2025 09:29:21
3,этикетка купить от производителя Минская область,166,https://comint.by,"Можно купить этикетки самоклеящиеся для принтера, но для этого Вам необходим и сам принтер, и определенный софт, а у нас вы можете заказать сразу готовые этикетки с печатью любой цветности и любым тиражом. Это очень удобно если Вы занимаетесь интернет торговлей или розницей. Самостоятельная печать самоклеящихся этикеток в домашних условиях требует покупки специального оборудования, расходных материалов и наличия навыков работы с полиграфией.",yandex,"['director@comint.by', 'irina@comint.by', 'zakaz@comint.by']","['+375293929004', '+375297007767']",17-10-2025 09:29:21
3,этикетка купить от производителя Минская область,166,https://prodavan.by,"Продажа чековой ленты для терминалов, кассовых аппаратов и другой регистрирующей техники в Беларуси.",yandex,['info@prodavan.by'],"['+375255016878', '+375293117292']",17-10-2025 09:29:21
3,этикетка купить от производителя Минская область,166,https://24print.by,"Этикетки – это необходимый элемент маркировки, который наносится на товар или упаковку. У нас можно заказать этикетки с любым тиражом и вариантом исполнения. Выполняем заказы любой сложности и делаем полиграфию, которая выглядит эстетично и работает на бизнес. Докажем, что даже обычные этикетки могут увеличить объем продаж.",yandex,['info@24print.by'],"['+375173276191', '+375291233535', '+375296102424', '+375296602424']",17-10-2025 09:29:21
3,этикетка купить от производителя Минская область,166,https://100etiketok.by,"""100 Этикеток"" Принтер этикеток, самоклеящиеся этикетки, термотрансферная лента и др.",yandex,['100etiketok@gmail.com'],['+375447572271'],17-10-2025 09:29:21
3,этикетка купить от производителя Минская область,166,https://etiketki-minsk.by,,yandex,['etiketki-minsk@tut.by'],['+375256212211'],17-10-2025 09:29:21
