user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,услуги сухая стяжка пола Минский район,149,https://styazhka-minsk.by,Стяжка пола в Минске командой профессионалов. Выполним качественную стяжку пола под ключ с гарантией результата. Консультация бесплатно.,yandex,['info@styazhka-minsk.by'],"['+375291584082', '+375298513681']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://zalivka-pola.by,Устройство сухой стяжки пола в МИнске и Минской области от мастеров Заливка Пола. За 1 день зальем до 200 квадратных метров под ключ. гарантия качества и долговечности.,yandex,['zalivkapolaby@gmail.com'],['+375445558882'],13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://korona-remonta.by,Сухая стяжка пола в Минске. Для укладки современных напольных материалов потребуется устройство идеально ровной стяжки.,yandex,['minsk@koronarem.ru'],['+375293127575'],13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://napoly.by,,yandex,['info@napoly.by'],['+375447706222'],13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://realpol.by,Стяжка пола под Минском.,yandex,['realpol@tut.by'],"['+375295770841', '+375445611611']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://at-group.by,,yandex,['info@at-group.by'],['+375445554405'],13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://masterpola.by,"Сухая стяжка для пола — это довольно востребованной тип услуг, и заказчики часто обращаются к нам для того, чтобы узнать цену на такие работы в Минске.",yandex,['wordpress@example.com'],"['+375291099991', '+375297078949']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://redsale.by,,yandex,['info@redsale.by'],['+375291416000'],13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://post-roy.by,,yandex,['postroy_bel2014@mail.ru'],"['+375291400727', '+375445853399']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://minsk100.by,Стяжка пола Минск. Полусухая и сухая цементная стяжка полов. Закажите качественную стяжку по низкой цене в Минске; Бесплатный выезд на оценку стоимости стяжки и замер,yandex,"['info@minsk100.by', 'support@minsk100.by']",['+375259815494'],13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://polminska.by,"Грубо говоря сухопрессованная стяжка пола — это золотая середина между мокрой (цемент-песчаной) и сухой. Благодаря тому, что раствор делается в специальном растворосмесителе и подаётся за десятки метров по шлангам, работы можно выполнять на любом этаже. Сухопрессованная стяжка пола имеет минимальное, по сравнению с мокрой стяжкой, количество влаги, что удобно по соображениям чистоты помещения, удобства укладки самой стяжки и времени полного засыхания.",yandex,['polminskaby@yandex.by'],"['+375296573239', '+375336683648']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://domodel.by,Влажная и сухая стяжка пола. Выравнивание поверхности и подготовка к укладке напольного покрытия. Соблюдение технологий.,yandex,"['barokmedia@mail.ru', 'minskbarokmedia@gmail.com']",[],13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://styazhka.by,,yandex,['evroplast04@mail.ru'],"['+375291256555', '+375293114000']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://mikon.by,"*Напоминаем, что cтяжка пола осуществляется только в комплексе услуг заказанных клиентом. нанесение cтяжка пола выполняется лишь от 30 м2, считаясь полноценным ремонтом. Стоимость cтяжки пола может варьироваться как в пользу заказчика, так и в пользу исполнителя, исходя из нюансов и пожеланий заказчика.",yandex,['admin@mikon.by'],['+375256803999'],13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://sdelaem.by,"Сухая стяжка. Стоимость стяжки для пола (прайс-лист). Как формируется цена и конечная стоимость работ? Устройство стяжки пола в квартире, офисе или промышленном помещении является важнейшим этапом создания качественного и ровного напольного покрытия; в Минске существует большой выбор компаний, выполняющих ремонт, но далеко не все из них могут провести работы на должном профессиональном уровне.",yandex,['info@sdelaem.by'],[],13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://mastera-styazhki.by,,yandex,"['mastera-styazhki@gmail.com', 'mastera.styazhki@gmail.com']","['+375291792678', '+79611914809']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://p-stiazhka.by,"Допуск по стяжке менее 2-ух миллиметров, гарантия на стяжку 5 лет, опыт работы более 12 лет, опытные сотрудники расскажут всё что нужно знать о стяжке пола, при обращении к нам у вас не останется вопросов, работаем только с качественными материалами, нас советуют друзьям, близким,знакомым, за нас не стыдно, с нами вы в надёжных руках, предоставим абсолютно любой материал для стяжек.",yandex,['vs0804@mail.ru'],"['+375295065548', '+375297017361', '+375447435667']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://xn--80aeergkmkbtkm.xn--90ais,Профессиональная полусухая стяжка пола в Минске и области с гарантией качества 5 лет. Стяжка пола цена минск от 6 руб./м² за кв.м. Услуги по стяжке пола для квартир и домов. Звоните: +375 (29) 557-68-69.,yandex,['danilovstroy@mail.ru'],"['+375256442218', '+375295576869']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://pol24.by,"Стяжка пола в Минске и Минской области выполнит бригада мастеров ПОЛ 24. Выезд специалистов в день обращения, бесплатный замер при стяжке. Звоните сейчас!",yandex,['pol24by@gmail.com'],['+375445515000'],13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://polmaster.by,Стяжка пола сухопрессованная - цена от 12 руб. за м2. Качественно и быстро с Полмастером. Бесплатный выезд мастера. есть все необходимые материалы.,yandex,['info@polmaster.by'],"['+375296147088', '+375445511166']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://styajkapola.by,"Витебск Минск Витебская область Минская область. Бетонирование пола — это основной и самый ответственный этап в обустройстве пола. Недочёты на этапе бетонирования, особенно уклон и неровности не скрыть следующими этапами обустройства пола. Эти трудоемкие и сложные работы давно перешли в разряд высокопрофессиональных и никто не пытается сделать это сам. Вам осталось выбрать, у кого заказать стяжку пола, по какой цене и по какой технологии.",yandex,['danilovstroy@mail.ru'],"['+375255396859', '+375256442218', '+375292798637', '+375295576869']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://delostroitelya.by,Стяжка пола в Минске. Выравнивание пола — процесс подготовки поверхности пола перед укладкой нового покрытия или установкой других отделочных материалов.,yandex,['delostroitelya@gmail.com'],"['+375333431949', '+77758777582', '+79611914809']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://complex-remont.by,,yandex,['monolitby@bk.ru'],"['+375296991052', '+375297338538']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://todaytimes.ru,СТЯЖКА ПОЛА. Делаем стяжки полов в Минске и Минской области.возможна оплата в рассрочку на 6 месяцев.Делаем стяжки … Минск ул.Менделеева д.12.,yandex,['igorek56565656@gmail.com'],[],13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://damay.by,"Компания ЧУП Дамай предоставляет услуги по стяжка пола Минская область всем желающим. Чтобы это сделать, устраивают разбивку плоскости рейками-маяками на квадраты и прямоугольники. Затем проверяют ее точность с помощью водяного или лазерного уровня. После этого, производят саму заливку пола.",yandex,['damay.info@mail.ru'],"['+375295035107', '+375296660587', '+375296664141']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://atlant-stroy.by,,yandex,['atlant.stroy.by@gmail.com'],"['+375297799954', '+375445347664']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://remontdom.by,"Бетонная, полусухая, сухая, комбинированная стяжка пола в Минске. Подберем необходимый тип стяжки, выполним работы максимально быстро.",yandex,['info@remontdom.by'],"['+375296540525', '+375333540525']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://topspeople.by,Стяжка пола. Оказание услуг осуществляется мастерами (заказчиками) сервиса самостоятельно на основании Публичного договора.,yandex,['info@topspeople.com'],"['+375293575237', '+375293877705', '+375333575237']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://xn--80aaqqgrgmj4k.xn--90ais,,yandex,['styagkapola.bel@yandex.by'],"['+375298543333', '+73010152748', '+73517725044', '+74134422005', '+74231236493', '+74812133308', '+74843816702', '+74916688523', '+74949135286', '+77183171249', '+78573549072']",13-10-2025 16:15:09
3,услуги сухая стяжка пола Минский район,149,https://dompodkluch.by,,yandex,"['info@dompodkluch.by', 'partner@dompodkluch.by']",['+375297336336'],13-10-2025 16:15:09
