user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить кабель от производителя новосибирск,225,https://cable.ru,,yandex,"['press@cable.ru', 'zakaz+m30702@cable.ru', 'zakaz@cable.ru']","['+74991134305', '+78003331148', '+79710008385']",01-10-2025 18:49:37
3,купить кабель от производителя новосибирск,225,https://nkz-nsk.ru,"Производим кабель, который рекомендуют.",yandex,"['sale@nkz-nsk.ru', 'sales@nkz-nsk.ru']",['+73832858098'],01-10-2025 18:49:37
3,купить кабель от производителя новосибирск,225,https://tpk-parma.ru,,yandex,"['buh@tpk-parma.ru', 'zakaz@tpk-parma.ru']","['+78007758790', '+78352201090', '+79530159761']",01-10-2025 18:49:37
3,купить кабель от производителя новосибирск,225,https://rucabel.ru,Возможность купить кабель в Новосибирске по выгодным ценам.,yandex,['zakaz@rucabel.ru'],"['+74994090639', '+78005518083']",01-10-2025 18:49:37
3,купить кабель от производителя новосибирск,225,https://zskab.ru,"Новосибирский завод силовой кабель - производитель кабеля и провода ВВГ, КВВГ ПуВ, ПуГВ, ПВС. Самые низкие цены в Новосибирске и России - доставка в любой город России, Казахстана и республики Беларусь.",yandex,"['info@zskab.ru', 'manager1@zskab.ru', 'manager2@zskab.ru']",['+73833600100'],01-10-2025 18:49:37
3,купить кабель от производителя новосибирск,225,https://prosvet54.ru,,yandex,['max@sibsvet.com'],"['+73832869111', '+73832991032', '+73833492660', '+79130079111']",01-10-2025 18:49:37
3,купить кабель от производителя новосибирск,225,https://akademkab.ru,"Купить их оптом, бухтами или метражом вы можете либо напрямую с нашего собственного склада в Новосибирске (2,5 тыс. м²), либо воспользовавшись интернет-магазином.",yandex,"['1105@akademkab.ru', '1114@akademkab.ru', '1118@akademkab.ru', '1121@akademkab.ru', '1123@akademkab.ru', '1200@akademkab.ru', 'info@akademkab.ru']","['+73833632863', '+73833635700', '+73833635800', '+73833733120', '+79139172601', '+79139172608', '+79835103862', '+79999999999']",01-10-2025 18:49:37
3,купить кабель от производителя новосибирск,225,https://elektrika-ok.ru,"Купить в Новосибирске по оптовой цене силовой кабель. Доставка по России. Кабельно-проводниковая продукция в ассортименте: бронированный, контрольный, СИП, неизолированный провод, сигнальный. декоративная ретро-проводка.",yandex,"['info@elektrika54.site', 'mag@elektrika-ok.ru']","['+73833284232', '+79139021426']",01-10-2025 18:49:37
3,купить кабель от производителя новосибирск,225,https://zaokomplekt.ru,"Где купить кабель в Новосибирске, чтобы не. Продажа кабеля ААБ2л: надежные поставки от ЗАО «Комплектация».",yandex,['komplekt-nsk@mail.ru'],"['+73833479738', '+78002007539']",01-10-2025 18:49:37
3,купить кабель от производителя новосибирск,225,https://rscable.ru,,yandex,"['555metrov@rscable.ru', 'accounting@rscable.ru', 'logistics@rscable.ru', 'marketing@rscable.ru', 'zakaz.m@rscable.ru']","['+74957108886', '+78002221885', '+79313958080']",01-10-2025 18:49:37
3,купить кабель от производителя новосибирск,225,https://xn----mtbicld2a.xn--p1ai,"Производим кабель, который рекомендуют.",yandex,"['sale@nkz-nsk.ru', 'sales@nkz-nsk.ru']",['+73832858098'],01-10-2025 18:49:37
