user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,стулья купить,149,https://dom35.by,,yandex,['info@dom35.by'],"['+375173685555', '+375295000103', '+375445000103']",27-11-2025 09:02:33
3,стулья купить,149,https://amihome.by,"Стулья в классическом стиле украшают помещение, придают ему определенную степень торжественности и что немаловажно они являются надежными и долговечными. Классические обеденные стулья по приемлемым ценам можно купить у нас!",yandex,['sales@amihome.by'],['+375163651713'],27-11-2025 09:02:33
3,стулья купить,149,https://aksamit.by,"Преимущества покупки стульев в «Аксамит». Наши стулья сочетают стильный дизайн и надежность, делая их подходящими для любых помещений.",yandex,['kc@aksamit.by'],"['+375256723300', '+375291953100', '+375291963500', '+375292213100', '+375293623500', '+375293663100', '+375293743100', '+375296453100', '+375296493100', '+375296723300', '+375296833100', '+375333443100', '+375333653100', '+375336723300']",27-11-2025 09:02:33
3,стулья купить,149,https://halmar.by,Купить кухонные стулья в Минске можно по приятным ценам в каталоге.,yandex,['zakaz@mebelart.by'],"['+375172937456', '+375172946373', '+375173270230', '+375173274582', '+375256978000', '+375293899060', '+375296978000', '+375336978000']",27-11-2025 09:02:33
3,стулья купить,149,https://oma.by,"Вы можете приобрести Стулья в магазинах компании ОМА в Минске, Гомеле, Витебске, Могилёве, Гродно, Бресте с доставкой в ЛЮБОЙ город Беларуси..",yandex,"['brak@oma.by', 'ooo@oma.by']","['+375173301000', '+375173301010', '+375447778203']",27-11-2025 09:02:33
3,стулья купить,149,https://pinskdrev.by,"Где купить стулья в Минске? Деревянные стулья со спинкой от «Пинскдрев» представляют собой эталон стиля и безупречности качества исполнения. В данном разделе интернет-магазина компании вы найдете изумительные кухонные стулья, выполненные в разных стилевых направлениях и цветовых решениях.",yandex,"['armada.pinskdrev@yandex.ru', 'belinichi.pinskdrev@mail.ru', 'bobr.pinsk@yandex.ru', 'box@pinskdrev.by', 'deinak_s@pinskdrev.by', 'gorki.pinsk@yandex.ru', 'grodno@pinskdrev.by', 'ignatovets@td.pinskdrev.by', 'kpinskdrev@rambler.ru', 'marchik@td.pinskdrev.by', 'mogilev@pinskdrev.by', 'mstislavl.pinsdrev@mail.ru', 'osipovichipinskdrev@mail.ru', 'pfo@pinskdrev.by', 'pinsk@pinskdrev.by', 'pinskdrev.derzhinskogo@yandex.by', 'pinskdrev.krichev@mail.ru', 'pinskdrevpushkina1@mail.ru', 'pinskm1@mail.ru', 'plywood@pinskdrev.by', 'priem@pinskdrev.by', 'promotion@pinskdrev.by', 'question@pinskdrev.by', 'reklama@pinskdrev.by', 'rigus_93@mail.ru', 'sbytdsp@pinskdrev.by', 'shklov.pinskdrev@mail.ru', 'simonova.pinsk@yandex.ru', 'sovetska2b@mail.ru', 'uptk@pinskdrev.by', 'utk@pinskdrev.by', 'vitebsk@pinskdrev.by']","['+375151220884', '+375151472281', '+375152443032', '+375152443034', '+375152443036', '+375152569796', '+375152606556', '+375152713548', '+375152960598', '+375154533705', '+375154607450', '+375154652670', '+375156250946', '+375159133413', '+375159371281', '+375159745296', '+375162528285', '+375162932070', '+375163607198', '+375163676850', '+375164722730', '+375165301212', '+375165316512', '+375165366131', '+375165562629', '+375165616568', '+375165622058', '+375165637586', '+375165640080', '+375165640641', '+375165647083', '+375165647599', '+375165649961', '+375165651142', '+375165651357', '+375165651640', '+375165651945', '+375165653494', '+375165655270', '+375165656415', '+375165659276', '+375171361252', '+375171361323', '+375171771278', '+375173477242', '+375173621837', '+375173621841', '+375173674530', '+375174235857', '+375175127014', '+375175516200', '+375176746144', '+375177566878', '+375177951503', '+375212220376', '+375212226026', '+375222630532', '+375222640352', '+375222642853', '+375222796039', '+375233946632', '+375234257040', '+375291059660', '+375291151850', '+375291416948', '+375291545860', '+375291559556', '+375291579177', '+375291991095', '+375293178819', '+375293271655', '+375293298814', '+375293513841', '+375293576057', '+375293643122', '+375296022786', '+375296028726', '+375296055757', '+375296069728', '+375296144283', '+375296228407', '+375296574629', '+375296924057', '+375296924089', '+375297575765', '+375297581435', '+375297606139', '+375297609833', '+375297616625', '+375297623184', '+375298055757', '+375333368214', '+375333368982', '+375445342813', '+375445342821', '+375445416407', '+375445416415', '+375445416418', '+375445416423', '+375445525514', '+375445534403', '+375445656116', '+375445656295', '+375445656349', '+375445684952', '+375445688653', '+375445723348', '+375445736429', '+375445788400', '+375445818933', '+375445818935', '+375445851574', '+375445933555', '+375445957211', '+375445959910', '+375447164721', '+375447213056', '+375447367571', '+375447368629', '+375447440237', '+375447440257', '+375447507460', '+375447510661', '+375447514007', '+375447528901', '+375447778389', '+375447878190', '+375447956560', '+375447995190']",27-11-2025 09:02:33
3,стулья купить,149,https://mrd.by,,yandex,"['info@manroad.by', 'store@manroad.by']","['+375173904295', '+375173992810', '+375333192810', '+375445006000']",27-11-2025 09:02:33
3,стулья купить,149,https://1k.by,,yandex,"['admin@1k.by', 'alena@1k.by', 'info@1k.by']","['+375172180082', '+375172979488', '+375173737456', '+375173743973', '+375291466000', '+375297036699']",27-11-2025 09:02:33
3,стулья купить,149,https://mebelart.by,,yandex,['sale@mebelart.by'],"['+375173601094', '+375173737456', '+375296970606', '+375296980606', '+375336980606']",27-11-2025 09:02:33
3,стулья купить,149,https://akshome.by,"Как приобрести удобные стулья на кухню? Кухонные стулья – необходимый элемент мебели, который помогает создать уютную атмосферу и приятно проводить время за столом.",yandex,"['opt@akshome.by', 'reclamation@aks.by', 'zakaz@akshome.by']","['+375162210465', '+375162539928', '+375291357511', '+375291530063', '+375291804706', '+375291804712', '+375293707878', '+375295386130', '+375295905956', '+375297627529', '+375297634122', '+375333707878', '+375333774699', '+375445006688', '+375445147211', '+375445147234', '+375445327095', '+375445445080']",27-11-2025 09:02:33
3,стулья купить,149,https://nm-shop.by,,yandex,['info@nm-shop.by'],"['+375292433871', '+375295898908', '+375296433871']",27-11-2025 09:02:33
3,стулья купить,149,https://mebelblizko.by,кресло офисное. стул для сада и террасы.,yandex,['manager@mebelblizko.by'],"['+375336368515', '+375444637050']",27-11-2025 09:02:33
3,стулья купить,149,https://sladson.by,"Интернет-Магазин ""Сладкий Сон"" предлагает купить стулья для кухни, столовой, гостинной, залов, баров, ресторанов. В розницу и оптом, по ценам производителя с доставкой по Минску и Беларуси. Фото с ценами и описанием.",yandex,"['azhina1@yandex.ru', 'azhina2@yandex.ru', 'sladson1@yandex.ru']","['+375172434421', '+375173759710', '+375295993252', '+375296123252', '+375298443252', '+375447478257', '+73463463636', '+73464857969', '+73467347589', '+74263748579']",27-11-2025 09:02:33
