user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,pegatec -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://vdmn-bel.by,"Круг зачистной по металлу «Pegatec» 125х6,0х22,2 мм · Наружный диаметр: 125 мм · Профессиональный зачистной (шлифовальный) диск по металлу на основе ...",google,['vdmn12@mail.ru'],"['+375293680468', '+375293682468', '+375296520833', '+375296822468']",25-09-2025 15:50:34
3,pegatec -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://lavkakovki.by,"Купить Круг отрезной 125*1,0*22,2 PEGATEC в Могилеве недорого, купить и заказать можно телефону +375 (296) 17-29-59.",google,"['info@deshevokovka.by', 'info@lavkakovki.by', 'info@sale.ru']","['+375296172959', '+375445333755']",25-09-2025 15:50:34
3,pegatec -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://nagorny-trade.by,"Супер тонкий отрезной диск Pegatec. Подходит для нержавеющей стали, инструментальной стали. Используется с угловыми шлифмашинами диаметром 125. Толщина 1,0 мм ...",google,['info@nagorny.by'],['+375336711215'],25-09-2025 15:50:34
3,pegatec -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://maer.by,"Диск отрезной по металлу INOX 125 x 1 // DRAUMET PREMIUM · Диск отрезной по металлу INOX 230 x 1,9 // DRAUMET PREMIUM · Диск отрезной по резке металла INOX 115 х ...",google,"['info@maer.by', 'info@need.by']","['+375296449500', '+375339135811']",25-09-2025 15:50:34
3,pegatec -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://ksk.by,Каталог дисков для бензореза в интернет-магазине KSK. У нас вы можете приобрести диск для бензореза по низкой цене с доставкой по Минску и регионам ...,google,['info@ksk.by'],"['+375232241985', '+375232242466', '+375232347735', '+375445252694', '+375445252695', '+375445252696', '+375447462222']",25-09-2025 15:50:34
3,pegatec -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://prom.by,"Купить лепестковые диски и шлифовальные круги по металлу: круги лепестковые, диски шлифовальные в каталоге Промбай Абразив в Минске с доставкой по РБ ...",google,"['info@prom.by', 'prom@prom.by']","['+375172702914', '+375172703375', '+375173432034', '+375173533907', '+375173792966', '+375296280866', '+375296342034', '+375296622122', '+375333442034']",25-09-2025 15:50:34
3,pegatec -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://tm.by,"Алмазные чашки — 125 шт. с ценами на TM.by. Купить чашку алмазную зачистную, шлифовальную с доставкой по Минску и РБ. ☎ Звоните +375(29)365-96-99.",google,['info@tm.by'],"['+375173169699', '+375256689699', '+375259659699', '+375291013109', '+375291019814', '+375291027020', '+375291032318', '+375291063594', '+375291066389', '+375291109614', '+375291273713', '+375291287552', '+375291309918', '+375291342359', '+375291360283', '+375291501269', '+375291501373', '+375291501649', '+375291501682', '+375291569973', '+375291575914', '+375291614912', '+375291614938', '+375291762978', '+375291802590', '+375291802710', '+375291890896', '+375291910120', '+375291923358', '+375291939268', '+375291939273', '+375291994818', '+375293038276', '+375293179899', '+375293334976', '+375293335296', '+375293403108', '+375293659699', '+375293766335', '+375293800766', '+375293802833', '+375293855329', '+375293868251', '+375293943105', '+375293943153', '+375296051837', '+375296258688', '+375296258707', '+375296258767', '+375296258909', '+375296387302', '+375296507894', '+375296572980', '+375296619026', '+375296689699', '+375296772581', '+375296803982', '+375296822753', '+375296871751', '+375296925277', '+375333659699', '+375336689699', '+375445372863', '+375445372865', '+375445560937', '+375445902614', '+375445994958', '+375447001987', '+375447002047', '+375447011202', '+375447506673', '+375447647069', '+375447694386', '+375447830525', '+375447937094']",25-09-2025 15:50:34
3,pegatec -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://storm.by,Щётки металлические купить в Минске можно в каталоге интернет-магазина STORM.,google,['sale@storm.by'],"['+375172976075', '+375173771228', '+375173772802', '+375173775303', '+375291855190', '+375292661492', '+375445357695']",25-09-2025 15:50:34
3,pegatec -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://minda.by,Product Features: Material: Wool Felt Weight: 0.9 lb Size: 4.5×4.5 inches / 5×5 inches Package Includes: 2pcs/4pcs/6pcs Fit Type: Universal Fit Premium Wool ...,google,"['academy.minsk.ozo@gmail.com', 'redaktorminda@gmail.com', 'secretariat.minda@yandex.ru']",[],25-09-2025 15:50:34
3,pegatec -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://www.belsvamo.by,6 сту 2022 г. ... Профессиональное сварочное оборудование стало доступнее благодаря появлению новых брендов Mitech и Spark. В магазине представлен весь модельный ...,google,"['alp@belsvamo.by', 'brest@belsvamo.by', 'duga@belsvamo.by', 'ekaterina.ermolenko@belsvamo.by', 'gomel@belsvamo.by', 'grodno@belsvamo.by', 'i.kazyukevich@belsvamo.by', 'info@belsvamo.by', 'info@harris-belarus.by', 'info@harris-belsrus.by', 'le@belsvamo.by', 'mogilev@belsvamo.by', 'oh@belsvamo.by', 'polozk@belsvamo.by', 'pp@belsvamo.by', 'service@belsvamo.by', 'soligorsk@belsvamo.by', 'ss@belsvamo.by', 'vg@belsvamo.by', 'vitebsk@belsvamo.by', 'vz@belsvamo.by', 'yav@belsvamo.by', 'zhm@belsvamo.by']","['+375175087474', '+375175087475', '+375175087490', '+375175087491', '+375175087492', '+375232350000', '+375232351111', '+375291081902', '+375291333440', '+375291559199', '+375291641131', '+375291660066', '+375291664754', '+375292660066', '+375293107989', '+375293328006', '+375293912222', '+375296536025', '+375296889969', '+375297625114', '+375445230997']",25-09-2025 15:50:34
3,pegatec -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://vidextrade.by,"Бочонок для абразивных лепестков (1). 80110 ZIP LAB Диск Clean Strip Black для удаления ЛКП, 100х16 мм, Черный. Цена по запросу. 100х16 мм.",google,['videx-trade@mail.ru'],"['+375292684868', '+375297811685', '+375297834886', '+375445876754']",25-09-2025 15:50:34
3,pegatec -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://letra.by,"Щетка чашечная для УШМ MIRAX 35142-060, предназначена для зачистки поверхностей от лакокрасочных покрытий, ржавчины, окалины, различных стойких загрязнений, ...",google,"['buh@letra.by', 'info@letra.by', 'sale@letra.by']","['+375172702914', '+375172703526', '+375173369200', '+375293369200']",25-09-2025 15:50:34
3,pegatec,149,https://pegatecabrasives.net,"Pegatec Abrasives Co., Ltd: Фабрика абразивов Pegatec с 1982 года, имеет 38-летний опыт, экспортирует более чем в 100 стран, основной продукцией являются отрезные диски, шлифовальные диски, алмазные диски и т. Д. Абразивы.",yandex,['leon@winkingde.com'],['+8618958478826'],25-09-2025 15:50:34
3,pegatec,149,https://pegatec-market.ru,"Компания Пегатек. Производим и поставляем металлорежущий инструмент: пластины, фрезы, сверла, метчики и оснастку. Продукция создаётся на базе партнёрского завода в Китае — это обеспечивает премиум-качество по конкурентной цене.",yandex,['info@pegatec-market.ru'],['+78006008552'],25-09-2025 15:50:34
3,pegatec,149,https://pegatecabrasives.ru,Компания Полидэк является официальным дилером и представляет продукцию PEGATEC Abrasives co. ltd. Это фабрика с более чем 38-летним опытом производства абразивов. Стабильное качество и хорошее обслуживание клиентов - основные задачи компании PEGATEC.,yandex,['pegatec@polidek.ru'],['+73512208404'],25-09-2025 15:50:34
