user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,кабели купить -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://avs.by,Провода и кабели в Минске в магазине Кабель Плюс ⚡ Широкий ассортимент электрической проводки для дома ✓ Гарантия качества товара ✓ Оптимальные цены ...,google,['info@avs.by'],"['+375173483906', '+375173665182', '+375173884999']",24-09-2025 08:25:14
3,кабели купить -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://wsd.by,Кабель / Провод / Шнур ✓Широкий выбор ✓Цены от 0.08 руб. ✓Профессиональные консультации ✓Быстрая доставка по Минску и РБ.,google,['info@wsd.by'],['+375296663816'],24-09-2025 08:25:14
3,кабели купить -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://musicmarket.by,"В нашем интернет-магазине вы найдете кабели известных мировых производителей, таких как Fender, Klotz, Planet Waves, Roland, Bespeco и др. Наши онлайн- ...",google,"['b2b@musicmarket.by', 'oneclick@musicmarket.by', 'shop@musicmarket.by']","['+375173882344', '+375256803344', '+375256813344', '+375296803344', '+375336803344']",24-09-2025 08:25:14
3,кабели купить -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://vserozetki.by,"Кабель, провод ... 0,60 р. 0,53 р. / 1 м. ... Упаковкой выгоднее! Цена за упаковку 100 м : 51 р. Цена за ед. товара: 0.51 р. 0.6 р. ... 7,20 р. 6,41 р. / 1 м. ... 0,85 ...",google,['info@vserozetki.by'],[],24-09-2025 08:25:14
3,кабели купить -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://ksk.by,"Каталог кабели, провода в интернет-магазине KSK. Большой ассортимент кабели, провода с доставкой по Гомелю и регионам Беларуси. Наличный, безналичный расчет ...",google,['info@ksk.by'],"['+375232241985', '+375232242466', '+375232347735', '+375445252694', '+375445252695', '+375445252696', '+375447462222']",24-09-2025 08:25:14
3,кабели купить -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://mamont.by,"Выбирать кабель следует исходя из мощности потребителя и силе тока. Например, для освещения подойдет кабель ВВГ 2×1,5, для розеток ВВГ 3X2,5 (трехжильный кабель ...",google,"['z@mamont.by', 'zakup@mamont.by']","['+375172727384', '+375173881504', '+375257504504', '+375293504504', '+375333504504', '+375445016003']",24-09-2025 08:25:14
3,кабели купить -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://www.teplodvor.by,Преимущества саморегулирующегося кабеля · Легкость подключения. Провод устойчив к перегреву и не требует равномерного поддержания температуры на различных ...,google,"['buh@teplodvor.by', 'help@teplodvor.by', 'info@teplodvor.by', 'management@teplodvor.by', 'opt@teplodvor.by', 'price@teplodvor.by']","['+375173483906', '+375173704518', '+375292004518', '+375292124518', '+375296724518', '+375296724550', '+375297724518', '+375297754218', '+79101148489']",24-09-2025 08:25:14
3,кабели купить -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://mirelectriki.by,"В нашем каталоге собрана проводниковая продукция всех нужных типов, с разным числом жил, разного сечения от слаботочных до высоковольтных: тв-кабель, UTP, ПВС, ...",google,['info@mirelectriki.by'],"['+375296334427', '+375297076067', '+73951543183']",24-09-2025 08:25:14
3,кабели купить -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://www.oma.by,"Купить силовые медные, алюминиевые кабели АПВ, ПуВ и др. с сечением от 0.5 до 35 мм2 в рассрочку (по халве и др.) в интернет-магазине ОМА!",google,"['alimenkova_t@oma.by', 'arenda@oma.by', 'brak@oma.by', 'bulavsky_a@oma.by', 'isaev_a@oma.by', 'kozlova_t@oma.by', 'ooo@oma.by', 'reklama_sale@oma.by', 'rusakovich_a@oma.by', 'schetinnikova_t@oma.by', 'shcheglova_a@oma.by', 'veselukha@oma.by', 'yankovich_s@oma.by', 'zhuk_m@oma.by']","['+375173301000', '+375173301010', '+375255364500', '+375295364500', '+375296348001', '+375445364500', '+375447778203']",24-09-2025 08:25:14
3,кабели купить -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://gemma.by,"Кабель Автопровод ВВГ-Пнг(А)-LS 3*1.5 ок (N, PE) - 0.66 10 м негорючий с низким дымовыделением ... 62,50 руб/уп.",google,"['info@gemma.by', 'pavel.sabenin@gemma.by', 'svetlana@gemma.by']","['+375295095835', '+375295132207', '+375336874236', '+375447870089']",24-09-2025 08:25:14
