user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить гитару,149,https://muz.by,"Где заказать гитару. В нашем интернет-магазине можно недорого купить гитару в Минске. У нас представлен большой выбор разнообразных музыкальных инструментов от отечественных и зарубежных производителей. У нас действует самая выгодная цена гитары, которая гораздо привлекательнее, чем у наших конкурентов.",yandex,"['info@muz.by', 'magmuz@mail.ru', 'mogilev@muz.by', 'zakaz@muz.by']","['+375173181333', '+375173550271', '+375173550608', '+375173551971', '+375173556208', '+375173557641', '+375222768004', '+375256020566', '+375293124168', '+375295423900', '+375295773900', '+375296331200', '+375296773950', '+375333918885', '+375447910271']",27-11-2025 00:57:49
3,купить гитару,149,https://piano.by,Какую акустическую гитару купить. Особенности.,yandex,"['director@piano.by', 'marketing@piano.by', 'pianino.doc@gmail.com', 'pr@piano.by', 'sales@piano.by', 'teh.support@piano.by', 'warranty@piano.by']","['+375173880500', '+375298500500', '+375447500500']",27-11-2025 00:57:49
3,купить гитару,149,https://guitarman.by,"Оптимальным вариант - купить электроакустическую гитару. Купить акустическую гитару можно онлайн на сайте, оставить заявку или обратиться в наш музыкальный магазин в Бресте. Рекомендуемые аксессуары при покупке акустической гитары: комплект акустических струн, медиатор(ы), тюнер для настройки музыкальных инструментов, чехол и ремень по необходимости.",yandex,['info@guitarman.by'],"['+375162506299', '+375295522522']",27-11-2025 00:57:49
3,купить гитару,149,https://muzforte.by,Комплекты Гитары Гитарное оборудование Гитарные аксессуары Укулеле Клавишные Ударные Звук Коммутация Микрофоны Студия DJ-оборудование Струнно-смычковые Детские музыкальные инструменты Перкуссия Духовые Наушники Стойки и держатели Народные Свет Видео Сцена.,yandex,['zakaz@muzforte.by'],['+375291556819'],27-11-2025 00:57:49
3,купить гитару,149,https://musicmarket.by,,yandex,"['b2b@musicmarket.by', 'oneclick@musicmarket.by', 'shop@musicmarket.by']","['+375173882344', '+375256803344', '+375256813344', '+375296803344', '+375336803344']",27-11-2025 00:57:49
3,купить гитару,149,https://guitarhouse.by,+ - - - Гитарные - Бас-гитарные бриджи - струнодержатели и аксессуары. + - - - - Бриджи и струнодержатели для акустических и джазовых гитар.,yandex,"['admin@guitarhouse.by', 'info@guitarhouse.by']","['+375293993520', '+375298993520']",27-11-2025 00:57:49
3,купить гитару,149,https://crazysound.by,,yandex,"['sales@crazysound.by', 'store@crazysound.by']",['+375296372435'],27-11-2025 00:57:49
3,купить гитару,149,https://globalsound.by,"Акустическая Гитара — по праву считается самым востребованным и желаемым в молодежной среде музыкальным инструментом. В нашем магазине ""Global Sound"" у Вас есть уникальная возможность купить акустическую гитару на любой вкус и цвет.",yandex,"['info@globalsound.by', 'mailto.andy2@gmail.com', 'shop@globalsound.by']","['+375173742525', '+375293442525', '+375333442525']",27-11-2025 00:57:49
3,купить гитару,149,https://guitarcity.by,"Гитары для начинающих и профессионалов, укулеле, гиталеле, скрипки, клавишные, ударные, духовые инструменты, струны. Большой выбор аксессуаров недорого. Гарантия 1-3 года. Доставка по Минску и всей Беларуси.",yandex,['info@guitarcity.by'],"['+375299474617', '+375333424990']",27-11-2025 00:57:49
3,купить гитару,149,https://struna.by,"Если купить бас-гитару или электрогитару — у музыканта сразу появляется возможность опробовать широчайший спектр гитарных эффектов. Именно применение звукоснимателей и создание электро- и бас-гитар привело к революции в музыке, значительно расширило горизонты творческих возможностей.",yandex,['strunaby@tut.by'],"['+375173281830', '+375255169403', '+375291255400', '+375336466242']",27-11-2025 00:57:49
