user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,КУПИТЬ СНЕГОВИКА,149,https://aliexpress.ru,,yandex,['username@domain.ru'],[],26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://oz.by,"Купить игрушки на ёлку снеговики в Минске, Гомеле, Бресте, Гродно, Витебске, Могилеве с доставкой по всей Беларуси! Новогодние ёлочные игрушки снеговики: цены, фото и отзывы покупателей в каталоге OZ.by.",yandex,"['logo@2x.png', 'oz@oz.by']","['+375172727384', '+375172785098', '+375173483906']",26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://oma.by,"Купите выгодно в интернет-магазине ОМА с доставкой или самовывозом в Минске, Гомеле, Витебске, Могилеве, Бресте, Гродно. Фото, характеристики, отзывы.",yandex,"['brak@oma.by', 'ooo@oma.by']","['+375173301000', '+375173301010', '+375447778203']",26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://mebelsad.by,"Размеры снеговика могут быть разными,на Ваш выбор..Игрушки и украшения в стоимость не входят.Этот аксессуар здорово украсит и отлично подчеркнет стиль Вашего дома.Купить новогоднего снеговика из дерева недорого,по цене производителя,в Минске или в Гомеле с доставкой Вы можете у нас!",yandex,"['3455ffeaa51d45e1814ac3e07c1ce079@prom-errors.evo.run', 'support@deal.by']","['+375173889484', '+375291052069', '+375294911911', '+375336003348']",26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://msvet.by,Снеговик с флагом купить в Беларуси на заказ от компании Много Света. Новогодняя иллюминация для улицы.,yandex,"['brest@msvet.by', 'grodno@msvet.by', 'minsk@msvet.by', 'mnogosve4@gmail.com', 'mogilev@msvet.by', 'vitebsk@msvet.by']","['+375152682581', '+375152682584', '+375162594752', '+375162595354', '+375172751083', '+375173923681', '+375212223352', '+375212224253', '+375212225754', '+375222642735', '+375222642739', '+375291707041', '+375291801880', '+375291804480', '+375293156233', '+375293159645', '+375293206606', '+375295404085', '+375295775778', '+375296606487', '+375296606626', '+375296707034', '+375296775787', '+375298329458', '+375447737274', '+375447837833', '+375447857856']",26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://mile.by,"Новогодние сувениры и мягкие игрушки, новогодний снеговик заказать в интернет-магазине. Большой выбор товаров к Новому году, для дома и дачи, для стройки и ремонта во всех гипермаркетах Mile, более 80 000 товаров, доставка по РБ, наличный и безналичный расчет.",yandex,"['cc@mile.by', 'dpo@mile.by', 'info@mile.by']","['+375173181333', '+375173475050', '+375173608211', '+375173771393', '+375173881055', '+375256615050', '+375295595050', '+375296337722', '+375447795050']",26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://padarunak.by,"Фигурка ""Снеговик-весельчак"" 28 см, красный цвет купить по выгодной цене в Минске.",yandex,['info@padarunak.by'],"['+375293778721', '+375296602447']",26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://maxy.by,Полезное об искусственных соснах: как правильно купить.,yandex,"['admin@maxy.by', 'av2108@mail.ru']","['+375291197106', '+375291703897', '+375445840600']",26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://reklamaef.by,"Купить Снеговики в Минске - цены, товары и услуги компании ""ООО «Реклэф»"": +375 (29) 601-32-24 А1.",yandex,"['3455ffeaa51d45e1814ac3e07c1ce079@prom-errors.evo.run', 'reklef@list.ru', 'support@deal.by']","['+375172389334', '+375173889484', '+375294911911', '+375296013224', '+375333784366']",26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://dwr.by,Уличная световая фигура Снеговик серия Ажур. Цена 2500 руб.,yandex,['info@dwr.by'],"['+375296289684', '+375296413337', '+375445890000']",26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://suvena.ru,"Купить Фигурку Снеговик в шапке, 6 видов - декоративные фигурки к Новому Году и Рождеству.",yandex,['sales@suvena.ru'],"['+79651302100', '+79999999999']",26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://chay.by,"Милая фигурка снеговика на высоких ножках, которые еще можно удлинять.",yandex,"['info@chay.by', 'product@chay.by']","['+375173551837', '+375259016426', '+375298879453']",26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://lukukla.by,"Описание Ростовая кукла ""Снеговик Крези""- веселый и любимый всеми персонаж из мультфильма ""Холодное..",yandex,['sales@lukukla.by'],['+375445863231'],26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://fix-price.by,"Отличный выбор для подарка! В ассортименте представлены фигурки снеговиков и оленей. Высоту фигурок можно регулировать: снеговик – 37,5-51,5 см; олень – 40-55 см. Состав: полиэстер, полипропилен, сталь, стекло, дерево, акрил, ПВХ.",yandex,"['card@fix-price.by', 'u003ecard@fix-price.by']",['+375445141904'],26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://berkano.by,"Светильник MR.SNOWMAN имеет степень влагозащиты IP68, что дает ему возможность работать как внутри, так и снаружи помещения независимо от погодных условий, а материал, из которого изготовлен светильник, не требует специального ухода. Снеговик по Вашему выбору может светиться тёплым, холодным или нейтральным светом – такое разнообразие позволит грамотно подобрать декоративный светильник для различных помещений и...",yandex,['info@berkano.by'],['+375447762346'],26-11-2025 22:55:01
3,КУПИТЬ СНЕГОВИКА,149,https://kibet-shop.ru,"Снеговики, более 624 моделей в каталоге. Снеговики в Москве с быстрой доставкой по России, фото, характеристики товара.",yandex,['info@kibet-shop.ru'],"['+74953745179', '+78005552479']",26-11-2025 22:55:01
