user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить стеклянные бутылки от производителя,149,https://pglass.by,Экологичная продукция из стекла от лучших европейских производителей: стеклянные бутылки для напитков и стеклянные банки для консервирования.,yandex,"['buh@pglass.by', 'dir@pglass.by', 'sales@pglass.by']","['+375296712683', '+375296712716']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://vedaglass.by,"Производство. Наш завод по производству стеклянных бутылок и банок оснащен современным и высокотехнологичным оборудованием импортных производителей. Высокая точность техники позволяет нашей компанией изготавливать высококачественную продукцию как большими, так и маленькими партиями.",yandex,"['gb.sv@vedaglass.by', 'gs.sv@vedaglass.by', 'i.alexandrovich@vedaglass.by', 'in.romankova@vedaglass.by', 'info@vedaglass.by', 'j.karchmit@vedaglass.by', 'sales@vedaglass.by']","['+375172546665', '+375172546666', '+375173900001', '+375173900002', '+375291117044', '+375293898476', '+375293898740', '+375293899452', '+375296971258', '+375445556056']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://steklobanka.by,"Стеклянные бутылки оптом: предложение от Steklobanka.by На сайте интернет-магазина представлены емкости из стекла разных форм и размеров, можно подобрать банки и бутылки для хранения продуктов, поделок, декоративные варианты.",yandex,['info@steklobanka.by'],"['+375172709774', '+375292899936', '+375293143508']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://glass-decor.ru,"Впечатляющий ассортимент стеклянных бутылок. В каталоге производителя Glass Décor представлено свыше 30 оригинальных бутылок сложной геометрии из бесцветного стекла, на основе которых выполняется персональная декорация. Помимо стандартных, предлагаем купить выразительные и запоминающиеся элитные модели.",yandex,['sales@glassdecor.ru'],['+74951980960'],14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://impex-invest.by,Каталог стеклянных бутылок.,yandex,['info@impex-invest.by'],"['+375212651999', '+375212654999', '+375333992277']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://xn--80aanufspcje.xn--90ais,"это стеклянные банки и бутылки от компании ООО ""СТЕКЛО-ОПТ"".",yandex,"['brest@steklo-opt.by', 'gomel@steklo-opt.by', 'info@steklo-opt.by', 'mogilev@steklo-opt.by', 'steklotara@steklo-opt.by']","['+375291041507', '+375291181107', '+375291567009', '+375292462811', '+375293672868', '+375298819127']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://grodnoglass.by,"Бутылки стеклянные для пива, среднегазированных и слабогазированных безалкогольных напитков.",yandex,['info@grodnoglass.by'],"['+375152322735', '+375152524114', '+375232943368', '+375333171834', '+73436436873']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://belstekloprom.com,"О производстве бутылки. Мы производим коричневую стеклянную тару используя самые последние разработки в области стекольного производства. Сотрудничаем с компаниями с мировыми именами, по производству формо комплектов и оснастки стекло формующих машин, что в свою очередь обеспечивает качество и надежность готового изделия. Так же мы можем предложить разработку индивидуального дизайна бутылки и производство его в тестовом режиме.",yandex,"['bspgomel@gmail.com', 'info@belstekloprom.com', 'ok@belstekloprom.com', 'otk@belstekloprom.com', 'sbit@belstekloprom.com', 'snab@belstekloprom.com']","['+375232201434', '+375232221178', '+375232231335', '+375232250299', '+375232251842']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://avito.ru,Бутылка стекло 1л водочная.,yandex,['75608f22c1d64bf8a00dc85ea4120c99@sentry.msk.avito.ru'],[],14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://honey-bunny.by,,yandex,['zakaz@honey-bunny.by'],['+375293870907'],14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://braga.by,,yandex,['bragaby@mail.ru'],"['+375296863200', '+375333209900']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://alambik.by,Бутылка стеклянная купить в Минске по лучшей цене. Заказать стеклянные бутылочки в интернет-магазине Alambik.,yandex,['zakaz@alambik.by'],"['+375291296006', '+375292196006']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://glass-union.ru,"Купить стеклотару оптом по низким ценам с быстрой доставкой по России и СНГ. Широкий ассортимент стеклянных бутылок и банок. Прямые поставки, гибкие условия, быстрая отгрузка. Закажите стеклотару для вашего бизнеса.",yandex,['info@glass-union.ru'],['+78006004199'],14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://pegas61.ru,"Купить стеклянные бутылки оптом. Доступные, лояльные расценки, которые выгодно отличаются от того, что предлагают конкурирующие компании.",yandex,['pegas161@yandex.ru'],"['+79281818826', '+79282293349']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://gdesteklo.ru,"Любые виды банок и бутылок, а также крышки, пробки и колпачки. Оптовые поставки по РФ и СНГ. Стеклотара оптом для вашего бизнеса.",yandex,"['docs@gdesteklo.ru', 'ekaterina@gdesteklo.ru', 'law@gdesteklo.ru', 'logistika@gdesteklo.ru', 'lolita@gdesteklo.ru', 'natalya@gdesteklo.ru', 'o.chubchenko@gdesteklo.ru', 'olga@gdesteklo.ru', 'sales@gdesteklo.ru', 'tatiana@gdesteklo.ru', 'yurasova@gdesteklo.ru']","['+74994906036', '+78002000603', '+79307301835']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://butylka.by,"Бутылка под бугельную пробку, 0,5 л (темная, без пробки).",yandex,['info@template.by'],"['+375291296006', '+375292196006']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://slodes.ru,,yandex,['info@slodes.ru'],"['+74951259265', '+78002011105', '+79002458712', '+79289069945', '+79295339967', '+79299383895', '+79649205046', '+79653877916', '+79859395308']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://steklotar.ru,"Заказать бутылки на 500мл можно как из коричневого, так и из прозрачного стекла.",yandex,['laikaglass@mail.ru'],['+78314248820'],14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://xn--e1akadbqrigi4h.xn--p1ai,ООО «СТЕКЛОКУЛЬТ» – полный цикл от производства стеклотары до отгрузки с гарантией качества. Работаем с оптовыми заказами от одной палеты. Для оформления заказа и по всем вопросам обращайтесь по телефону +7 (999) 133-19-96.,yandex,['sales@steklokult.ru'],"['+78003024672', '+79263133555', '+79723119170', '+79991331996']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://kubansteklotara.ru,Компания «КубаньСтеклоТара» предлагает заказать бутылки стеклянные оптом по выгодным ценам в Краснодаре. Производство стеклянной и пластиковой тары. Продукция в наличии и под заказ. Доставка по РФ.,yandex,"['dr@kubansteklotara.ru', 'glavbuh@kubansteklotara.ru', 'hr1@kubansteklotara.ru', 'hr@kubansteklotara.ru', 'info@kubansteklotara.ru', 'logist@kubansteklotara.ru', 'nachsnab@kubansteklotara.ru', 'otdquality@kubansteklotara.ru', 'snabzheie@kubansteklotara.ru']","['+73363440431', '+73533368842', '+73834923940', '+73854837355', '+73885010356', '+73906171045', '+78005500618', '+78007008927', '+78007752175', '+79280369193', '+79385402494', '+79884882088', '+79891262320', '+79892883189', '+79898554068']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://astrahim.by,Огромный выбор любой пластиковой и стеклянной посуды для лабораторий в наличии и под заказ.,yandex,"['astrahim.sales@gmail.com', 'iinfo@interlab.by', 'info@interlab.by']","['+375172702700', '+375232342000', '+79258380101', '+79903218359', '+79997653421']",14-10-2025 21:59:04
3,купить стеклянные бутылки от производителя,149,https://xn--e1akdjdbhjj.xn--p1ai,Стеклянные бутылки от производителя.,yandex,"['info@prosteklo-glass.ru', 'info@xn--e1akdjdbhjj.xn', 'sales@prosteklo-glass.ru']","['+12345678999', '+79199929182', '+79260964886']",14-10-2025 21:59:04
