user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,кабели от производителя минск купить,149,https://set-light.by,,yandex,"['info@set-light.by', 'set-light@mail.ru']","['+375296668744', '+375447491087']",14-10-2025 22:12:52
3,кабели от производителя минск купить,149,https://intag.by,,yandex,['info@intag.by'],"['+375172168216', '+375172505505', '+375291310392']",14-10-2025 22:12:52
3,кабели от производителя минск купить,149,https://cable.by,"Купить кабели, силовые кабели, провода и муфты в Минске по низким ценам от российских производителей кабельной продукции.",yandex,['moskabel@cable.by'],"['+375291226060', '+375292226060']",14-10-2025 22:12:52
3,кабели от производителя минск купить,149,https://minskkabel.by,"Ведущий производитель кабельно-проводниковой продукции. Совместное общество с ограниченной ответственностью «Минский кабельный завод «Минсккабель» входит в группу ведущих производителей кабельно- проводниковой продукции и специализировано на производстве оптических кабелей для взаимосвязанной сети связи Беларуси, России, стран СНГ и дальнего зарубежья. Предприятие основано в 2000 году, Производство расположено в свободной экономической зоне «СЭЗ Минск» на территории в 1,5 га.",yandex,"['mail@infocable.by', 'mail@minskkabel.by', 'ooo-erz@yandex.ru', 'sales@minskcable.ru', 'vksintez18@gmail.com']","['+375173462483', '+375173972298', '+74722268244', '+77052514282', '+77057952316', '+77232555682', '+78125787770']",14-10-2025 22:12:52
3,кабели от производителя минск купить,149,https://sertalit.by,"Купить кабель и провод в Минске оптом в компании ОАО «Серталит» очень просто: для этого просто свяжитесь с нами по указанным на сайте телефонам, либо оформите заказ онлайн.",yandex,"['bay@sertalit.by', 'cabel@sertalit.by', 'kabel@sertalit.by', 'ktv@sertalit.by', 'mys@sertalit.by', 'pdp@sertalit.by', 'provod@sertalit.by', 'sds@sertalit.by', 'sta@sertalit.by']","['+375173752164', '+375173752195', '+375173754496', '+375173758945', '+375173759864', '+375293609298', '+375295609238', '+375296146084', '+375296574128', '+375447367189', '+375447446448', '+375447518425']",14-10-2025 22:12:52
3,кабели от производителя минск купить,149,https://stroka.by,У нас вы можете купить кабель и провод любой необходимой вам марки по отличным ценам.,yandex,['info@stroka.by'],"['+375173903700', '+375173904333', '+375176041010', '+375176051010', '+375296041010', '+375296051010']",14-10-2025 22:12:52
3,кабели от производителя минск купить,149,https://borvita.by,"На транспорте и в машиностроении для технологического оснащения станков и агрегатов, проводки автомобилей и т.д. В строительстве: в системах умный дом, видеонаблюдения, пожарной безопасности, отопительных сетей и пр. Купить кабель в Минске недорого. В ООО ""Борвита"" вы можете купить кабель в Минске недорого по лучшим ценам.",yandex,['market@borvita.by'],"['+375173710621', '+375256709215', '+375291114937', '+375291719097', '+375293172068', '+375293385860', '+375293755002', '+375293755012', '+375293755013', '+375296073030', '+375296243332', '+375296243334', '+375297609198', '+375298399659', '+375447626260']",14-10-2025 22:12:52
3,кабели от производителя минск купить,149,https://vikab.by,"Кабели силовые на напряжение 0,66–6 кВ.",yandex,['info@vikab.by'],"['+375212480105', '+375212480112', '+375212480113', '+375212480114', '+375212480115', '+375212480117']",14-10-2025 22:12:52
3,кабели от производителя минск купить,149,https://elkabos.by,,yandex,"['buh@elkabos.by', 'info@elkabos.by']","['+375173790510', '+375291040524']",14-10-2025 22:12:52
3,кабели от производителя минск купить,149,https://rkkabel.by,"Цена на кабель (провод) производства РБ, формат .xlsx (ассортимент продукции, цена по запросу).",yandex,['info@rkkabel.by'],"['+375173909415', '+375298420400', '+375445420400']",14-10-2025 22:12:52
