user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить очки,149,https://joom.ru,"Женские модные очки для чтения «кошачий глаз», мужские винтажные очки с блокировкой синего света, ретро-сверхлегкие очки для дальнего зрения при пресбиопии 0+1,0+4,0. Модные металлические очки для чтения «кошачий глаз» женские с защитой от синего света, высокой четкости, оптические очки по рецепту от 0 до +4.0.",yandex,"['ipr@jm.tech', 'support@jm.tech', 'u002fbrand2@2x.png', 'u002fbrand2@3x.png', 'u002fbrand2@4x.png', 'u002findia_circle_v2@2x.png', 'u002findia_circle_v2@3x.png', 'u002findia_circle_v2@4x.png', 'u002fplus-size-v2@2x.png', 'u002fplus-size-v2@3x.png', 'u002fplus-size-v2@4x.png', 'u002frating2@2x.png', 'u002frating2@3x.png', 'u002frating2@4x.png', 'u002fsouth_korea_circle_v2@2x.png', 'u002fsouth_korea_circle_v2@3x.png', 'u002fsouth_korea_circle_v2@4x.png']",[],26-11-2025 19:39:50
3,купить очки,149,https://halvaoptik.by,"» »» Готовые очки: ваш идеальный выбор в оптике Халва. Как в любом продуктовом магазине можно купить товары, готовые к употреблению, так и в салоне оптики Халва можно выбрать готовые очки. Вам не нужно долго подбирать оправу, потом определяться с линзами и ждать изготовления несколько дней. вы просто выбираете вариант, подходящий под ваши параметры (рецепт и внешний вид) из предложенных.",yandex,"['gold_optik@mail.ru', 'halvaoptik.by@gmail.com']",['+375447002411'],26-11-2025 19:39:50
3,купить очки,149,https://polza-shop.by,,yandex,"['belpa-roznica@tut.by', 'shoppolza.by@gmail.com']","['+375172151465', '+375172152626', '+375172477916', '+375173908225', '+375293332096', '+375293958225', '+375333968225', '+375445688792', '+375447969671']",26-11-2025 19:39:50
3,купить очки,149,https://optika-fielinn.by,"Прежде всего, солнцезащитные очки являются незаменимой защитой ваших глаз от вредных ультрафиолетовых лучей. Они фильтруют видимый свет и предотвращают ослепление. Самый главный критерий при покупке солнцезащитных очков - это гарантированная защита очков от ультрафиолета!",yandex,"['call@optika-fielinn.by', 'info@optika-fielinn.by']","['+375173188656', '+375447327052']",26-11-2025 19:39:50
3,купить очки,149,https://funoptik.by,"Оптика Funtastik в Минске - это 8 магазинов оптики по всему городу, изготовление очков на заказ и более 1000 товаров для всей семьи в каждом салоне.",yandex,['bcgvxnshagnfgvx@lnaqrk.ol'],"['+375162290924', '+375162340646', '+375179557204', '+375234550507', '+375291521003', '+375291601632', '+375291744299', '+375291829229', '+375292400885', '+375293035717', '+375293038433', '+375293534757', '+375296137569', '+375296750503', '+375296773636', '+375296851693', '+375296858041', '+375296967854', '+375445022003', '+375445307036', '+375445389660', '+375445699954', '+375445972877', '+375447029454', '+375447029555', '+375447140077', '+375447143677', '+375447430818', '+375447437558', '+375447649856', '+375447686605', '+375447947566']",26-11-2025 19:39:50
3,купить очки,149,https://optikaprosvet.by,"Купить очки в Минске можно в любой из наших салонов оптики PROSVET. В наличии всегда большое количество моделей на разный вкус и из различных материалов. В зависимости от того, какого стиля вы придерживаетесь в ассортименте всегда найдутся классические, повседневные, спортивные, изысканные или неформальные оправы.",yandex,['info@optikaprosvet.by'],"['+375257776688', '+375291292391', '+375291498078', '+375291744144', '+375291816117', '+375293033431', '+375293098754', '+375293262622', '+375293831833', '+375296220278', '+375296267225', '+375296364144', '+375296774144', '+375336666949', '+375445041162', '+375445345455', '+375445556868', '+375445559936', '+375447123141', '+375447260903', '+375447260908', '+375447269858', '+375447670052', '+375447808580', '+375447809595']",26-11-2025 19:39:50
3,купить очки,149,https://vitoptica.by,,yandex,['shop@vitoptica.by'],"['+375212642277', '+375291642277', '+375336642277']",26-11-2025 19:39:50
3,купить очки,149,https://medoptica.by,,yandex,['gammafiatos@yandex.by'],"['+375173476803', '+375177750100', '+375292224664', '+375295779448', '+375297132544', '+375297960079', '+375298593980', '+375333999921', '+375336405727', '+375336436855', '+375336666840']",26-11-2025 19:39:50
3,купить очки,149,https://optika38.by,"оптика Минск, очки для зрения, купить очки.",yandex,['info@optica38.by'],"['+375296673838', '+375447643838', '+375447653838', '+375447663838']",26-11-2025 19:39:50
3,купить очки,149,https://optika-r.by,,yandex,['info@optika-r.by'],"['+375173779380', '+375333525525', '+375447303740']",26-11-2025 19:39:50
3,купить очки,149,https://optikastyle.by,У нас вы сможете купить очки для любой ситуации — от стильных оправ для очков до удобных моделей для повседневного использования.,yandex,['optika7676@mail.ru'],"['+375216550505', '+375298595757', '+375298595793', '+375298635757', '+375298835757']",26-11-2025 19:39:50
3,купить очки,149,https://ochkarik.ru,"Каталог оправ для очков интернет-магазина «Очкарик». В каталоге оправ оптики «Очкарик» много стильных очков из пластика или металла, также есть комбинированные варианты. Выбор настолько широкий, что можно купить оправы на каждый день недели и носить их по настроению.",yandex,"['info@ochkarik.ru', 'zakaz@ochkarik.ru']",['+78004444044'],26-11-2025 19:39:50
3,купить очки,149,https://masterglasses.ru,"Оптика MasterGlasses - это возможность купить солнцезащитные очки, оправы, линзы для очков и аксессуары по низким ценам. Салоны в Москве и Спб.",yandex,['info@masterglasses.ru'],"['+74951850985', '+78003011169', '+78123854929']",26-11-2025 19:39:50
3,купить очки,149,https://wdl.by,"Оправы для очков для зрения в салонах WDL Оптика и интернет-магазине WDL.BY. В ассортименте сети WDL Оптика представлено более 5000 оправ для мужчин, женщин и детей. В наших магазинах вы найдете как брендовые, так и бюджетные очки для зрения из металла и пластика.",yandex,['sale@wdl-optika.webteam.by'],"['+375296609060', '+375297906000']",26-11-2025 19:39:50
3,купить очки,149,https://apte4ka.by,Готовые очки по доступным ценам. Подробные инструкции в каталоге. Широкий ассортимент. Профессиональная консультация online фармспециалиста. Доставка в ближайшую аптеку.,yandex,['info@apte4ka.by'],[],26-11-2025 19:39:50
3,купить очки,149,https://voltra.by,"Защитные очки предотвращают попадания в глаза пыли, жидкостей, различных частиц. Исключают вредное воздействие инфракрасного и ультрафиолетового излучения. Защитные очки покупают для работы с садовыми, металлорежущими и слесарными инструментами.",yandex,['info@voltra.by'],"['+375255251221', '+375291691221', '+375291931221', '+375295751221', '+375445931221']",26-11-2025 19:39:50
