user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,дрова купить Раков Минская область,166,https://xn----7sbacils3dr.xn--90ais,"Колотые сухие дрова в Минске, с доставкой по Минскому району и области.",yandex,['mail@база-дров.бел'],['+375295517700'],26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://e-drova.by,"Качественные дрова с доставкой в Раков от производителя. Компания Е‑Дрова — это надёжный поставщик дров в Минской области с многолетним опытом. Мы знаем, что для жителей агрогородка Раков и всего Воложинского района важно получать топливо, которое горит ровно, даёт максимум тепла и не доставляет лишних хлопот.",yandex,['info@e-drova.by'],"['+375336826820', '+79999999999']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://drovaminsk.by,"Березовые дрова, колотые купить за 80 рублей за кубический метр в Минске недорого с доставкой по всему Минскому району.",yandex,['info@drovaminsk.by'],['+375292500095'],26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://centrdrov.by,,yandex,"['centrdrov.by@yandex.ru', 'info@centrdrov.by']","['+375296369947', '+375336670570', '+79999999999']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://rakov-les.by,"Для доставки на небольшие расстояния от Ракова имеется возможность доставить пиломатериалы на тракторе, что важно для труднопроходимых дорог.",yandex,"['info@bilotos.pl', 'lemeshonok_pasha@tut.by']",['+375296676666'],26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://100drov.by,по Минской области от производителя.,yandex,['3999393@gmail.com'],['+375293999393'],26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://dostavkadrov.by,Доставка дров на завтра – привезём дрова в любую точку Минска и области.,yandex,['toples_grupp@mail.ru'],['+375293094999'],26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://xn--80al5a.xn--90ais,ЖАР.БЕЛ — Купить колотые дрова. +375 (33) 320-75-51. +375 (44) 540-03-51. Цены на дрова. Печи Барон. Контакты. +375 (33) 320-75-51. +375 (44) 540-03-51. Цены на дрова. Печи Барон. Контакты. Home Доступные дрова каждому. Доступные дрова каждому. Дрова доставляются в сетках. В сетку помещается 1 (один) плотный куб дров. ЗАКАЗАТЬ. ic_shopping_cart_128.,yandex,['udachi.by@gmail.com'],"['+375333207551', '+375445400351']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://spectex.by,"Минская область, г. Узда, п.Смолзавод.",yandex,['info@spectex.by'],"['+375295634995', '+375297718251', '+375447835010']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://vse-stroy.by,Заготовка и продажа дров в Минске и Минской области.,yandex,['bel.klient.servis@yandex.by'],"['+375298381122', '+375336381122', '+375445574487', '+375447525601']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://perevozka24.by,Заказать дрова из ольхи с доставкой в Минской области на сайте «Перевозка 24».,yandex,['mail@perevozka24.com'],['+375296177868'],26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://drova-rb.by,"Дрова с доставкой в Минск, район и область. Это значит, что вы можете купить дрова по наиболее низкой стоимости, не оплачивая услуги посредников. Заказать звонок.",yandex,['borikst@mail.ru'],"['+375259273570', '+375291819862', '+375297719862']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://drova-minsk.by,‹ › Дрова с доставкой по Минску и Минскому району.,yandex,['borsera@mail.ru'],"['+375295007680', '+375296757790', '+375445842191']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://beldrova.by,"Купить дрова в минске и минском районе. Смолевичи, Жодино, Логойск, Червень. А также в радиусе 30 километров от минска.",yandex,['belbeton@bk.ru'],"['+375291111670', '+375296666593']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://drovaelit.by,"Колотые дрова с доставкой в Минске и Минской области от компании «Дрова Элит». Предоставляет колотые дрова любых видов: березовые, хвойные, ольховые и дубовые, а также березовые чурки, благоустройство, декоративная штукатурка и дрова в сетках.",yandex,['shapkov75@mail.ru'],"['+375296282490', '+375296632491']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://lespila.com,"Хвойные дрова (сосна, ель): Эти дрова не только обеспечивают тепло, но и наполняют дом восхитительным ароматом. Отличный выбор для камина или барбекю. Преимущества покупки у нас. Когда вы выбираете нашу компанию, вы получаете не просто качественные дрова, но и целый ряд дополнительных преимуществ",yandex,['info@lespila.com'],"['+375291086565', '+375333059736', '+375333059739', '+375333627304']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://hompil.by,"Купить дрова в «Хомпил» выгодно и удобно: у нас вы купите дрова с доставкой всего по 200 тысяч рублей — это одна из самых низких цен на рынке Беларуси; вам не нужно приезжать: позвоните по телефонам, указанным внизу страницы, сделайте заказ — и мы сами погрузим и привезём вам дрова по указанному адресу",yandex,['ip-homich@tut.by'],"['+375163192650', '+375296621734', '+375298244619', '+375333301168']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://xn----7sbhfht8cfbe.xn--90ais,"Колотые дрова можно приобрести как насыпью, так и складометром с нашей доставкой или самовывозом со склада.",yandex,['das.service.by@gmail.com'],['+375333335560'],26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://strvmeste.by,"Купить колотые дрова можно оставив заявку на сайте или позвонив по телефону. В нашем интернет-магазине принимаются все формы оплаты, возможна доставка по Минску и в регионы.",yandex,['artelstrojplan@gmail.com'],"['+375296505163', '+375445376749']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://7771.by,"Дрова доставляются в сетках В сетку помещается один плотный куб дров Объем сетки 2 м,куб Высота сетки 1,63 м Диаметр сетки 1,25 м Ни один дачный участок не обходится без колотых дров.Причина тому - отопление помещений, потому что это составляющая часть отдыха.Мн.",yandex,['udachi-artox@yandex.ru'],"['+375173929792', '+375296803736', '+375336803736', '+79999999999']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://apaomo.by,"Покупка сертифицированных дров обеспечивает вам спокойствие и уверенность в выборе. Покупайте колотые дрова в Apaomo.by Покупайте колотые дрова Apaomo.by если вы цените комфорт, экологичность и эффективность отопления. Обеспечьте вашему дому тепло и уют, выбрав качественные колотые дрова, которые станут надежным источником тепла на долгие годы.",yandex,['araomo@bk.ru'],['+375333013888'],26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://minsk100.by,Купить колотые дрова в Минске с доставкой и выгрузкой,yandex,['info@minsk100.by'],[],26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://kopyllh.by,Купить Дрова колотые - по выгодной цене. Собственное производство. Наличие. Звоните нам по единому номеру телефону: 7828 МТС и А1.,yandex,['mail@kopyllh.by'],"['+375171925339', '+375171927777', '+375333801667', '+375445318978']",26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://kolodischi.by,Организации и предприниматели осуществляющие продажу и доставку дров и угля в Минске и Минском районе.,yandex,['mail@kolodischi.info'],['+375447495457'],26-10-2025 16:30:32
3,дрова купить Раков Минская область,166,https://belstu.by,"Доставка колотых дров лиственных и хвойных пород, по Минску и Минскому району.",yandex,"['pk@belstu.by', 'root@belstu.by']",[],26-10-2025 16:30:32
