user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,этикетка оптом,149,https://beloptovik.by,,yandex,['info@beloptovik.by'],['+375445556018'],29-09-2025 15:09:47
3,этикетка оптом,149,https://belalfaplus.by,Заказать этикетки самоклеящаяся с логотипом оптом у производителя БелАльфаПлюс.,yandex,['belalfaplus@gmail.com'],"['+375291410074', '+375291450038', '+375291450073']",29-09-2025 15:09:47
3,этикетка оптом,149,https://bm-market.by,"Термоэтикетки и полимерная упаковка в Минске от компании «БЕЛМАЕНТАК»: этикетки в рулоне, пакеты «Майка», пакеты с вырубной ручкой, биоразлагаемые (ЭКО) пакеты, фасовочные пакеты, пакеты под мусор и для упаковки.",yandex,['7535353@bk.ru'],['+375447535353'],29-09-2025 15:09:47
3,этикетка оптом,149,https://unipress.by,Как заказать оптом самоклеющиеся этикетки?,yandex,['info.unipress@gmail.com'],"['+375172709030', '+375175127704', '+375291661794', '+375296101929', '+375333942866']",29-09-2025 15:09:47
3,этикетка оптом,149,https://price-etiketka.ru,"Прайс этикетка продает термоэтикетки в ролах различных типов и размеров, оптом и в розницу от 71 рубля за рулон. Доставка от 5 коробок - бесплатна. Самым популярным размером является 58*60 мм, но например есть и не стандартные размеры - 58*90 мм.",yandex,"['info@price-etiketka.ru', 'msk@price-etiketka.ru']","['+73432279538', '+73842780028', '+74722256916', '+74955874480', '+78126789520', '+78314351388', '+79781261651', '+79999999999']",29-09-2025 15:09:47
3,этикетка оптом,149,https://xn----itbibibqpajzdf7l.xn--p1acf,"Купить этикетки и упаковочные материалы оптом дешево, стейч пленку, скотч, зип пакеты оптом дешево.",yandex,['etiketkioptom@mail.ru'],['+79203511212'],29-09-2025 15:09:47
3,этикетка оптом,149,https://prodavan.by,"Термотрансферные этикетки – это специальные наклейки, которые печатаются с использованием термотрансферных принтеров.",yandex,['info@prodavan.by'],"['+375255016878', '+375293117292']",29-09-2025 15:09:47
3,этикетка оптом,149,https://upakovki.by,"Широкий выбор: в нашем ассортименте представлены самоклеящиеся этикетки разных размеров, форм, материалов и цветов. Высокое качество: мы используем только сертифицированные материалы и современное оборудование. Доступные цены: мы предлагаем своим клиентам выгодные цены на самоклеящиеся этикетки.",yandex,['lebras@tut.by'],"['+375296426963', '+375296977375']",29-09-2025 15:09:47
3,этикетка оптом,149,https://etiketka.com.by,Только оптом.,yandex,"['anna_vasilenko@ntsretail.by', 'ntspoligrafia@mail.ru', 'priemnaya@ntsretail.by']","['+375173171533', '+375232246244', '+375234065189', '+375296109157', '+375445359125', '+375447774014']",29-09-2025 15:09:47
3,этикетка оптом,149,https://iteraplast.by,"1. Оставить заявку на Самоклеящиеся этикетки оптом. 2. Заявка действует бессрочно, поясняем, если вы оставили заявку под своим номером скидка для Вас сохраняется! 3. Менеджер перезвонит в течение часа и скажет цену со скидкой.",yandex,['iteraplast@gmail.com'],"['+375222715151', '+375222746688', '+375222876688', '+375291090998']",29-09-2025 15:09:47
3,этикетка оптом,149,https://unimark.by,,yandex,['info@unimark.by'],"['+375172504545', '+375295583030', '+375445583030']",29-09-2025 15:09:47
3,этикетка оптом,149,https://gala-poly.by,"В работе мы используем полиэстер белого и черного цвета, цветной и белый сатин и нейлон, тафту, более десяти видов хлопка, киперную ленту, а также ленты для сувенирной продукции. Исходя из выбранного материала будет варьироваться стоимость конечного изделия. Вы хотите купить печатные этикетки в количестве от одной штуки в розницу и оптом?",yandex,['info@gala-poly.com'],['+375298285555'],29-09-2025 15:09:47
3,этикетка оптом,149,https://yudway.by,,yandex,"['//office@yudway.by', 'office@yudway.by']","['+375173360462', '+375173360464', '+375173360465', '+375173360467', '+375296666489', '+375336666491', '+375336666492', '+375336666497']",29-09-2025 15:09:47
3,этикетка оптом,149,https://pos.by,Поможем подобрать и купить самоклеящиеся этикетки.,yandex,['info@pos.by'],"['+375172570303', '+375172579199', '+375173881616', '+375296013020', '+375298350295']",29-09-2025 15:09:47
3,этикетка оптом,149,https://ruroll.ru,"Самые востребованные этикетки на основе термобумаги для прямой печати или полуглянцевой бумаги для термотрансферной печати (с помощью ленты риббон). Мы также изготавливаем этикетки на основе полимерных пленок, таких как белый или прозрачный полипропилен (ПП), полиэстер (ПЭТ) и другие необычные решения исходя из ваших потребностей.",yandex,['info@ruroll.ru'],['+74958259870'],29-09-2025 15:09:47
