user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить бумажную посуду от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by -site:7745.by -site:auto.kufar.by,by,https://6699.by,"Выпускается бумажная посуда для фаст-фуда, кофеен, уличных кафе, заведений, предлагающих напитки и еду на вынос. Она нравится и частным покупателям. Яркая ...",google,['zakaz.cups@gmail.com'],"['+375296900724', '+375297584001', '+375336884001']",15-10-2025 10:58:12
3,купить бумажную посуду от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by -site:7745.by -site:auto.kufar.by,by,https://kryshar.by,Бесплатная доставка ✓ Гарантия качества ✓ Всегда в наличии. Заказать одноразовую упаковку для пищевых продуктов оптом и в розницу. Многоразовая упаковка от ...,google,['office@kryshar.by'],"['+375173181333', '+375173608211', '+375173927632', '+375296908683', '+375297673601', '+375297728882']",15-10-2025 10:58:12
3,купить бумажную посуду от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by -site:7745.by -site:auto.kufar.by,by,https://vestpak.by,"Мало весит, поэтому ее легко транспортировать. Из-за низкой теплопроводности не допустит ожога, но сохранит температуру блюда. Купить бумажную упаковку и посуду ...",google,['info@vestpak.by'],['+375447992000'],15-10-2025 10:58:12
3,купить бумажную посуду от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by -site:7745.by -site:auto.kufar.by,by,https://posuda1.by,"100158b Стакан картон , бумажный, 250мл коробка Цена за 1000шт.белый. ... 180.00 pуб. ... Современная одноразовая посуда из бумаги — это экологично, эстетично, ...",google,['info@posuda1.by'],"['+375293044343', '+375336636655']",15-10-2025 10:58:12
3,купить бумажную посуду от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by -site:7745.by -site:auto.kufar.by,by,https://pakplast.by,"ГродноПакПласт - оптовая и розничная торговля одноразовой посудой и упаковкой, а также производство наборов одноразовой посуды. Безусловный лидер в своем ...",google,['info@pakplast.by'],"['+375152605093', '+375152605094', '+375293856566', '+375295851416']",15-10-2025 10:58:12
3,купить бумажную посуду от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by -site:7745.by -site:auto.kufar.by,by,https://svelta-hoztovary.by,"Бумажная одноразовая посуда является экологически чистым вариантом. Бумага является возобновляемым ресурсом, и процесс производства бумажной посуды имеет ...",google,['samvel2474904@gmail.com'],"['+375296630073', '+375339166227']",15-10-2025 10:58:12
3,купить бумажную посуду от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by -site:7745.by -site:auto.kufar.by,by,https://vt-polimir-plus.by,Полиэтиленовые пакеты и одноразовая посуда от производителя в Белоруссии. Полиэтиленовые пакеты оптом от производителя ООО ВТ ПолиМир Плюс.,google,"['kravchenkotk@mail.ru', 'vtpolimirplus@mail.ru']","['+375162355976', '+375162950021', '+375162975520', '+375297252083', '+375336535538']",15-10-2025 10:58:12
3,купить бумажную посуду от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by -site:7745.by -site:auto.kufar.by,by,https://ligopak.by,Одноразовая бумажная посуда из картона от поставщика упаковки ЛигоПак оптом и в розницу. ⭐Доставка одноразовой посуды из бумаги по всей Беларуси.,google,['sales@ligopak.by'],['+375336309050'],15-10-2025 10:58:12
3,купить бумажную посуду от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by -site:7745.by -site:auto.kufar.by,by,https://zhivgroup.by,Купить одноразовую посуду оптом от производителя в интернет-магазине упаковки ЖивГрупп. Большой выбор одноразовой посуды по доступным ценам.,google,"['brest@zhivgroup.by', 'e.rogovcova@zhivgroup.by', 'gomel@zhivgroup.by', 'grodno@zhivgroup.by', 'info@zhivgroup.by', 'polock@zhivgroup.by', 'psa@zhivgroup.by', 'vitebsk@zhivgroup.by']","['+375214777599', '+375291664989', '+375293377445', '+375295906463', '+375445259906', '+375445489030', '+375445980891', '+375445980898', '+375445986041', '+375445988168', '+375445991429', '+375447180716', '+375447180761', '+375447821909', '+48731376727']",15-10-2025 10:58:12
3,купить бумажную посуду от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru -site:emall.by -site:7745.by -site:auto.kufar.by,by,https://www.amik-o.by,"Продажа, производство бумажной продукции в Беларуси. Каталог бумажной, картонной продукции: упаковка, оберточная бумага на заказ на фабрике Амик-о.",google,['amik-o@paket.by'],['+375445982221'],15-10-2025 10:58:12
