user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,плитка купить оптом -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://artkeramika.by,ᐅ Официальный ✔️ сайт компании АртКерамика. Выгодные условия на покупку керамической плитки и керамогранита оптом! Каталог с ценами и фото.,google,"['buh@artkeramika.by', 'hr@artkeramika.by', 'info@artkeramika.by', 'sale1@artkeramika.by', 'sale2@artkeramika.by', 'sale40@artkeramika.by', 'sklad@artkeramika.by']","['+375173887980', '+375173887982', '+375173887983', '+375173887985', '+375173887988', '+375293259532', '+375293268165', '+375296400534', '+375296905013', '+375296974005', '+375296983005']",25-09-2025 16:15:04
3,плитка купить оптом -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://lagomera.by,"Заказывайте керамогранит оптом ⭐ в салоне плитки La Gomera. Выгодные оптовые цены на керамогранитную плитку ☑️ Индивидуальный подход к оптовым клиентам, ...",google,['zakaz.lagomera@yandex.ru'],"['+375296601301', '+375447569883', '+79281113837']",25-09-2025 16:15:04
3,плитка купить оптом -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://baumarket.by,магазине Баумаркет можно Купить керамическую плитку с доставкой. Керамическая плитка цена. Керамическая плитка в Минске. Рассрочка. Акции. Скидка! оптом.,google,['order@baumarket.by'],"['+375173881400', '+375255033333', '+375293122222', '+375295046846', '+375296661164', '+375333211111', '+375336333340']",25-09-2025 16:15:04
3,плитка купить оптом -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://pkdint.by,Заказывайте ⭐керамическую плитку оптом⭐ со склада от pkdint.by с монтажом в Минске и по всем регионам Беларуси. ✓Оптовые цены за м2 ✓Поможем подобрать.,google,['sales@pkdint.by'],"['+375152718160', '+375152718162', '+375162508037', '+375162508075', '+375172949666', '+375172949696', '+375222604056', '+375222604058', '+375232511412', '+375297430318', '+375445009966', '+375445072333', '+375445072344', '+375445072366', '+375445072399', '+375447598024']",25-09-2025 16:15:04
3,плитка купить оптом -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://opniipkd.by,"Плитка оптом в срок под любой проект! ▷ ООО ОПНИИПКД - это официальный импортер, опытные специалисты, надежность и выполнение масштабных проектов под ключ ...",google,"['marketing_usom@opniipkd.by', 'reklamacii@opniipkd.by']","['+375172949550', '+375172949555', '+375172949559', '+375173892646', '+375296949601']",25-09-2025 16:15:04
3,плитка купить оптом -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://www.chocoladovo-by.com,"Кондитерская плитка ""Chocotti"" ... ""Chocotti"" — это изысканная кондитерская плитка, в которой мягкость молочного шоколада сочетается с тонким хрустом и нежным ...",google,"['sales@chocoladovo.by', 'sekretariat@chocoladovo.by']","['+375173249311', '+375257441150', '+375291998095', '+375336670338']",25-09-2025 16:15:04
3,плитка купить оптом -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://belroskeramika.by,"Крупным заказчикам (архитекторам, дизайнерам, строительным и торговым организациям) компания «Керамсити» всегда предложит плитку оптом по самым выгодным ценам .",google,['keramcity.info@gmail.com'],"['+375172919357', '+375173389349', '+375173489357', '+375296608751']",25-09-2025 16:15:04
3,плитка купить оптом -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://dianit.by,Литая тактильная плитка 400x400x50 мм ; Тактильная тротуарная плитка. Купить тактильную тротуарную плитку вы можете оптом или в розницу. Мы принимаем любую форму ...,google,"['buh@dianit.by', 'opt@dianit.by', 'zakaz@dianit.by']","['+375232933339', '+375232933625', '+375232997799', '+375291714222', '+375291715222', '+375293227799', '+375293766928', '+375296681205', '+375445227799', '+375447048277']",25-09-2025 16:15:04
3,плитка купить оптом -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://mapagroup.by,"Грунтовка для укладки плитки, клеи, эпоксидные затирки Mapei. Оптом и в розницу с доставкой по Минску и РБ. Бесплатная консультация и помощь по подбору.",google,['mapagroup@mail.ru'],"['+375291493692', '+375447607605']",25-09-2025 16:15:04
3,плитка купить оптом -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://aks.by,Стяжка для компакт плиты K TOP (1 к-т=2стяжки+2винта+2 ответные планки) Italiana Ferramenta ... 17.24 р. за комп. ... Как купить? ... Номер уполномоченных ...,google,"['mail@aks.by', 'zakaz@aks.by']","['+375162210465', '+375162539928', '+375293274286', '+375293274289', '+375295008500', '+375333619900', '+375445008500']",25-09-2025 16:15:04
