user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить корма в Москве,225,https://miska.ru,"Купить товары для животных в интернет-магазине Миска.ру с доставкой по Москве. Выгодные цены, широкий ассортимент.",yandex,"['chief@miska.ru', 'info@miska.ru', 'zakupki@miska.ru']","['+74951205655', '+79254504355']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://multikorm.ru,"Собаки Корма для собак Груминг, косметика для собак Гигиена и уход за собаками Игрушки для собак Контейнеры для храниения корма Аксессуары для прогулки Миски, кормушки для собак Дорожные бутылки для собак Ошейники, рулетки, шлейки для собак Одежда для собак Лежаки, домики для собак Переноски и клетки для собак Проходы и лестницы для собак Туалеты для собак.",yandex,"['info@company.ru', 'rostov@domain.ru', 'zakaz@multikorm.ru']","['+73012929425', '+74951111111', '+74952222222', '+74952222223', '+74957290988', '+77283988606', '+77712345678', '+78001111111', '+78002222222', '+79629861272']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://dogeat.ru,Тип корма Сухой В хлопьях Полувлажный Влажный.,yandex,"['chief@dogeat.ru', 'digital-marketing@dogeat.ru', 'info@dogeat.ru', 'marketing@dogeat.ru', 'partner@dogeat.ru', 'v.natalya@dogeat.ru', 'vet-dietolog@dogeat.ru', 'zakaz@dogeat.ru', 'zakupki@dogeat.ru']","['+74950327322', '+74952216267', '+74957907073', '+78001002908', '+79252117170', '+79256634244', '+79260012453', '+79295440920', '+79296042649', '+79296042906']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://pavik.ru,,yandex,['info@pavik.ru'],"['+74950047700', '+79852197177']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://zoomag.ru,При покупке кормов Royal Canin® от 3 до 4 кг для щенков! Получите 200 руб. за отзыв о продукции Royal Canin для кошек и собак!,yandex,['info@zoomag.ru'],"['+74951343234', '+78126029191', '+79999999999']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://magizoo.ru,"Товары для животных от центрального интернет-зоомагазина Москвы и МО MAGIZOO.RU. Мы успешно занимаемся реализацией товаров для собак, кошек, птиц, рыб, грызунов и даже рептилий с 1991 года. Предлагаем полный спектр товаров высокого качества для здоровой жизни питомцев по ценам на 10–20 % ниже сложившихся на рынке.",yandex,"['admin@magizoo.ru', 'director@magizoo.ru', 'sales@magizoo.ru']","['+74955009100', '+78005509888', '+79251031714', '+79263598892', '+79850767708']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://food-dogs.ru,"Мы реализуем данную продукцию в гранулах (сухой корм в бумажных мешках), консервированных смесях в жестяных банках и пластиковых пакетах.",yandex,"['info@food-dogs.ru', 'nfo@food-dogs.ru']","['+74993946795', '+79263702720']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://market-korm.ru,"Корма – приготовленные по специальной рецептуре продукты, содержащие питательные, биологически активные и минеральные вещества в определенной форме, доступной для животных. Корма различаются по органолептическим показателям, удельному весу, физической форме, влажности и другим показателям.",yandex,['info@market-korm.ru'],['+79014086061'],29-09-2025 22:10:48
3,купить корма в Москве,225,https://kotmatros.ru,"Чтобы вы могли купить зоотовары по самой выгодной цене, мы регулярно проводим акции и делаем скидки на хиты всех категорий каталога. Корма для собак — не исключение.",yandex,['manager@kotmatros.ru'],['+74951282300'],29-09-2025 22:10:48
3,купить корма в Москве,225,https://zoozavr.ru,Скидки на корма для животных до 90%.,yandex,['ok@zoozavr.ru'],"['+77000000000', '+78000000000', '+78002346639', '+78002500000', '+79000000000']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://xn----7sbb5akicf9af1md.xn--p1ai,Натуральные корма для собак и кошек – купить в Москве и МО с доставкой. НАТУРАЛЬНЫЕ КОРМА ДЛЯ ЖИВОТНЫХ Работаем с 2005 года. +7 (967) 120-12-12 +7 (968) 773-54-44.,yandex,['info@мясная-миска.рф'],"['+79671201212', '+79687735444']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://zoovostorg.com,"Купить товары для сельскохозяйственных животных, крупного рогатого скота (КРС), мелких домашних животных (кошек, собак), оптом и в розницу можно недалеко от станции метро Спортивная в Москве.",yandex,"['info@zoovostorg.com', 'sale@zoovostorg.com']","['+74951752510', '+79255108502']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://dominishop.ru,"Открыта вакансия продавца-консультанта в д. Большие Колпаны! Ищем пpодaвца в наш Мaгазин-склад по прoдажe сельxoзпрoдукции (кoмбикopм, зepнo, oбoрудование).",yandex,['info@dominishop.ru'],['+79217921810'],29-09-2025 22:10:48
3,купить корма в Москве,225,https://ramkhp.ru,Адреса точек продаж в ближайшем к Вам регионе можно посмотреть в разделе «Где купить».,yandex,"['hr@ramkhp.ru', 'korm@ramkhp.ru', 'magazin@ramkhp.ru', 'muka@ramkhp.ru', 'post@ramkhp.ru', 'snab@ramkhp.ru']","['+74952231814', '+74957751814']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://valta.ru,,yandex,['info@valta.ru'],"['+74957973472', '+74957973473', '+74959671247']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://zoo-galereya.ru,«Зоогалерея» - лучший интернет-магазин товаров и кормов для домашних животных в Москве. Купить все для кошек и собак с выгодой Вы можете здесь!,yandex,['info@zoo-galereya.ru'],"['+74955103606', '+74955163632', '+78007707303', '+79055323838', '+79055343737', '+79651403340']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://zookorm24.ru,"Интернет-зоомагазин ZooKorm24.ru предлагает корма для домашних животных премиум класса, а так же аксессуары, средства для ухода и профессиональное снаряжение для Ваших питомцев.",yandex,"['boss@zookorm24.ru', 'info@zookorm24.ru', 'partners@zookorm24.ru']","['+74955890406', '+79255890406']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://qp-korm.ru,"Повседневные корма или специальные диеты, для котят и щенков или же для пожилых животных, супер-премиум класс или эконом вариант - любое питание вы сможете найти и приобрести на нашем сайте. Также представлен широкий ассортимент домиков и когтеточек для кошек, лежаков и будок для собак, клеток и вольеров для кроликов, хомяков и птиц, жилище для хорьков, а также различные переноски и сумки, расчески, средства для ухода и гигиены - всё это вы найдете в нашем интернет-магазине «qp-korm.ru»!",yandex,['info@qp-korm.ru'],"['+74997388977', '+79295154444']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://irvis-zoo.ru,Купить. Наши бренды. Мы выбираем только надежных производителей для сотрудничества.,yandex,['info@irvis-zoo.ru'],"['+74955187425', '+74957354816']",29-09-2025 22:10:48
3,купить корма в Москве,225,https://dog-food.su,,yandex,['zakaz@dog-food.su'],"['+74957579595', '+79151531611', '+79260782121', '+79477853309', '+79629912121', '+79670552121']",29-09-2025 22:10:48
