user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,материнская плата mini-itx поставщик,149,https://miniitxboard.com,"Мы не просто поставщик оборудования: мы - ваш партнер по разработке встраиваемых систем. От проектирования печатной платы до тепловой настройки - наша команда ежегодно поставляет более 1 миллиона заказных материнских плат Mini-ITX для сетевых технологий, искусственного интеллекта и промышленного управления.",yandex,['info@icmanufacturer.com'],[],30-09-2025 22:26:28
3,материнская плата mini-itx поставщик,149,https://ipc2u.by,"Материнские платы Mini-ITX 8(017)270-33-00 - IPC2U.BY. Гарантия сроков поставки, техническая и информационная поддержка.",yandex,['imc@ipc2u.by'],"['+375172703300', '+375293195265']",30-09-2025 22:26:28
3,материнская плата mini-itx поставщик,149,https://1k.by,,yandex,"['admin@1k.by', 'alena@1k.by', 'info@1k.by']","['+375172180082', '+375172979488', '+375173737456', '+375173743973', '+375291466000', '+375297036699']",30-09-2025 22:26:28
3,материнская плата mini-itx поставщик,149,https://iei.ru,"Промышленная процессорная плата Mini-ITX, Intel Celeron N3350 2.3GHz, SoC, HDMI/LVDS/VGA, 2 x GbE LAN, USB 3.0, PCIe Mini, M.2, SATA 6Gb/s, COM, Audio.",yandex,['russia@iei.ru'],"['+375172350034', '+73433119007', '+73833300518', '+74959806406', '+77273399717', '+78123264554', '+78123265924']",30-09-2025 22:26:28
3,материнская плата mini-itx поставщик,149,https://5sgroup.ru,"MANO300 Процессорная плата Mini-ITX, процессор Intel Celeron N3160 2.24ГГц, 2x204-pin SO-DIMM DDR3L-1333, SDXC slot, 6xCOM, 6xUSB, 2xGbE LAN, 1xSATA III, mSATA, 1xMini PCIe, 1xPCIe x1, DIO, Аудио.",yandex,['sales@5sgroup.ru'],['+74953636587'],30-09-2025 22:26:28
3,материнская плата mini-itx поставщик,149,https://fregat.ru,"Материнские платы Mini-ITX — уточнить наличие, купить или заказать образцы вы можете в нашей компании. Мы предлагаем наиболее выгодные условия поставки и полную техническую поддержку на всех этапах проекта. Материнские платы Mini-ITX в каталоге компании «Фрегат» представлены с разными характеристиками и параметрами, продукция соответствует самым высоким мировым стандартам и требованиям.",yandex,['info@fregat.ru'],"['+78003019604', '+78003019605', '+78003019606']",30-09-2025 22:26:28
3,материнская плата mini-itx поставщик,149,https://corson.ru,mini-ITX – компактный форм-фактор 170х170мм для различных устройств и средств автоматизации.,yandex,['info@corson.ru'],"['+74952259816', '+78003006785']",30-09-2025 22:26:28
3,материнская плата mini-itx поставщик,149,https://price.ru,"Чтобы купить Материнские платы mini itx, изучите предложения в каталоге или нажмите на кнопку «Сравнить цены» для перехода к детальной информации о товаре (цены, отзывы, фото, характеристики, оплаты и доставки).",yandex,"['press@s8.capital', 'support@price-team.ru']","['+74959569007', '+78001002348']",30-09-2025 22:26:28
3,материнская плата mini-itx поставщик,149,https://i-on.by,"Возможность купить Материнские платы Mini-ITX в рассрочку или кредит, а также по безналичному расчёту для организаций.",yandex,['ion.mogilev@gmail.com'],"['+375222246088', '+375293923920', '+375333923920']",30-09-2025 22:26:28
3,материнская плата mini-itx поставщик,149,https://shop.kz,,yandex,"['name@example.ru', 'shop@shop.kz']","['+73022294635', '+73363932766', '+73426587292', '+73436633232', '+73439625586', '+73454028573', '+73462723648', '+73468230944', '+73470097411', '+73471467705', '+73477109650', '+73492839265', '+73516775870', '+73522814883', '+73522982857', '+73527979930', '+73650211263', '+73657430131', '+73827352033', '+73840548683', '+73858247616', '+73859789541', '+73884031609', '+74015921579', '+74018813848', '+74118205837', '+74139367713', '+74150788822', '+74156208266', '+74157094675', '+74212158851', '+74236991747', '+74266345171', '+77212910111', '+77212910808', '+77212911555']",30-09-2025 22:26:28
3,материнская плата mini-itx поставщик,149,https://micro-line.ru,"Материнские платы MINI-ITX - продажа по низким ценам в Крыму, Севастополе, Симферополе, Феодосии, Евпатории, Джанкое с доставкой в интернет-магазине Микролайн.",yandex,['e-shop@micro-line.ru'],"['+73652777356', '+78007751356', '+78612051481', '+78633033071', '+79780907786', '+79781000259']",30-09-2025 22:26:28
3,материнская плата mini-itx поставщик,149,https://forcecom.kz,,yandex,['info@forcecom.kz'],"['+77273187565', '+77772353030']",30-09-2025 22:26:28
3,материнская плата mini-itx поставщик,149,https://knssibir.ru,,yandex,['knsrussia@kns.ru'],['+78005557707'],30-09-2025 22:26:28
