user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить стол,149,https://1k.by,"Помимо основных по назначению моделей, в нашем каталоге 1k.by представлено разнообразие кофейных, журнальных, компьютерных, барных и сервировочных столов. Благодаря широкому модельному ряду, собранному на нашем портале, Вам не составит труда купить стол в Минске или других регионах страны.",yandex,"['admin@1k.by', 'alena@1k.by', 'info@1k.by']","['+375172180082', '+375172979488', '+375173737456', '+375173743973', '+375291466000', '+375297036699']",02-10-2025 16:42:30
3,купить стол,149,https://akshome.by,"Стол ДРЕЗДЕН, керамика 0 кат. 1300(1615)*800, Камень серый Greys grey/Черный фотография.",yandex,"['aks150306@yandex.by', 'com@akshome.by', 'marketing@akshome.by', 'opt@akshome.by', 'reclamation@aks.by', 'zakaz@akshome.by', 'zakup.aksmebel@gmail.com']","['+375162210465', '+375162539928', '+375291357511', '+375293233356', '+375293707878', '+375295351097', '+375295410298', '+375297634122', '+375333707878', '+375336988188', '+375445006688', '+375445445080']",02-10-2025 16:42:30
3,купить стол,149,https://mebelblizko.by,,yandex,"['admin@mebelblizko.by', 'manager@mebelblizko.by', 'otr@mebelblizko.by']","['+375232252595', '+375336368515', '+375444637050']",02-10-2025 16:42:30
3,купить стол,149,https://moderno.by,"Раздвижные столы могут быть оснащены различными механизмами трансформации, что позволяет экономить место в комнате при необходимости. У нас представлены различные раздвижные, раскладные и откидные столы-книги, которые легко превращаются из компактного варианта в просторный обеденный стол.",yandex,['info@moderno.by'],"['+375333520772', '+375445810272']",02-10-2025 16:42:30
3,купить стол,149,https://aksamit.by,Стол письменный Лаки тип 1 (Дуб Крафт Белый).,yandex,['kc@aksamit.by'],"['+375256723300', '+375291953100', '+375291963500', '+375292213100', '+375293623500', '+375293663100', '+375293743100', '+375296453100', '+375296493100', '+375296723300', '+375296833100', '+375333443100', '+375333653100', '+375336723300']",02-10-2025 16:42:30
3,купить стол,149,https://vamrad.by,Столы от мебельного магазина «ВамРад». В каталоге представлен большой выбор мебели по низким ценам.,yandex,['info@vamrad.by'],"['+375292222141', '+375292222150', '+375292222151', '+375292222164', '+375292222741', '+375292223893', '+375298867713', '+375298868444', '+375298878482', '+375333509650', '+375336199999', '+375447416666']",02-10-2025 16:42:30
3,купить стол,149,https://zovonline.by,"С вопросом, как купить стол так, чтобы он подошел под все требуемые характеристики, ежедневно сталкивается много людей. Мебель – неотъемлемый атрибут любого дома или офиса. Интернет-магазин ZOV Online предлагает своим покупателям обеденные, письменные, журнальные, кофейные и туалетные столы разнообразного размера и дизайна.",yandex,['info.zovonline@gmail.com'],"['+375152611094', '+375292932855', '+375292933660', '+375296639370', '+375297689999', '+375336639370']",02-10-2025 16:42:30
3,купить стол,149,https://meko.by,Обеденные столы в каталоге интернет-магазина мебели Meko.by. Доставка обеденных столов по всей Беларуси.,yandex,"['info@meko.by', 'opt@meko.by', 'service@meko.by']","['+375259486113', '+375291309910', '+375293431377', '+375333355700', '+375447074176', '+375447172733']",02-10-2025 16:42:30
3,купить стол,149,https://divan.by,"Столы купить в Минске недорого по цене от 42 до 4 797 рублей можно в официальном интернет-магазине производителя Divan.by. В каталоге представлено более 575 моделей. Стоимость товаров указана с учетом действующих акций, скидок и распродаж.",yandex,"['love@divan.by', 'u002f627baa44a58c4f98274fe61bc334f753@sentry.divlab.tech']","['+375172180082', '+375172805465', '+375292782233', '+375296055444', '+375296686644', '+375297002244', '+375298646433', '+375336686644', '+375445236712', '+375447835208']",02-10-2025 16:42:30
3,купить стол,149,https://millwood.by,"Столы на кухню, компьютерные, журнальные и детские столики в различных вариациях можно купить в интернет-магазине Millwood.",yandex,"['info@millwood.by', 'rek@millwood.by', 'shop@millwood.by']","['+375172180082', '+375173688049', '+375296102244', '+375333946420', '+79581000541']",02-10-2025 16:42:30
